match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_outfielderBlock,stat_interceptionWon,stat_challengeLost,captain,stat_shotOffTarget,stat_unsuccessfulTouch,stat_totalContest,stat_bigChanceCreated,stat_keyPass,stat_dispossessed,stat_wonContest,stat_wasFouled,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_hitWoodwork
11703897,home,1. FC Kaiserslautern,Julian Krahl,julian-krahl,J. Krahl,G,1,194,162,M,944100,EUR,948499200,G,18,18,False,36.0,12.0,32.0,8.0,5.0,12.0,7.0,24.0,9.0,1.0,90.0,41.0,5.9,24.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11703897,home,1. FC Kaiserslautern,Jan Elvedi,jan-elvedi,J. Elvedi,D,15,186,81,M,576154,EUR,844041600,D,33,33,False,25.0,21.0,4.0,2.0,16.0,18.0,5.0,7.0,4.0,,90.0,34.0,6.5,4.0,1,2.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
11703897,home,1. FC Kaiserslautern,Kevin Kraus,kevin-kraus,K. Kraus,D,,190,27,M,124822,EUR,713577600,D,5,5,False,15.0,13.0,4.0,3.0,10.0,10.0,3.0,5.0,5.0,,90.0,33.0,7.0,2.0,0,1.0,1.0,2.0,2.0,,12.0,1.0,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
11703897,home,1. FC Kaiserslautern,Nikola Soldo,nikola-soldo,N. Soldo,D,4,189,229,M,991290,EUR,980380800,D,14,14,False,34.0,22.0,10.0,2.0,21.0,24.0,1.0,10.0,5.0,,90.0,44.0,6.3,12.0,0,,2.0,1.0,2.0,,7.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11703897,home,1. FC Kaiserslautern,Jean Zimmer,jean-zimmer,J. Zimmer,M,8,171,54,M,136935,EUR,755136000,M,8,8,False,16.0,8.0,8.0,2.0,5.0,5.0,3.0,11.0,6.0,,82.0,36.0,6.8,9.0,1,,,,3.0,,4.0,3.0,3.0,,,,,1.0,,True,1.0,1.0,,,,,,,,,,,,,,,,,
11703897,home,1. FC Kaiserslautern,Tobias Raschl,raschl-tobias,T. Raschl,M,32,179,169,M,904840,EUR,951091200,M,20,20,False,16.0,9.0,5.0,1.0,6.0,8.0,3.0,8.0,3.0,,66.0,24.0,6.8,10.0,0,,,2.0,,,,,,,,,,1.0,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11703897,home,1. FC Kaiserslautern,Boris Tomiak,boris-tomiak,B. Tomiak,D,3,197,126,M,877306,EUR,905472000,M,2,2,False,15.0,8.0,3.0,,6.0,10.0,2.0,5.0,10.0,,90.0,35.0,6.7,9.0,1,,,3.0,5.0,,4.0,,,1.0,,,,3.0,,,1.0,,2.0,,,1.0,1.0,4.0,,,,,,,,,,,
11703897,home,1. FC Kaiserslautern,Kenny Prince Redondo,kenny-prince-redondo,K. P. Redondo,M,11,181,62,M,168959,EUR,778118400,M,11,11,False,18.0,9.0,6.0,1.0,4.0,9.0,5.0,9.0,3.0,,90.0,58.0,7.6,13.0,1,,3.0,6.0,9.0,,9.0,1.0,1.0,2.0,,,,2.0,3.0,,,1.0,3.0,,,,2.0,3.0,1.0,1.0,,,,,,,,,
11703897,home,1. FC Kaiserslautern,Marlon Ritter,marlon-ritter,M. Ritter,M,7,173,263,M,169233,EUR,782092800,F,7,7,False,19.0,15.0,7.0,4.0,5.0,6.0,11.0,16.0,3.0,,90.0,33.0,8.5,8.0,1,1.0,,3.0,4.0,,2.0,1.0,1.0,1.0,,,,2.0,1.0,,,1.0,3.0,,3.0,,2.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,
11703897,home,1. FC Kaiserslautern,Richmond Tachie,richmond-tachie,R. Tachie,F,18,179,158,M,941562,EUR,924652800,F,29,29,False,6.0,3.0,,,,,3.0,6.0,,,83.0,22.0,7.1,10.0,1,2.0,,7.0,3.0,,,1.0,1.0,,,,,1.0,,,,2.0,1.0,,,4.0,,2.0,1.0,1.0,,,,,,,,,
