match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_lastManTackle,player_sofascoreId,stat_aerialLost,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_fouls,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_goals,captain,stat_clearanceOffLine,stat_shotOffTarget,stat_totalOffside
10385585,home,Southampton,Gavin Bazunu,Gavin,Bazunu,bazunu-gavin,G. Bazunu,G,31,189,914,M,936719,EUR,1014163200,G,31,31,False,35.0,15.0,32.0,12.0,3.0,3.0,12.0,32.0,1.0,1.0,2.0,11.0,1.0,3.0,3.0,1.0,90.0,44.0,7.0,20.0,0.0,0.0,0.0126588,0,1.0653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385585,home,Southampton,Kyle Walker-Peters,,,kyle-walker-peters,K. Walker-Peters,D,2,173,1504,M,823085,EUR,860889600,D,2,2,False,25.0,19.0,1.0,1.0,7.0,8.0,12.0,18.0,,5.0,2.0,4.0,,,,,90.0,59.0,6.6,17.0,0.0356,0.0,0.0110983,1,,1.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10385585,home,Southampton,Armel Bella-Kotchap,,,armel-bella-kotchap,A. Bella-Kotchap,D,37,190,1085,M,976025,EUR,1008028800,D,37,37,False,21.0,10.0,9.0,1.0,8.0,13.0,2.0,8.0,1.0,4.0,8.0,12.0,,,,,90.0,37.0,6.8,12.0,0.0,0.0,0.00024091,0,,,1.0,1.0,,,,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,
10385585,home,Southampton,Mohammed Salisu,,,mohammed-salisu,M. Salisu,D,22,188,5721,M,946158,EUR,924307200,D,22,22,False,28.0,16.0,5.0,,12.0,16.0,4.0,14.0,2.0,4.0,5.0,5.0,,,,,90.0,46.0,6.6,18.0,0.1024,0.0,0.00245741,1,,2.0,5.0,,,,,1.0,2.0,1.0,,,,salisu_sarki,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,
10385585,home,Southampton,Romain Perraud,,,romain-perraud,R. Perraud,D,15,173,596,M,827519,EUR,874886400,D,15,15,False,8.0,5.0,1.0,,1.0,2.0,5.0,7.0,,4.0,,2.0,,,,,73.0,35.0,7.1,9.0,0.0317,0.0,0.291304,1,,1.0,7.0,,4.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,,,1.0,1.0,,,,2.0,1.0,1.0,2.0,2.0,,,,,
10385585,home,Southampton,Ibrahima Diallo,,,diallo-ibrahima,I. Diallo,M,6,180,255,M,873050,EUR,920851200,M,27,27,False,20.0,13.0,5.0,1.0,3.0,6.0,10.0,15.0,1.0,5.0,1.0,5.0,,,,,90.0,33.0,6.5,13.0,0.0,0.0,0.0122286,0,,1.0,5.0,,3.0,1.0,,,1.0,,3.0,2.0,,,1.0,,,,,2.0,,,,1.0,,,,,
10385585,home,Southampton,Roméo Lavia,Romeo Lavia,,romeo-lavia,R. Lavia,M,45,181,16643,M,1069488,EUR,1073347200,M,45,45,False,23.0,16.0,,,11.0,14.0,5.0,9.0,,1.0,,6.0,,,,,60.0,33.0,7.0,9.0,0.0962,0.2072,0.00240194,1,,,5.0,,2.0,,,1.0,1.0,1.0,,,,romeolavia,,2.0,,1.0,1.0,1.0,,,,,1.0,,,,
10385585,home,Southampton,Mohamed Elyounoussi,,,mohamed-elyounoussi,M. Elyounoussi,M,10,176,2069,M,119151,EUR,775958400,M,24,24,False,16.0,9.0,2.0,1.0,,2.0,9.0,15.0,,8.0,4.0,7.0,,,,,90.0,46.0,7.6,14.0,0.5424,0.2711,0.0156586,3,,1.0,4.0,1.0,2.0,1.0,,2.0,7.0,6.0,4.0,,,,2.0,,1.0,3.0,,,,,,,,,,,
10385585,home,Southampton,James Ward-Prowse,,,james-ward-prowse,J. Ward-Prowse,M,20,177,4256,M,161717,EUR,783648000,M,8,8,False,25.0,20.0,1.0,1.0,5.0,6.0,16.0,26.0,1.0,1.0,1.0,4.0,,,,,90.0,39.0,6.3,14.0,0.0,0.0,0.184612,0,,7.0,12.0,2.0,1.0,,,1.0,,,,,,prowsey16,3.0,,,,,6.0,,1.0,1.0,1.0,,True,,,
10385585,home,Southampton,Adam Armstrong,Adam,Armstrong,adam-armstrong,A. Armstrong,F,9,172,1450,M,361352,EUR,855532800,M,9,9,False,17.0,9.0,3.0,,4.0,5.0,5.0,13.0,,3.0,,7.0,,,,,86.0,35.0,7.1,15.0,0.2913,0.849,0.0197282,2,,1.0,6.0,1.0,4.0,1.0,,1.0,1.0,1.0,2.0,1.0,,,2.0,,,2.0,,,,,,,1.0,,,,
