match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_outfielderBlock,stat_wonTackle,stat_shotOffTarget,stat_errorLeadToAShot,stat_expectedGoals,stat_accurateCross,stat_challengeLost,stat_wasFouled,stat_fouls,stat_keyPass,stat_dispossessed,captain,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_bigChanceCreated
12530723,home,Bodrum FK,Diogo Sousa,diogo-sousa,D. Sousa,G,1,195.0,145,M,882110,EUR,905904000,G,1,1,False,23.0,11.0,21.0,9.0,0.0,2.0,3.0,9.0,20.0,2.0,2.0,1.0,15.0,3.0,1.0,5.0,1.0,2.0,2.0,90.0,45.0,8.4,12.0,0.00731142,0,0.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530723,home,Bodrum FK,Uzeyir Ergun,uzeyir-ergun,U. Ergun,D,23,178.0,29,M,996122,EUR,720835200,D,23,23,False,16.0,9.0,3.0,1.0,0.0,2.0,5.0,7.0,14.0,,2.0,5.0,2.0,,,,,,,87.0,45.0,7.0,17.0,0.0126121,0,,,,3.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
12530723,home,Bodrum FK,Arlind Ajeti,arlind-ajeti,A. Ajeti,D,15,184.0,457,M,111746,EUR,748915200,D,15,15,False,16.0,7.0,7.0,,0.0,6.0,9.0,1.0,7.0,1.0,5.0,4.0,1.0,,,,,,,90.0,28.0,7.3,9.0,0.00018291,0,,,,,1.0,1.0,,,3.0,4.0,,1.0,2.0,,,,,,,,,,,,,,,,,,
12530723,home,Bodrum FK,Ali Aytemur,ali-aytemur,A. Aytemur,D,34,184.0,29,M,802650,EUR,828489600,D,34,34,False,20.0,14.0,6.0,1.0,0.0,10.0,11.0,4.0,9.0,1.0,1.0,11.0,,,,,,,,90.0,32.0,6.8,6.0,0.00204189,1,,,,,1.0,1.0,,,,,,,,1.0,1.0,0.0185,,,,,,,,,,,,,,,
12530723,home,Bodrum FK,Cenk Şen,cenk-sen,C. Şen,D,77,170.0,45,M,957359,EUR,970444800,D,77,77,False,14.0,9.0,2.0,1.0,0.0,8.0,10.0,3.0,6.0,1.0,5.0,4.0,6.0,,,,,,,90.0,43.0,6.8,11.0,0.0297929,0,,,,2.0,2.0,9.0,2.0,,3.0,3.0,,,2.0,,,,2.0,4.0,1.0,1.0,1.0,,,,,,,,,,
12530723,home,Bodrum FK,Musah Mohammed,mohammed-musah,M. Mohammed,M,6,192.0,126,M,1105505,EUR,1010188800,M,26,26,False,18.0,11.0,6.0,4.0,0.0,2.0,3.0,9.0,16.0,6.0,6.0,5.0,4.0,,,,,,,90.0,35.0,7.0,12.0,0.0110669,2,,,,1.0,1.0,5.0,,,2.0,,2.0,,,2.0,,0.0268,,1.0,,1.0,,2.0,,,,,,,,,
12530723,home,Bodrum FK,Erkan Degismez,erkan-degismez,E. Degismez,M,,180.0,9,M,130493,EUR,525484800,M,4,4,False,17.0,13.0,,,0.0,8.0,9.0,5.0,8.0,,3.0,2.0,5.0,,,,,,,64.0,26.0,6.7,4.0,0.00435613,0,,,,,1.0,5.0,,,2.0,2.0,,,,,,,,,1.0,4.0,,,True,,,,,,,,
12530723,home,Bodrum FK,Fredy,fredy,Fredy,M,16,169.0,1026,M,845281,EUR,638496000,M,16,16,False,31.0,19.0,6.0,2.0,0.0,4.0,4.0,17.0,34.0,,2.0,6.0,3.0,,,,,,,90.0,60.0,7.5,22.0,0.149893,4,,,,7.0,3.0,14.0,2.0,,1.0,2.0,2.0,,,3.0,,0.3603,2.0,6.0,,3.0,3.0,,,1.0,1.0,1.0,0.1861,,,,
12530723,home,Bodrum FK,Jonathan Okita,jonathan-okita,J. Okita,M,14,180.0,279,M,809225,EUR,844387200,M,11,11,False,13.0,9.0,,,0.0,5.0,6.0,4.0,8.0,,2.0,,3.0,,,,,,,64.0,25.0,6.9,10.0,0.21848,3,,,,1.0,2.0,5.0,3.0,1.0,,1.0,2.0,,,1.0,,0.1478,,,,,2.0,1.0,,1.0,,,0.0184,1.0,1.0,,
12530723,home,Bodrum FK,Ege Bilsel,ege-bilsel,E. Bilsel,D,70,175.0,74,M,1011244,EUR,1073174400,M,70,70,False,24.0,17.0,4.0,2.0,1.0,7.0,9.0,10.0,15.0,1.0,6.0,,4.0,,,,,,,80.0,40.0,6.7,14.0,0.0352208,0,,,,,3.0,9.0,4.0,3.0,1.0,2.0,3.0,,,,,,,2.0,,1.0,1.0,3.0,,,,,,,,,
12530723,home,Bodrum FK,George Pușcaș,george-puscas,G. Pușcaș,F,,187.0,1438,M,190319,EUR,828921600,F,9,9,False,10.0,6.0,,,0.0,2.0,3.0,4.0,8.0,3.0,4.0,,1.0,,,,,,,87.0,22.0,6.4,10.0,0.0740786,2,,,,1.0,8.0,10.0,,,,,4.0,,,,,0.3057,,1.0,1.0,1.0,1.0,1.0,,1.0,,,0.204,1.0,,1.0,
12530723,home,Bodrum FK,Enis Bardhi,enis-bardhi,E. Bardhi,M,10,172.0,1009,M,355024,EUR,804643200,M,10,10,True,14.0,11.0,,,0.0,4.0,4.0,7.0,10.0,,4.0,1.0,3.0,,,,,,,26.0,21.0,7.4,4.0,0.32862,0,,,,,,,3.0,3.0,,1.0,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,1.0
12530723,home,Bodrum FK,Pedro Brazão,pedro-brazao,P. Brazão,M,10,172.0,167,M,981535,EUR,1041206400,M,20,20,True,6.0,5.0,1.0,1.0,0.0,,,5.0,6.0,,,,1.0,,,,,,,26.0,15.0,6.9,3.0,0.00722693,2,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,0.1557,,,,,,,,1.0,,,0.4802,,,,
