match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_ballRecovery,stat_unsuccessfulTouch,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_expectedGoals,stat_keyPass,captain,stat_aerialLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_aerialWon,stat_wasFouled,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_totalOffside,stat_bigChanceMissed,stat_shotOffTarget,stat_punches,stat_errorLeadToAGoal,player_sofascoreId
12117063,home,Criciúma,Gustavo,gustavo,Gustavo,G,1,186,199,M,124766,EUR,731721600,G,1,1,False,14.0,6.0,13.0,5.0,0.0,3.0,4.0,3.0,10.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,62.0,21.0,6.0,9.0,0.00084259,0,-0.0255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117063,home,Criciúma,Jonathan,jonathan,Jonathan,D,2,178,74,M,882351,EUR,714700800,D,13,13,False,17.0,13.0,2.0,1.0,0.0,8.0,10.0,6.0,8.0,,2.0,,,,,,45.0,28.0,6.9,7.0,0.194916,1,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0233,1.0,,,,,,,,,,,,,,,,,,,,,
12117063,home,Criciúma,Rodrigo Fagundes,rodrigo-fagundes,R. Fagundes,D,3,187,155,M,886773,EUR,542419200,D,3,3,False,28.0,15.0,8.0,4.0,1.0,8.0,12.0,8.0,18.0,2.0,6.0,,1.0,,,,90.0,48.0,8.0,14.0,0.346675,0,,,,2.0,1.0,2.0,,8.0,2.0,,2.0,True,1.0,2.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,
12117063,home,Criciúma,Tobias Figueiredo,tobias-figueiredo,T. Figueiredo,D,4,188,200,M,96999,EUR,760147200,D,29,29,False,23.0,17.0,7.0,3.0,0.0,12.0,14.0,5.0,9.0,4.0,3.0,,1.0,,,,90.0,33.0,6.6,6.0,0.00512648,1,,,,,,,1.0,3.0,1.0,0.1027,,,3.0,7.0,,,1.0,,,5.0,2.0,,,,,,,,,,,
12117063,home,Criciúma,Marcelo Hermes,marcelo-hermes,M. Hermes,D,22,177,288,M,783490,EUR,791596800,D,22,22,False,20.0,9.0,7.0,1.0,0.0,6.0,8.0,7.0,23.0,6.0,2.0,2.0,2.0,,,,90.0,48.0,7.6,20.0,0.137907,1,,,,11.0,4.0,,,3.0,1.0,0.1752,5.0,,3.0,3.0,,,,,,2.0,1.0,1.0,1.0,1.0,0.1081,,,,,,,
12117063,home,Criciúma,Newton,newton,Newton,M,28,188,888,M,1463909,EUR,952819200,M,8,8,False,20.0,16.0,1.0,,0.0,10.0,11.0,7.0,11.0,4.0,4.0,2.0,1.0,,,,90.0,34.0,6.6,8.0,0.132071,1,,Newton,,2.0,1.0,,1.0,4.0,,0.025,2.0,,2.0,4.0,,,,,,2.0,2.0,1.0,,,,,,,,,,
12117063,home,Criciúma,Barreto,barreto,Barreto,M,5,182,107,M,599688,EUR,818553600,M,88,88,False,21.0,15.0,1.0,1.0,0.0,10.0,11.0,5.0,11.0,1.0,3.0,,1.0,,,,90.0,28.0,6.9,7.0,0.0535315,0,,,,1.0,,1.0,,,,,1.0,,,4.0,1.0,1.0,,1.0,,2.0,1.0,,,,,,,,,,,
12117063,home,Criciúma,Ronald,ronald,Ronald,M,8,171,426,M,931521,EUR,866592000,M,6,6,False,17.0,11.0,2.0,,0.0,7.0,10.0,4.0,8.0,5.0,6.0,4.0,2.0,,,,77.0,41.0,6.8,16.0,0.00111835,1,,,,1.0,,,1.0,1.0,1.0,0.0121,,,,9.0,5.0,3.0,,3.0,3.0,1.0,2.0,,,,,1.0,,,,,,
12117063,home,Criciúma,Matheusinho,matheusinho,Matheusinho,M,98,164,482,M,822523,EUR,887155200,M,17,17,False,13.0,10.0,3.0,2.0,0.0,6.0,6.0,5.0,8.0,5.0,5.0,2.0,2.0,,,,65.0,24.0,6.4,8.0,0.0577325,0,,,,1.0,1.0,,,,1.0,,1.0,,,2.0,2.0,,,2.0,1.0,,,,,,,1.0,1.0,,,,,
12117063,home,Criciúma,Yannick Bolasie,yannick-bolasie,Y. Bolasie,F,11,185,3708,M,46620,EUR,611971200,F,11,11,False,11.0,7.0,1.0,,0.0,1.0,1.0,7.0,12.0,4.0,3.0,2.0,1.0,,,,77.0,23.0,6.5,9.0,0.0179073,3,,,,2.0,1.0,,,,,0.2837,,,1.0,2.0,1.0,,,1.0,1.0,1.0,,,2.0,,0.4508,1.0,,1.0,1.0,,,
