match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalOffside,stat_wonContest,stat_clearanceOffLine,stat_outfielderBlock,stat_wasFouled,player_sofascoreId,stat_aerialLost,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_keyPass,stat_dispossessed,stat_bigChanceMissed,stat_goals,stat_lastManTackle,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_shotOffTarget
13055101,home,Southampton,Alex McCarthy,,,alex-mccarthy,A. McCarthy,G,1,193,294,M,45502,EUR,628646400,G,1,1,False,True,24.0,13.0,20.0,9.0,0.0,8.0,9.0,5.0,15.0,3.0,4.0,1.0,1.0,2.0,90.0,30.0,6.5,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13055101,home,Southampton,James Bree,,,james-bree,J. Bree,D,14,178,146,M,555406,EUR,881798400,D,14,14,False,,16.0,13.0,,,0.0,9.0,10.0,4.0,7.0,1.0,4.0,,,,61.0,31.0,6.7,6.0,0,1.0,1.0,2.0,5.0,1.0,1.0,4.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
13055101,home,Southampton,Taylor Harwood-Bellis,,,taylor-harwood-bellis,T. Harwood-Bellis,D,6,185,1647,M,980637,EUR,1012348800,D,6,6,False,,50.0,36.0,9.0,5.0,0.0,24.0,31.0,12.0,19.0,4.0,2.0,,,,90.0,65.0,7.7,16.0,0,,2.0,,6.0,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
13055101,home,Southampton,Jan Bednarek,,,jan-bednarek,J. Bednarek,D,5,189,7025,M,286085,EUR,829267200,D,35,35,False,,31.0,30.0,2.0,1.0,0.0,28.0,28.0,2.0,3.0,3.0,3.0,,,,84.0,42.0,6.1,2.0,0,,,2.0,,,5.0,,,1.0,,,,1.0,,janbednarek_,1.0,1.0,1.0,,,,,,,,,,,,,
13055101,home,Southampton,Nathan Wood,,,nathan-wood,N. Wood,D,15,188,201,M,944200,EUR,1022803200,D,15,15,False,,29.0,27.0,,,0.0,21.0,23.0,6.0,6.0,4.0,7.0,,,,90.0,39.0,6.7,3.0,0,,1.0,,5.0,,,3.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,
13055101,home,Southampton,Ryan Manning,Ryan,Manning,ryan-manning,R. Manning,D,3,172,453,M,328701,EUR,834710400,D,3,3,False,,21.0,16.0,4.0,1.0,0.0,9.0,10.0,7.0,14.0,1.0,3.0,,,,90.0,41.0,6.7,12.0,0,3.0,,2.0,5.0,3.0,1.0,2.0,2.0,,,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,
13055101,home,Southampton,Tyler Dibling,Tyler,Dibling,tyler-dibling,T. Dibling,M,20,178,2836,M,1174472,EUR,1140134400,M,33,33,False,,14.0,10.0,1.0,,0.0,7.0,8.0,3.0,6.0,,4.0,,,,90.0,33.0,6.7,12.0,1,,,6.0,6.0,3.0,2.0,4.0,2.0,3.0,1.0,,,,2.0,,,,5.0,1.0,,,,,,,,,,,,
13055101,home,Southampton,Flynn Downes,Flynn,Downes,flynn-downes,F. Downes,M,4,172,372,M,879810,EUR,916790400,M,4,4,False,,24.0,20.0,2.0,,0.0,14.0,16.0,6.0,8.0,1.0,4.0,,,,73.0,32.0,6.7,5.0,0,,1.0,1.0,2.0,,4.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
13055101,home,Southampton,Joe Aribo,,,joe-aribo,J. Aribo,M,18,183,1399,M,818073,EUR,837907200,M,7,7,False,,23.0,20.0,,,0.0,13.0,14.0,7.0,9.0,,3.0,,,,84.0,25.0,6.4,4.0,0,,2.0,4.0,3.0,,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,
13055101,home,Southampton,Mateus Fernandes,,,mateus-fernandes,M. Fernandes,M,18,178,3995,M,1142562,EUR,1089417600,M,18,18,False,,29.0,18.0,4.0,2.0,0.0,12.0,16.0,7.0,16.0,,6.0,,,,90.0,54.0,7.6,18.0,1,3.0,2.0,2.0,8.0,,2.0,4.0,4.0,,,,,1.0,2.0,,,,4.0,,1.0,2.0,1.0,1.0,2.0,,,,,,,
