match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_expectedGoals,stat_accurateCross,stat_keyPass,captain,stat_blockedScoringAttempt,player_lastName,stat_wonContest,stat_errorLeadToAShot,player_sofascoreId,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_totalOffside
12530793,home,Başakşehir FK,Muhammed Şengezer,muhammed-sengezer,M. Şengezer,G,16,185,464,M,827418,EUR,852422400,G,16,16,False,34.0,22.0,23.0,11.0,0.0,14.0,15.0,8.0,19.0,1.0,2.0,2.0,1.0,2.0,90.0,39.0,6.6,12.0,0.00440225,0,-0.9472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530793,home,Başakşehir FK,Hamza Güreler,hamza-gureler,H. Güreler,D,15,192,199,M,1562294,EUR,1144627200,D,15,15,False,37.0,28.0,8.0,5.0,0.0,18.0,24.0,10.0,15.0,4.0,14.0,1.0,,,90.0,68.0,7.5,15.0,0.0253954,0,,Hamza Güreler,2.0,2.0,6.0,1.0,5.0,1.0,2.0,10.0,9.0,7.0,2.0,3.0,,,,,,,,,,,,,,,,,,
12530793,home,Başakşehir FK,Jerome Opoku,opoku-jerome,J. Opoku,D,3,194,1395,M,920514,EUR,908323200,D,3,3,False,32.0,26.0,9.0,5.0,0.0,17.0,18.0,9.0,14.0,3.0,4.0,1.0,,,90.0,45.0,6.1,10.0,0.0457411,1,,,,2.0,11.0,,4.0,1.0,,6.0,,,1.0,6.0,2.0,1.0,1.0,0.0137,,,,,,,,,,,,,,
12530793,home,Başakşehir FK,Lucas Lima,lucas-lima,L. Lima,D,3,178,140,M,248529,EUR,687052800,D,6,6,False,34.0,25.0,7.0,2.0,0.0,14.0,17.0,12.0,21.0,1.0,2.0,,,,90.0,60.0,6.8,17.0,0.0270701,0,,,4.0,,,,5.0,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,
12530793,home,Başakşehir FK,Onur Ergün,onur-ergun,O. Ergün,M,4,185,45,M,893009,EUR,721785600,M,4,4,False,42.0,34.0,4.0,2.0,0.0,20.0,22.0,14.0,20.0,,2.0,,,,90.0,53.0,6.9,9.0,0.0210307,0,,,,,2.0,1.0,,,4.0,5.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12530793,home,Başakşehir FK,Deniz Türüç,deniz-turuc,D. Türüç,M,9,175,292,M,252207,EUR,728265600,M,23,23,False,26.0,21.0,3.0,1.0,0.0,10.0,11.0,12.0,20.0,,,,,,86.0,43.0,6.5,12.0,0.120183,1,,,5.0,,1.0,,2.0,,,6.0,,,2.0,,1.0,,,0.0186,1.0,,True,1.0,,,,,,,,,,
12530793,home,Başakşehir FK,Ömer Faruk Beyaz,omer-faruk-beyaz,Ö. F. Beyaz,M,99,171,399,M,1022881,EUR,1062115200,M,17,17,False,26.0,21.0,,,0.0,8.0,8.0,13.0,18.0,,4.0,,,,67.0,39.0,6.6,8.0,0.0367648,1,,,,1.0,4.0,1.0,2.0,,,1.0,3.0,,1.0,1.0,1.0,1.0,,0.3301,,,,1.0,,1.0,,,,,,,,
12530793,home,Başakşehir FK,Olivier Kemen,olivier-kemen,O. Kemen,M,8,177,827,M,280447,EUR,837820800,M,8,8,False,29.0,22.0,1.0,,0.0,13.0,14.0,10.0,18.0,2.0,6.0,3.0,,,89.0,44.0,6.6,11.0,0.0454989,1,,,3.0,1.0,4.0,,1.0,,,8.0,1.0,,,1.0,1.0,1.0,,0.0231,1.0,,,1.0,,,,,,,,,,
12530793,home,Başakşehir FK,Davidson,davidson,Davidson,M,,177,353,M,814334,EUR,668131200,M,91,91,False,27.0,22.0,3.0,2.0,0.0,9.0,12.0,14.0,16.0,,5.0,2.0,,,67.0,46.0,7.0,9.0,0.15826,0,,,1.0,2.0,3.0,,2.0,2.0,,6.0,1.0,1.0,1.0,,,3.0,,,1.0,1.0,,,,2.0,1.0,,,,,,,
12530793,home,Başakşehir FK,Krzysztof Piątek,krzysztof-piatek,K. Piątek,F,9,183,13169,M,558738,EUR,804556800,F,9,9,False,19.0,9.0,1.0,,0.0,2.0,2.0,8.0,20.0,5.0,7.0,1.0,,,90.0,35.0,7.3,17.0,0.0630549,2,,,3.0,4.0,9.0,,1.0,,1.0,1.0,,,2.0,2.0,2.0,2.0,1.0,0.4669,1.0,,,,,1.0,,pjona_9,1.0,1.0,1.0,0.3017,,
