match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_fouls,player_firstName,player_lastName,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_totalCross,stat_penaltyConceded,captain,stat_wonTackle,stat_onTargetScoringAttempt,stat_keyPass,stat_accurateCross,stat_shotOffTarget,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed,stat_blockedScoringAttempt,player_sofascoreId
10407291,home,KV Mechelen,Yannick Thoelen,yannick-thoelen,Y. Thoelen,G,15,188,95,M,794571,EUR,648259200,G,15,15,False,28.0,23.0,10.0,5.0,21.0,21.0,2.0,7.0,1.0,1.0,4.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,90.0,41.0,6.2,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407291,home,KV Mechelen,Jannes Van Hecke,jannes-van-hecke,J. V. Hecke,M,78,175,70,M,965741,EUR,1011052800,D,6,6,False,48.0,41.0,2.0,1.0,22.0,26.0,19.0,22.0,,1.0,,7.0,,,,,,,,90.0,64.0,5.8,11.0,0,2.0,8.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
10407291,home,KV Mechelen,David Bates,david-bates,D. Bates,D,4,193,95,M,839675,EUR,844473600,D,27,27,False,50.0,41.0,6.0,,33.0,39.0,8.0,11.0,1.0,1.0,3.0,1.0,,,,,,,,90.0,61.0,6.5,9.0,0,1.0,2.0,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
10407291,home,KV Mechelen,Dries Wouters,dries-wouters,D. Wouters,D,5,189,35,M,339269,EUR,854409600,D,4,4,False,68.0,63.0,,,51.0,54.0,12.0,14.0,1.0,4.0,3.0,10.0,,,,,,,,90.0,75.0,6.6,5.0,0,,,,,,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,
10407291,home,KV Mechelen,Boli Bolingoli,boli-bolingoli,B. Bolingoli,D,5,180,129,M,333301,EUR,804556800,D,21,21,False,43.0,38.0,1.0,,25.0,25.0,13.0,18.0,,1.0,1.0,4.0,,,,,,,,60.0,57.0,6.3,8.0,0,,1.0,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,
10407291,home,KV Mechelen,Dimitri Lavalėe,dimitri-lavalee,D. Lavalėe,D,24,187,148,M,857458,EUR,853113600,M,14,14,False,66.0,52.0,15.0,10.0,24.0,27.0,28.0,42.0,3.0,7.0,3.0,7.0,,,,,,,,90.0,86.0,6.8,18.0,0,3.0,3.0,,,2.0,2.0,2.0,1.0,,,2.0,2.0,1.0,,3.0,1.0,,,,,,,,,,,,,
10407291,home,KV Mechelen,Kerim Mrabti,kerim-mrabti,K. Mrabti,F,19,175,187,M,338869,EUR,769392000,M,19,19,False,52.0,48.0,7.0,5.0,25.0,25.0,23.0,27.0,,1.0,2.0,4.0,,,,,,,,90.0,59.0,6.2,6.0,0,3.0,6.0,2.0,,,1.0,1.0,,,,1.0,,1.0,,,,True,1.0,,,,,,,,,,,
10407291,home,KV Mechelen,Geoffry Hairemans,geoffry-hairemans,G. Hairemans,F,11,184,140,M,58917,EUR,688003200,M,7,7,False,66.0,55.0,7.0,6.0,13.0,15.0,42.0,53.0,,3.0,,6.0,,,,,,,,90.0,81.0,6.6,14.0,1,,5.0,2.0,,,1.0,2.0,3.0,,,1.0,1.0,1.0,,2.0,,,1.0,1.0,1.0,,,,,,,,,
10407291,home,KV Mechelen,Alessio Da Cruz,alessio-da-cruz,A. D. Cruz,F,77,184,273,M,780206,EUR,853545600,M,22,22,False,17.0,10.0,,,5.0,8.0,5.0,9.0,1.0,5.0,,,,,,,,,,60.0,30.0,6.1,16.0,0,1.0,5.0,,3.0,,,2.0,,,,1.0,,5.0,2.0,,,,,,,,,,,,,,,
10407291,home,KV Mechelen,Nikola Storm,nikola-storm,N. Storm,F,26,178,277,M,149796,EUR,780883200,M,11,11,False,42.0,33.0,3.0,3.0,9.0,12.0,25.0,32.0,,3.0,,5.0,,,,,,,,90.0,57.0,6.9,14.0,2,,2.0,,1.0,,1.0,1.0,,,,2.0,1.0,2.0,1.0,2.0,,,,,2.0,1.0,2.0,,,,,,,
