match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_interceptionWon,stat_ballRecovery,stat_wasFouled,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_keyPass,stat_duelLost,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialLost,stat_totalContest,stat_challengeLost,stat_wonContest,stat_shotOffTarget,stat_unsuccessfulTouch,stat_dispossessed,stat_blockedScoringAttempt,player_sofascoreId,stat_bigChanceCreated,stat_goalAssist,stat_hitWoodwork,stat_totalOffside,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves
11450178,home,Trabzonspor,Uğurcan Çakır,ugurcan-cakir,U. Çakır,G,1,192,4886,M,754330,EUR,828662400,G,1,1,False,True,39.0,27.0,25.0,13.0,16.0,20.0,11.0,19.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,90.0,44.0,6.7,12.0,0.0031041,0,-0.1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450178,home,Trabzonspor,Jens Stryger Larsen,jens-stryger-larsen,J. Stryger Larsen,D,17,180,369,M,44848,EUR,667094400,D,19,19,False,,27.0,24.0,2.0,,9.0,10.0,16.0,19.0,,,1.0,5.0,,,,45.0,36.0,6.6,6.0,0.137678,0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11450178,home,Trabzonspor,Batista Mendy,batista-mendy,B. Mendy,M,19,191,1292,M,859021,EUR,947635200,D,6,6,False,,58.0,47.0,6.0,,36.0,37.0,11.0,21.0,1.0,5.0,1.0,7.0,1.0,,,90.0,66.0,7.6,11.0,0.0055681,1,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0643,0.3147,,,,,,,,,,,,,,,,
11450178,home,Trabzonspor,Stefano Denswil,stefano-denswil,S. Denswil,D,4,188,263,M,97404,EUR,736732800,D,24,24,False,,63.0,59.0,5.0,4.0,35.0,38.0,24.0,25.0,3.0,4.0,1.0,2.0,1.0,,,90.0,70.0,6.7,5.0,0.0927406,0,,,,,,,4.0,,,2.0,,,,1.0,,,3.0,1.0,,,,,,,,,,,,,,
11450178,home,Trabzonspor,Eren Elmalı,eren-elmali,E. Elmalı,D,17,180,4102,M,981483,EUR,962928000,D,18,18,False,,34.0,29.0,4.0,2.0,17.0,20.0,13.0,15.0,1.0,3.0,1.0,2.0,1.0,,,90.0,49.0,6.7,6.0,0.0144852,1,,,,1.0,1.0,1.0,5.0,,,,,,,1.0,0.0579,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,
11450178,home,Trabzonspor,Berat Ayberk Özdemir,berat-ayberk-ozdemir,B. A. Özdemir,M,2,187,216,M,876857,EUR,895881600,M,5,5,False,,48.0,45.0,2.0,1.0,16.0,16.0,29.0,32.0,1.0,7.0,1.0,8.0,,,,90.0,59.0,7.1,5.0,0.0242794,0,,,,,,,5.0,,,,,5.0,5.0,2.0,,,1.0,2.0,1.0,1.0,,1.0,,,,,,,,,,
11450178,home,Trabzonspor,Anastasios Bakasetas,anastasios-bakasetas,A. Bakasetas,M,11,180,2113,M,114076,EUR,741225600,M,11,11,False,,55.0,45.0,5.0,3.0,13.0,14.0,32.0,45.0,3.0,7.0,,4.0,2.0,,,90.0,72.0,7.4,16.0,0.0518853,5,,,,4.0,,2.0,4.0,1.0,,1.0,,2.0,2.0,2.0,0.1622,0.1223,1.0,,,,1.0,1.0,1.0,3.0,,,,,,,,
11450178,home,Trabzonspor,Edin Višća,edin-visca,E. Višća,M,7,172,1000,M,109779,EUR,635212800,M,7,7,False,,36.0,29.0,6.0,5.0,9.0,10.0,22.0,30.0,,1.0,,1.0,1.0,,,81.0,59.0,7.0,14.0,0.165572,4,,,,4.0,2.0,3.0,5.0,,,,,,,1.0,0.2437,,,2.0,,,2.0,1.0,2.0,2.0,,,,,,,,
11450178,home,Trabzonspor,Abdülkadir Ömür,abdulkadir-omur,A. Ömür,M,10,168,642,M,826155,EUR,930268800,M,10,10,False,,27.0,25.0,,,8.0,8.0,17.0,20.0,1.0,3.0,,2.0,2.0,,,81.0,33.0,7.0,3.0,0.0342693,0,,,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11450178,home,Trabzonspor,Mahmoud Trézéguet,mahmoud-trezeguet,M. Trézéguet,M,7,179,38551,M,295361,EUR,780969600,M,27,27,False,,37.0,29.0,1.0,1.0,6.0,8.0,23.0,29.0,1.0,7.0,,7.0,2.0,,,90.0,55.0,7.5,13.0,0.43622,4,,,,,,3.0,6.0,1.0,,,,2.0,2.0,2.0,0.2398,0.0613,,3.0,1.0,2.0,1.0,2.0,2.0,2.0,mahmoudtrezeguet,1.0,,,,,,
