match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_hitWoodwork,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_outfielderBlock,stat_fouls,stat_dispossessed,stat_onTargetScoringAttempt,stat_goalAssist,stat_goals,captain,stat_bigChanceMissed,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal
11449414,home,Kasımpaşa,Andreas Gianniotis,andreas-gianniotis,A. Gianniotis,G,1,190.0,177,M,236746,EUR,724636800,G,1,1,False,23.0,13.0,16.0,6.0,9.0,9.0,4.0,14.0,4.0,5.0,2.0,2.0,2.0,2.0,90.0,34.0,6.8,10.0,0.0,0.0,0.0011322,0,0.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11449414,home,Kasımpaşa,Cláudio Winck,claudio-winck,C. Winck,D,2,183.0,182,M,155998,EUR,766368000,D,2,2,False,34.0,27.0,8.0,4.0,10.0,12.0,19.0,29.0,2.0,4.0,,,,,90.0,71.0,7.6,15.0,0.0816,0.0,0.0849493,2,,7.0,2.0,1.0,2.0,3.0,8.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,
11449414,home,Kasımpaşa,Kenneth Omeruo,kenneth-omeruo,K. Omeruo,D,,185.0,570,M,158293,EUR,750816000,D,4,4,False,35.0,28.0,7.0,2.0,18.0,20.0,10.0,15.0,4.0,3.0,,,,,90.0,48.0,6.6,8.0,0.0148,0.0,0.00361162,1,,,,,2.0,1.0,2.0,,1.0,,,,,3.0,,,,,1.0,,,1.0,,,,,,,,,,,,
11449414,home,Kasımpaşa,Yasin Özcan,yasin-ozcan,Y. Özcan,D,58,185.0,1802,M,1392102,EUR,1145491200,D,58,58,False,38.0,31.0,7.0,1.0,20.0,22.0,11.0,16.0,7.0,5.0,,,,,90.0,49.0,6.6,7.0,0.0,0.0,0.00383448,0,,,,2.0,2.0,3.0,2.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,
11449414,home,Kasımpaşa,Tuncer Duhan Aksu,tuncer-duhan-aksu,T. D. Aksu,D,3,183.0,18,M,893007,EUR,873936000,D,3,3,False,33.0,26.0,2.0,,14.0,16.0,14.0,19.0,2.0,5.0,,,,,90.0,61.0,6.9,15.0,0.0,0.0,0.120931,0,,2.0,2.0,,1.0,4.0,7.0,1.0,3.0,2.0,,,,3.0,4.0,3.0,2.0,,2.0,,,,,,2.0,,,,,,,,,
11449414,home,Kasımpaşa,Gökhan Gül,gokhan-gul,G. Gül,M,17,180.0,105,M,797820,EUR,900633600,M,6,6,False,42.0,37.0,5.0,4.0,20.0,21.0,17.0,21.0,2.0,7.0,,,,,90.0,61.0,7.4,8.0,0.0622,0.1485,0.0111556,3,,,,1.0,1.0,3.0,4.0,1.0,,,,2.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,
11449414,home,Kasımpaşa,Aytaç Kara,aytac-kara,A. Kara,M,35,188.0,160,M,128196,EUR,732844800,M,35,35,False,49.0,44.0,4.0,4.0,19.0,21.0,26.0,32.0,2.0,8.0,,,,,90.0,64.0,7.6,8.0,0.2047,0.0,0.136128,1,,4.0,1.0,,3.0,1.0,7.0,1.0,,,,1.0,,,3.0,3.0,,1.0,1.0,,,,,,,,1.0,,,,,,,
11449414,home,Kasımpaşa,Mortadha Ben Ouanes,mortadha-ben-ouanes,M. B. Ouanes,M,12,182.0,1246,M,919225,EUR,773107200,M,12,12,False,40.0,29.0,,,6.0,9.0,24.0,36.0,2.0,7.0,,,,,90.0,63.0,8.4,20.0,0.0373,1.0434,0.0818045,2,,5.0,1.0,4.0,4.0,9.0,7.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,3.0,1.0,2.0,,,,,1.0,2.0,2.0,,2.0,,,,,,
11449414,home,Kasımpaşa,Haris Hajradinović,haris-hajradinovic,H. Hajradinović,M,10,179.0,1214,M,254979,EUR,761529600,M,10,10,False,46.0,38.0,6.0,5.0,12.0,12.0,27.0,38.0,1.0,9.0,,,,,90.0,74.0,9.0,18.0,0.109,0.0266,0.319834,3,,4.0,1.0,2.0,2.0,9.0,11.0,3.0,2.0,,2.0,2.0,1.0,1.0,4.0,3.0,4.0,5.0,4.0,,,,,2.0,,1.0,2.0,,True,,,,,
11449414,home,Kasımpaşa,Iron Gomis,iron-gomis,I. Gomis,M,17,182.0,126,M,979593,EUR,942019200,M,97,97,False,18.0,17.0,,,3.0,3.0,14.0,16.0,1.0,3.0,,,,,77.0,31.0,6.7,6.0,0.0,0.0,0.0423371,0,,1.0,,,,6.0,4.0,1.0,2.0,1.0,,,,,1.0,1.0,1.0,2.0,1.0,,,,,3.0,1.0,,,,,,,,,
