match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_keyPass,stat_fouls,player_sofascoreId,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_goalAssist,stat_wonContest,stat_bigChanceCreated,captain,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_goodHighClaim,stat_clearanceOffLine
10411645,home,Lecce,Wladimiro Falcone,,,wladimiro-falcone,W. Falcone,G,30,195,839,M,256667,EUR,797644800,G,30,30,False,18.0,11.0,8.0,1.0,11.0,14.0,4.0,8.0,1.0,4.0,90.0,29.0,6.6,7.0,0.0,0.0,7.832e-05,19.369053436037,2.0,2.94,4.62,0,-0.8815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411645,home,Lecce,Valentin Gendrey,,,valentin-gendrey,V. Gendrey,D,15,179,294,M,944899,EUR,961545600,D,17,17,False,50.0,32.0,6.0,3.0,19.0,26.0,28.0,13.0,,,90.0,85.0,7.0,25.0,0.0,0.0,0.177743,88.330063089514,12.0,64.155,14.7,0,,14.0,4.0,1.0,2.0,4.0,5.0,10.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
10411645,home,Lecce,Federico Baschirotto,,,federico-baschirotto,F. Baschirotto,D,6,187,1366,M,786175,EUR,843177600,D,6,6,False,80.0,65.0,11.0,7.0,30.0,36.0,44.0,7.0,,,90.0,84.0,6.4,16.0,0.0,0.0,0.0234387,283.64095336547,34.0,205.065,15.855,0,,35.0,,,1.0,5.0,5.0,6.0,1.0,,,2.0,,,,,1.0,,,3.0,,,,,,,,,,,,,,,
10411645,home,Lecce,Samuel Umtiti,,,samuel-umtiti,S. Umtiti,D,,182,3972,M,96547,EUR,753235200,D,93,93,False,83.0,77.0,8.0,3.0,45.0,46.0,38.0,9.0,,,90.0,101.0,6.8,7.0,0.1993,0.0,0.0519522,352.72374048701,38.0,217.35,19.425,1,,33.0,1.0,1.0,3.0,2.0,5.0,6.0,,,1.0,2.0,1.0,2.0,2.0,,2.0,,1.0,1.0,samumtiti,1.0,1.0,1.0,17.43848720503,1.0,,,,,,,,,
10411645,home,Lecce,Giuseppe Pezzella,,,giuseppe-pezzella,G. Pezzella,M,3,187,619,M,814589,EUR,880761600,D,97,97,False,44.0,38.0,5.0,2.0,14.0,19.0,32.0,6.0,,,90.0,82.0,7.1,17.0,0.0,0.0,0.106203,90.90139298149,13.0,48.195,13.545,0,,24.0,7.0,,,,6.0,6.0,,3.0,2.0,2.0,1.0,5.0,1.0,,,,1.0,2.0,,,,,,,1.0,1.0,1.0,,,,,,
10411645,home,Lecce,Alexis Blin,,,alexis-blin,A. Blin,M,28,184,149,M,318657,EUR,842832000,M,29,29,False,52.0,44.0,1.0,,19.0,19.0,35.0,7.0,,,78.0,65.0,7.0,10.0,0.0217,0.0,0.097859,52.646278799521,10.0,29.505,8.61,1,,26.0,2.0,1.0,4.0,4.0,6.0,7.0,1.0,,,2.0,,2.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,
10411645,home,Lecce,Morten Hjulmand,Morten,Hjulmand,hjulmand-morten,M. Hjulmand,M,42,185,4443,M,859917,EUR,930268800,M,42,42,False,76.0,68.0,11.0,6.0,25.0,26.0,51.0,14.0,,,90.0,91.0,7.4,10.0,0.0387,0.0,0.134746,261.54188661378,38.0,153.195,15.12,1,,43.0,1.0,,,1.0,3.0,3.0,3.0,,,3.0,4.0,2.0,2.0,1.0,,,4.0,,,,,,,,,,,True,1.0,,,,
10411645,home,Lecce,Youssef Maleh,,,maleh-youssef,Y. Maleh,M,29,177,1361,M,849274,EUR,903744000,M,32,32,False,11.0,11.0,,,5.0,5.0,6.0,2.0,,,55.0,16.0,6.2,2.0,0.0,0.0,0.0189504,21.452131950382,4.0,7.14,6.09,0,,6.0,,,1.0,,5.0,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,3.0,,,,,,,,,,,,,,,
10411645,home,Lecce,Rémi Oudin,,,remi-oudin,R. Oudin,M,28,185,292,M,842709,EUR,848275200,F,28,28,False,22.0,13.0,1.0,1.0,6.0,11.0,15.0,6.0,,,45.0,33.0,7.1,13.0,0.0536,0.0161,0.0996585,41.224899267222,5.0,-2.625,7.35,1,,9.0,4.0,2.0,,,1.0,3.0,,,2.0,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,
10411645,home,Lecce,Lorenzo Colombo,,,lorenzo-colombo,L. Colombo,F,29,183,2440,M,930191,EUR,1015545600,F,9,9,False,17.0,14.0,1.0,1.0,4.0,4.0,15.0,2.0,,,70.0,42.0,6.8,13.0,0.4948,0.0,0.0178024,35.102953145886,4.0,12.495,10.815,3,,10.0,2.0,,4.0,2.0,8.0,5.0,,2.0,3.0,1.0,,2.0,1.0,4.0,,,1.0,,,,2.0,,13.755516166251,1.0,,1.0,,,,1.0,,,
