match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_jerseyNumber,captain,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_sofascoreId,stat_aerialLost,stat_outfielderBlock,stat_wonContest,stat_shotOffTarget,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_hitWoodwork,stat_goals,stat_goalAssist,stat_totalOffside,stat_goodHighClaim,stat_punches
10909911,home,Crystal Palace,Vicente Guaita,vicente-guaita,V. Guaita,G,190,506,M,32023,EUR,537235200,G,13,13,False,27.0,22.0,10.0,6.0,20.0,22.0,2.0,5.0,10.0,1.0,1.0,2.0,1.0,1.0,90.0,38.0,6.0,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10909911,home,Crystal Palace,Joel Ward,joel-ward,J. Ward,D,188,259,M,39183,EUR,625622400,D,2,2,False,39.0,25.0,6.0,1.0,13.0,15.0,12.0,25.0,7.0,,,,,,74.0,64.0,6.1,23.0,0,,,25,True,1.0,3.0,5.0,6.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10909911,home,Crystal Palace,Joachim Andersen,joachim-andersen,J. Andersen,D,190,2370,M,362682,EUR,833500800,D,16,16,False,88.0,68.0,25.0,10.0,46.0,54.0,22.0,36.0,7.0,,,,,,90.0,97.0,6.6,23.0,0,,,5,,2.0,2.0,,3.0,,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
10909911,home,Crystal Palace,Marc Guéhi,marc-guehi,M. Guéhi,D,182,24476,M,877994,EUR,963446400,D,6,6,False,62.0,58.0,4.0,1.0,46.0,47.0,12.0,15.0,4.0,,,,,,90.0,74.0,7.0,5.0,0,,,15,,,1.0,4.0,7.0,,,1.0,2.0,4.0,2.0,,2.0,2.0,,MarcGuehi13,2.0,1.0,,,,,,,,,,,,,,
10909911,home,Crystal Palace,Nathaniel Clyne,nathaniel-clyne,N. Clyne,D,175,679,M,43215,EUR,670809600,D,17,17,False,36.0,28.0,4.0,2.0,15.0,20.0,13.0,16.0,3.0,,,,,,90.0,56.0,6.4,12.0,1,,,17,,,1.0,5.0,4.0,,2.0,1.0,1.0,2.0,2.0,,,,,,4.0,,1.0,1.0,,,,,,,,,,,,
10909911,home,Crystal Palace,Michael Olise,michael-olise,M. Olise,M,184,79615,M,978838,EUR,1008115200,M,7,7,False,51.0,43.0,2.0,2.0,15.0,16.0,29.0,45.0,7.0,,,,,,90.0,75.0,7.8,20.0,2,,,17,,10.0,1.0,4.0,8.0,1.0,1.0,,1.0,3.0,2.0,,5.0,1.0,5.0,MOlise,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,
10909911,home,Crystal Palace,Cheick Doucouré,cheick-doucoure,C. Doucouré,M,181,1468,M,906047,EUR,947289600,M,28,28,False,39.0,31.0,4.0,3.0,16.0,17.0,15.0,22.0,5.0,,,,,,64.0,46.0,6.8,10.0,1,,,28,,,1.0,3.0,2.0,1.0,,2.0,,1.0,,1.0,,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,,
10909911,home,Crystal Palace,Will Hughes,will-hughes,W. Hughes,M,185,1024,M,193554,EUR,798076800,M,19,19,False,33.0,27.0,3.0,,11.0,11.0,16.0,23.0,4.0,,,,,,74.0,40.0,6.6,7.0,0,,,19,,1.0,,2.0,2.0,,,,2.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
10909911,home,Crystal Palace,Jordan Ayew,jordan-ayew,J. Ayew,F,182,13137,M,103045,EUR,684547200,F,9,9,False,22.0,22.0,,,11.0,11.0,11.0,12.0,8.0,,,,,,90.0,57.0,6.4,16.0,1,,,9,,1.0,1.0,8.0,7.0,7.0,1.0,,3.0,2.0,1.0,7.0,4.0,1.0,,jordanayew9,,,1.0,1.0,,,,,,1.0,1.0,,,,,
10909911,home,Crystal Palace,Odsonne Édouard,odsonne-edouard,O. Édouard,F,187,6600,M,795228,EUR,884908800,F,22,22,False,24.0,15.0,,,4.0,6.0,11.0,18.0,3.0,,,,,,65.0,32.0,7.1,11.0,1,,,11,,,2.0,6.0,5.0,1.0,1.0,,,1.0,,,2.0,1.0,,,3.0,,,,,,,1.0,,,,1.0,,,,
