match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_accurateLongBalls,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_keyPass,captain,player_sofascoreId,stat_bigChanceCreated,stat_dispossessed,stat_bigChanceMissed,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalAssist,stat_goals,stat_errorLeadToAShot,stat_totalOffside
11406860,home,Frosinone,Stefano Turati,stefano-turati,S. Turati,G,13,188,559,M,893752,EUR,999648000,G,80,80,False,25.0,19.0,6.0,19.0,23.0,2.0,5.0,1.0,1.0,2.0,90.0,30.0,6.1,6.0,4.827e-05,0,-1.3114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406860,home,Frosinone,Pol Lirola,pol-lirola,P. Lirola,D,14,183,660,M,844480,EUR,871430400,D,20,20,False,23.0,18.0,1.0,8.0,11.0,12.0,3.0,,,,67.0,31.0,6.4,5.0,0.0242334,1,,10.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0344,0.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406860,home,Frosinone,Ilario Monterisi,ilario-monterisi,I. Monterisi,D,30,190,147,M,1009363,EUR,1008720000,D,30,30,False,38.0,31.0,2.0,23.0,24.0,14.0,5.0,,,,90.0,45.0,6.3,7.0,0.00587282,0,,8.0,1.0,1.0,2.0,,,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11406860,home,Frosinone,Caleb Okoli,caleb-okoli,C. Okoli,D,5,191,938,M,967722,EUR,994982400,D,5,5,False,40.0,32.0,4.0,20.0,25.0,15.0,4.0,,,,90.0,55.0,6.6,9.0,0.00351582,0,,12.0,2.0,2.0,6.0,,,1.0,4.0,,,,,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11406860,home,Frosinone,Emanuele Valeri,emanuele-valeri,E. Valeri,D,14,180,818,M,891346,EUR,912988800,D,32,32,False,26.0,17.0,3.0,4.0,5.0,30.0,4.0,,,,90.0,56.0,6.7,24.0,0.0428866,2,,14.0,1.0,7.0,5.0,,,1.0,2.0,0.0337,,,,,,1.0,3.0,1.0,2.0,1.0,,,9.0,1.0,6.0,3.0,1.0,1.0,4.0,,,,,,,,,,,,,
11406860,home,Frosinone,Marco Brescianini,marco-brescianini,M. Brescianini,M,4,188,1111,M,928800,EUR,948326400,M,4,4,False,19.0,15.0,2.0,6.0,9.0,11.0,6.0,,,,67.0,33.0,7.1,6.0,0.0540079,2,,10.0,,,4.0,,,1.0,,0.0902,,,,,,1.0,,1.0,,2.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,
11406860,home,Frosinone,Luca Mazzitelli,luca-mazzitelli,L. Mazzitelli,M,4,180,415,M,369866,EUR,816393600,M,36,36,False,63.0,53.0,15.0,27.0,29.0,34.0,5.0,,,,90.0,77.0,6.8,13.0,0.0279554,3,,26.0,2.0,5.0,4.0,1.0,,2.0,2.0,0.078,,,,1.0,,2.0,3.0,7.0,1.0,3.0,,1.0,,,,,1.0,2.0,1.0,True,,,,,,,,,,,,
11406860,home,Frosinone,Matías Soulé,matias-soule,M. Soulé,F,18,182,12526,M,1082406,EUR,1050364800,M,18,18,False,41.0,32.0,4.0,15.0,17.0,28.0,4.0,,,,88.0,58.0,7.2,13.0,0.154349,3,,19.0,2.0,2.0,3.0,,2.0,1.0,,0.1534,0.4929,,,,,,,3.0,,1.0,,2.0,4.0,2.0,1.0,1.0,1.0,,1.0,,matiassoule11,,,,,,,,,,,
11406860,home,Frosinone,Reinier,reinier,Reinier,F,19,185,23831,M,978562,EUR,1011398400,M,12,12,False,18.0,16.0,1.0,4.0,4.0,16.0,4.0,,,,75.0,33.0,7.1,5.0,0.0558272,3,,12.0,1.0,1.0,4.0,,,1.0,1.0,0.093,,,,1.0,,2.0,,,,1.0,,2.0,2.0,,,,2.0,1.0,1.0,,reinier.jesus,,,,,,,,,,,
11406860,home,Frosinone,Francesco Gelli,francesco-gelli,F. Gelli,M,10,173,62,M,595900,EUR,845337600,M,14,14,False,29.0,26.0,2.0,10.0,11.0,22.0,7.0,,,,90.0,42.0,7.5,6.0,0.300545,1,,17.0,,,5.0,,1.0,1.0,2.0,0.0682,0.2786,,,1.0,,,,1.0,1.0,,,2.0,4.0,1.0,,,,,3.0,,,1.0,,,,,,,,,,
