match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_penaltyWon,stat_keyPass,stat_aerialWon,stat_totalClearance,stat_goalAssist,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_wonTackle,stat_blockedScoringAttempt,stat_wonContest,stat_shotOffTarget,stat_totalOffside,player_sofascoreId,stat_lastManTackle,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_errorLeadToAGoal,stat_penaltyConceded
10406924,home,KVC Westerlo,Sinan Bolat,,,sinan-bolat,S. Bolat,G,26,187,168,M,5920,EUR,589248000,G,1,1,False,True,44.0,37.0,20.0,13.0,34.0,36.0,3.0,8.0,7.0,90.0,50.0,6.9,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406924,home,KVC Westerlo,Bryan Reynolds,,,bryan-reynolds,B. Reynolds,D,22,185,425,M,862075,EUR,993686400,D,22,22,False,,54.0,47.0,7.0,7.0,33.0,36.0,15.0,20.0,6.0,78.0,73.0,7.8,11.0,0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10406924,home,KVC Westerlo,Rubin Seigers,,,rubin-seigers,R. Seigers,D,4,187,36,M,794983,EUR,884476800,D,23,23,False,,76.0,69.0,10.0,4.0,64.0,66.0,5.0,10.0,6.0,90.0,88.0,7.4,10.0,0,,,2.0,2.0,4.0,,,1.0,1.0,2.0,2.0,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,
10406924,home,KVC Westerlo,Ravil Tagir,,,tagir-ravil,R. Tagir,D,28,185,250,M,992551,EUR,1052179200,D,24,24,False,,76.0,67.0,9.0,7.0,59.0,65.0,8.0,11.0,6.0,90.0,89.0,7.4,11.0,0,,,1.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,3.0,5.0,,,,,,,,,,,,,,,,,,
10406924,home,KVC Westerlo,Maxim De Cuyper,,,maxim-de-cuyper,M. De Cuyper,D,29,183,4482,M,997152,EUR,977443200,D,11,11,False,,71.0,55.0,10.0,5.0,33.0,40.0,23.0,34.0,8.0,90.0,86.0,7.9,20.0,0,3.0,1.0,,1.0,2.0,,,,,1.0,,,,,2.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,
10406924,home,KVC Westerlo,Tuur Dierckx,,,tuur-dierckx,T. Dierckx,F,,171,133,M,190409,EUR,799977600,M,55,55,False,,24.0,14.0,2.0,,4.0,6.0,11.0,22.0,3.0,90.0,41.0,7.1,18.0,1,4.0,1.0,2.0,5.0,7.0,,2.0,,1.0,1.0,3.0,3.0,1.0,,,3.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,
10406924,home,KVC Westerlo,Lucas Mineiro,,,lucas-mineiro,L. Mineiro,M,8,188,115,M,840077,EUR,825120000,M,6,6,False,,29.0,21.0,3.0,2.0,14.0,20.0,7.0,9.0,6.0,73.0,38.0,7.0,8.0,1,,,5.0,7.0,8.0,,,,1.0,3.0,,3.0,2.0,,1.0,2.0,,,,,,,2.0,1.0,,,,,,,,,,,
10406924,home,KVC Westerlo,Mathias Fixelles,,,mathias-fixelles,M. Fixelles,M,11,174,39,M,876447,EUR,839721600,M,4,4,False,,55.0,52.0,5.0,5.0,26.0,28.0,26.0,30.0,11.0,90.0,77.0,7.1,15.0,2,3.0,,1.0,6.0,5.0,2.0,2.0,,1.0,2.0,5.0,1.0,1.0,,,1.0,,,1.0,,,,2.0,1.0,1.0,1.0,,,,,,,,,
10406924,home,KVC Westerlo,Nacer Chadli,,,nacer-chadli,N. Chadli,M,,187,416,M,32492,EUR,618019200,M,5,5,False,,30.0,23.0,4.0,3.0,10.0,16.0,14.0,16.0,6.0,65.0,42.0,7.5,10.0,3,2.0,1.0,3.0,6.0,2.0,,,,,1.0,,1.0,1.0,,,,,,2.0,,1.0,1.0,1.0,,,2.0,,,,,,,,,
10406924,home,KVC Westerlo,Lyle Foster,,,foster-lyle,L. Foster,F,9,180,7126,M,901907,EUR,967939200,F,9,9,False,,27.0,20.0,,,5.0,7.0,15.0,20.0,1.0,79.0,43.0,8.2,15.0,3,,,1.0,7.0,2.0,,2.0,,,,2.0,1.0,,,2.0,1.0,,,4.0,,3.0,2.0,,,,,3.0,,,,,,,,
