match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_ballRecovery,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_aerialLost,stat_outfielderBlock,stat_wonTackle,player_sofascoreId,captain,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_totalCross,stat_totalContest,stat_blockedScoringAttempt,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,stat_wonContest,stat_goalAssist,stat_shotOffTarget,stat_wasFouled,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,stat_penaltyWon
11453084,home,Al-Shabab,Mohammed Essa Harbush,Mohammed Essa Harbush,,mohammed-essa-harbush,M. E. Harbush,D,38,170,36,M,1201501,EUR,1051142400,D,38,38,True,10.0,7.0,2.0,1.0,6.0,7.0,2.0,4.0,3.0,2.0,,,,,,,,,12.0,15.0,6.8,3.0,1,,2.0,,2.0,1.0,,1.0,,,2.0,1.0,,,1.0,,,1.0,,,,,,,,,,,
11453084,home,Al-Shabab,Nawaf Al Sadi,Nawaf Alsadi,,nawaf-alsadi,N. A. Sadi,M,18,172,64,M,1115888,EUR,972086400,M,21,21,True,7.0,4.0,1.0,1.0,,,4.0,8.0,1.0,1.0,,,,,,,,,12.0,13.0,7.2,5.0,1,1.0,4.0,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,1.0,3.0,,,1.0,
11453084,home,Al-Shabab,Mustafa Malaika,,,mustafa-malaika,M. Malaika,G,1,184,41,M,818855,EUR,516931200,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453084,home,Al-Shabab,Fahad Al-Muwallad,,,fahad-al-muwallad,F. Al-Muwallad,M,,167,183,M,160909,EUR,779500800,F,8,8,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453084,home,Al-Shabab,Nasser Al Bishi,Nasser Al Bishi,,nasser-al-bishi,N. A. Bishi,M,72,169,15,M,1201503,EUR,1023062400,F,28,28,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453084,home,Al-Shabab,Riyadh Sharahili,,,riyadh-sharahili,R. Sharahili,M,26,185,28,M,818624,EUR,735955200,M,26,26,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453084,away,Al-Hilal,Bono,,,bono,Bono,G,37,195,54623,M,360938,EUR,670809600,G,37,37,False,27.0,15.0,19.0,7.0,13.0,15.0,2.0,12.0,,6.0,,,,,,3.0,,3.0,90.0,34.0,6.1,12.0,0,,,,,,,,BonoY,,,,,,,,,,,,,,,,,,,,
11453084,away,Al-Hilal,Mohammed Al-Burayk,,,mohammed-al-burayk,M. Al-Burayk,D,2,173,281,M,804096,EUR,716515200,D,2,2,False,54.0,47.0,3.0,2.0,23.0,25.0,24.0,31.0,6.0,10.0,,,,1.0,,,,,90.0,83.0,6.8,15.0,0,1.0,6.0,2.0,5.0,2.0,,2.0,,,3.0,,,3.0,2.0,,,,,,,,,,,,,,
11453084,away,Al-Hilal,Kalidou Koulibaly,,,kalidou-koulibaly,K. Koulibaly,D,3,187,26133,M,126071,EUR,677376000,D,3,3,False,53.0,44.0,15.0,7.0,32.0,35.0,12.0,18.0,7.0,7.0,,,,3.0,,,,,90.0,61.0,6.3,10.0,0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,kkoulibaly26,,2.0,,,,,,,,1.0,,,,,,,,,,
11453084,away,Al-Hilal,Ali Albulayhi,,,ali-albulayhi,A. Albulayhi,D,3,182,1057,M,1138857,EUR,627609600,D,5,5,False,48.0,44.0,6.0,2.0,30.0,32.0,14.0,16.0,5.0,5.0,,,,1.0,,,,,90.0,57.0,6.3,4.0,0,2.0,5.0,,2.0,2.0,,1.0,,,2.0,,,2.0,,1.0,,,,,,1.0,,,,,,,
11453084,away,Al-Hilal,Yasir Al-Shahrani,,,yasir-al-shahrani,Y. Al-Shahrani,D,12,171,762,M,160923,EUR,706752000,D,12,12,False,36.0,31.0,2.0,,13.0,15.0,19.0,25.0,2.0,4.0,,,,,,,,,90.0,49.0,6.4,10.0,0,,1.0,,1.0,2.0,,1.0,,,,,,2.0,4.0,,,1.0,,,,,,,,,,,
11453084,away,Al-Hilal,Sergej Milinković-Savić,,,sergej-milinkovic-savic,S. Milinković-Savić,M,22,191,13384,M,331447,EUR,793843200,M,22,22,False,64.0,54.0,2.0,2.0,27.0,30.0,27.0,34.0,8.0,9.0,,4.0,,,,,,,90.0,83.0,7.6,17.0,3,1.0,6.0,1.0,3.0,2.0,,1.0,sms,,4.0,3.0,1.0,,,3.0,,,,,,1.0,,,1.0,1.0,,,
11453084,away,Al-Hilal,Rúben Neves,,,ruben-neves,R. Neves,M,8,181,15472,M,280955,EUR,858211200,M,8,8,False,65.0,62.0,7.0,6.0,29.0,30.0,34.0,42.0,3.0,9.0,,,,2.0,,,,,90.0,87.0,7.8,10.0,1,4.0,9.0,6.0,4.0,,,3.0,rubenneves,,,,,1.0,7.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,,,,,,
11453084,away,Al-Hilal,Michael,,,michael,Michael,M,96,166,9025,M,878084,EUR,826588800,M,96,96,False,30.0,27.0,,,6.0,7.0,21.0,25.0,9.0,5.0,,6.0,,2.0,,,,,89.0,50.0,6.9,18.0,1,,2.0,,1.0,,,1.0,Michael19,,,,,,2.0,7.0,,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,
