match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_totalTackle,stat_errorLeadToAGoal,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wonTackle,stat_expectedGoals,stat_shotValueNormalized,player_sofascoreId,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_hitWoodwork
14065126,home,TSG Hoffenheim,Oliver Baumann,oliver-baumann,O. Baumann,G,1,185,1392,M,40244,EUR,644284800,G,1,1,False,True,53.0,42.0,16.0,5.0,0.0,40.0,42.0,2.0,11.0,1.0,1.0,1.0,13.0,1.0,1.0,2.0,90.0,64.0,6.8,11.0,0.00707225,0.0394,0,-0.3514,0.13,0.16,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065126,home,TSG Hoffenheim,Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1730,M,138024,EUR,714441600,D,34,34,False,,49.0,39.0,9.0,4.0,0.0,20.0,21.0,19.0,28.0,5.0,3.0,2.0,8.0,,,,90.0,76.0,7.1,21.0,0.0635538,,0,,0.29,0.21,-0.17,,,,5.0,2.0,3.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14065126,home,TSG Hoffenheim,Robin Hranáč,robin-hranac,R. Hranáč,D,2,189,292,M,957615,EUR,949104000,D,2,2,False,,47.0,43.0,4.0,2.0,0.0,34.0,36.0,9.0,11.0,3.0,,,1.0,,,,90.0,60.0,6.4,4.0,0.00481847,,0,,0.1,0.01,-0.32,,,,,2.0,2.0,,8.0,1.0,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,
14065126,home,TSG Hoffenheim,Albian Hajdari,albian-hajdari,A. Hajdari,D,21,189,835,M,1000269,EUR,1053216000,D,21,21,False,,80.0,67.0,16.0,8.0,0.0,46.0,48.0,21.0,32.0,9.0,,,3.0,,,,90.0,104.0,7.1,13.0,0.00972304,,3,,0.26,0.16,0.26,,,,,6.0,9.0,1.0,14.0,1.0,,2.0,3.0,1.0,6.0,1.0,,1.0,1.0,2.0,1.0,1.0,0.1612,-0.35,,,,,,,,
14065126,home,TSG Hoffenheim,Bernardo,bernardo,Bernardo,D,13,186,580,M,828571,EUR,800409600,D,13,13,False,,53.0,40.0,6.0,3.0,0.0,27.0,30.0,13.0,23.0,5.0,2.0,2.0,6.0,,,,90.0,81.0,6.3,17.0,0.00619885,,0,,-0.21,0.14,-0.18,,,,1.0,2.0,8.0,2.0,8.0,1.0,1.0,,3.0,,3.0,1.0,,,,,,1.0,,,,,,,,,,
14065126,home,TSG Hoffenheim,Andrej Kramarić,andrej-kramaric,A. Kramarić,F,27,177,7591,M,67647,EUR,677289600,M,27,27,False,,38.0,32.0,3.0,2.0,1.0,11.0,12.0,21.0,26.0,3.0,3.0,2.0,4.0,,,,83.0,62.0,7.8,18.0,0.10148,,2,,-0.01,0.4,-0.05,,,,9.0,,5.0,,,2.0,1.0,1.0,1.0,3.0,,,,,1.0,,,,0.3793,0.51,andrejkramaric,2.0,3.0,1.0,1.0,0.7859,,
14065126,home,TSG Hoffenheim,Leon Avdullahu,avdullahu-leon,L. Avdullahu,M,7,185,842,M,1493305,EUR,1077494400,M,7,7,False,,63.0,56.0,7.0,4.0,0.0,35.0,37.0,21.0,26.0,2.0,,,7.0,,,,90.0,73.0,7.0,10.0,0.030206,,0,,0.27,0.04,0.22,,,,3.0,1.0,3.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,
14065126,home,TSG Hoffenheim,Wouter Burger,wouter-burger,W. Burger,M,18,190,820,M,916946,EUR,982281600,M,18,18,False,,40.0,32.0,,,0.0,18.0,20.0,14.0,20.0,6.0,,,1.0,,,,67.0,47.0,7.2,9.0,0.075739,,1,,0.32,0.23,0.13,,,,,4.0,4.0,1.0,3.0,,,1.0,1.0,,1.0,1.0,,,,,,1.0,0.2351,-0.47,,,1.0,1.0,,0.1659,1.0,
14065126,home,TSG Hoffenheim,Bazoumana Touré,bazoumana-toure,B. Touré,M,29,175,3686,M,1568123,EUR,1141257600,M,29,29,False,,20.0,16.0,1.0,1.0,2.0,4.0,5.0,12.0,15.0,7.0,3.0,1.0,2.0,,,,67.0,34.0,8.4,8.0,0.458072,,0,,0.66,0.06,0.13,,Bazoumana Touré,,,3.0,3.0,,,1.0,2.0,2.0,1.0,2.0,,1.0,,2.0,,,,1.0,,,,,,,,,,
14065126,home,TSG Hoffenheim,Tim Lemperle,tim-lemperle,T. Lemperle,F,19,186,851,M,1014290,EUR,1012867200,F,19,19,False,,16.0,12.0,2.0,,0.0,3.0,3.0,9.0,13.0,3.0,4.0,1.0,,,,,76.0,31.0,6.9,13.0,0.0762871,,3,,0.13,0.06,0.22,,,,1.0,2.0,7.0,,,,3.0,,1.0,1.0,1.0,,,,1.0,,1.0,,0.9654,0.43,,,2.0,2.0,1.0,0.4785,1.0,
