match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,injury,playerName,reason,rescinded,from,description
11877088,FT,4.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
11877088,,4.0,0.0,,90,1.0,,1,,,goal,176792060.0,True,regular,863401.0,Mallik Wilks,,,,,,
11877088,,,,,86,,,5,,,substitution,122307462.0,False,regular,,,False,,,,,
11877088,,,,,82,,,9,,,substitution,122307456.0,True,injury,,,True,,,,,
11877088,,,,,76,,,15,,,substitution,122307442.0,False,regular,,,False,,,,,
11877088,,,,,74,,,17,,,substitution,122307435.0,True,regular,,,False,,,,,
11877088,,,,,62,,,29,,,substitution,122307394.0,True,regular,,,False,,,,,
11877088,,,,,62,,,29,,,substitution,122307393.0,True,regular,,,False,,,,,
11877088,,,,,61,,,30,,,substitution,122307395.0,False,regular,,,False,,,,,
11877088,,,,,48,,,43,,,card,121077181.0,False,yellow,879800.0,Josh Bowler,,Josh Bowler,Argument,False,,
11877088,,,,,46,,,45,,,substitution,122307319.0,False,regular,,,False,,,,,
11877088,,,,,46,,,45,,,substitution,122307318.0,True,regular,,,False,,,,,
11877088,HT,3.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
11877088,,3.0,0.0,,40,,,6,,,goal,176788602.0,True,regular,104857.0,Liam Palmer,,,,,,
11877088,,2.0,0.0,,38,,,8,,,goal,176788561.0,True,ownGoal,54338.0,Romaine Sawyers,,,,,owngoal,
11877088,,,,,27,,,19,,,card,121077137.0,False,yellow,1014554.0,Xavier Benjamin,,Xavier Benjamin,Persistent fouling,False,,
11877088,,,,,7,,,39,,,inGamePenalty,118446950.0,False,missed,190851.0,Callum Robinson,,,goalkeeperSave,,,Goalkeeper save
11877088,,,,,4,,,42,,,inGamePenalty,118446941.0,False,missed,804512.0,Ryan Wintle,,,goalkeeperSave,,,Goalkeeper save
11877088,,1.0,0.0,,2,,,44,,,goal,176786315.0,True,regular,340621.0,Josh Windass,,,,,,
