match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_wasFouled,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_ballRecovery,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_totalClearance,stat_outfielderBlock,stat_aerialLost,stat_wonTackle,stat_challengeLost,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,captain,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_goalAssist,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_saves,stat_hitWoodwork
11406832,home,Udinese,Maduka Okoye,,,maduka-okoye,M. Okoye,G,40,197.0,2162,M,891656,EUR,935798400,G,40,40,False,18.0,12.0,7.0,1.0,11.0,13.0,1.0,5.0,1.0,1.0,1.0,90.0,19.0,6.1,6.0,0.00034436,0,-0.4457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406832,home,Udinese,João Ferreira,,,joao-ferreira,J. Ferreira,D,13,185.0,384,M,976401,EUR,985219200,D,13,13,False,51.0,44.0,10.0,9.0,18.0,22.0,27.0,31.0,3.0,5.0,,90.0,68.0,7.3,9.0,0.0395054,1,,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0627,1.0,,,,,,,,,,,,,,,,,,
11406832,home,Udinese,Lautaro Giannetti,,,lautaro-giannetti,L. Giannetti,D,30,184.0,387,M,233856,EUR,753148800,D,30,30,False,59.0,56.0,7.0,6.0,39.0,41.0,17.0,18.0,1.0,2.0,,90.0,72.0,7.5,3.0,0.105999,0,,,,1.0,,,,4.0,6.0,1.0,,1.0,,,1.0,5.0,2.0,,,,,,,,,,,,,,,,
11406832,home,Udinese,Nehuén Pérez,,,nehuen-perez,N. Pérez,D,18,184.0,3369,M,913401,EUR,961804800,D,18,18,False,63.0,54.0,6.0,2.0,31.0,35.0,23.0,29.0,4.0,7.0,,90.0,73.0,7.1,10.0,0.00494241,0,,1.0,,4.0,,,,,8.0,3.0,,2.0,,,,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,
11406832,home,Udinese,Festy Ebosele,,,festy-ebosele,F. Ebosele,D,36,180.0,593,M,983059,EUR,1028246400,M,2,2,False,21.0,15.0,3.0,2.0,2.0,3.0,13.0,21.0,1.0,6.0,2.0,64.0,41.0,6.0,15.0,0.0154242,1,,3.0,,9.0,5.0,2.0,1.0,,3.0,1.0,2.0,4.0,,0.1056,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,
11406832,home,Udinese,Sandi Lovrić,,,sandi-lovric,S. Lovrić,M,4,180.0,807,M,575852,EUR,891043200,M,4,4,False,24.0,21.0,1.0,,10.0,10.0,12.0,16.0,,4.0,1.0,90.0,42.0,6.9,8.0,0.073364,3,,2.0,1.0,3.0,2.0,2.0,,1.0,3.0,1.0,,,,0.4661,1.0,1.0,,2.0,1.0,,1.0,1.0,3.0,,,,,,,,,,
11406832,home,Udinese,Walace,,,walace,Walace,M,5,188.0,1455,M,553686,EUR,796953600,M,11,11,False,42.0,37.0,5.0,4.0,13.0,14.0,24.0,28.0,,4.0,3.0,90.0,59.0,6.9,10.0,0.019982,1,,,,6.0,,,,1.0,5.0,1.0,1.0,3.0,,0.0135,,,,,1.0,,3.0,,1.0,True,,,,,,,,,
11406832,home,Udinese,Martín Payero,,,martin-payero,M. Payero,M,32,182.0,791,M,895592,EUR,905472000,M,32,32,False,20.0,15.0,2.0,1.0,8.0,9.0,8.0,12.0,2.0,7.0,1.0,67.0,36.0,7.0,9.0,0.200526,3,,1.0,1.0,6.0,4.0,2.0,1.0,,1.0,2.0,1.0,2.0,,0.1048,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,0.049,,,,,,
11406832,home,Udinese,Hassane Kamara,,,hassane-kamara,H. Kamara,M,11,168.0,1023,M,351434,EUR,762825600,M,12,12,False,33.0,30.0,1.0,1.0,12.0,13.0,21.0,27.0,,3.0,,75.0,55.0,7.9,9.0,0.295909,3,,7.0,3.0,1.0,3.0,2.0,,1.0,1.0,1.0,1.0,,,0.6247,3.0,1.0,,,1.0,,,1.0,1.0,,,2.0,1.0694,1.0,,,,,
11406832,home,Udinese,Florian Thauvin,,,florian-thauvin,F. Thauvin,F,24,179.0,8040,M,148824,EUR,728006400,F,26,26,False,29.0,25.0,8.0,7.0,5.0,6.0,23.0,29.0,,3.0,2.0,90.0,46.0,8.5,12.0,0.575452,3,,6.0,3.0,2.0,1.0,1.0,2.0,,5.0,,3.0,,1.0,0.1931,6.0,,,,,,2.0,,1.0,,3.0,,,,1.0,,,,
