match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_shotOffTarget,player_firstName,player_lastName,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceCreated,stat_totalOffside,stat_penaltyFaced,stat_punches,stat_errorLeadToAShot,stat_penaltyConceded,stat_outfielderBlock,stat_lastManTackle
12624383,home,Al-Taawoun,Abdulquddus Atiah,abdulquddus-atiah,A. Atiah,G,13,183.0,100,M,925459,EUR,857174400,G,13,13,False,13.0,12.0,1.0,0.0,12.0,12.0,1.0,7.0,1.0,4.0,5.0,1.0,1.0,90.0,23.0,7.2,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624383,home,Al-Taawoun,Fahad Bin Jumayah,fahad-bin-jumayah,F. B. Jumayah,D,14,170.0,22,M,893514,EUR,800064000,D,14,14,False,65.0,58.0,3.0,0.0,32.0,34.0,35.0,9.0,,,,,,90.0,88.0,7.1,9.0,1,2.0,30.0,4.0,4.0,2.0,2.0,5.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
12624383,home,Al-Taawoun,Andrei Girotto,andrei-girotto,A. Girotto,D,3,186.0,274,M,794836,EUR,698284800,D,3,3,False,51.0,48.0,9.0,0.0,37.0,37.0,14.0,2.0,,,,,,60.0,52.0,6.2,3.0,0,6.0,11.0,,,,,3.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
12624383,home,Al-Taawoun,Renné Rivas,rivas-renne,R. Rivas,D,18,178.0,311,M,973568,EUR,1048204800,D,16,16,False,58.0,53.0,8.0,0.0,39.0,39.0,19.0,9.0,,,,,,90.0,69.0,6.9,6.0,1,6.0,14.0,,,1.0,1.0,3.0,5.0,1.0,,1.0,1.0,,3.0,,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
12624383,home,Al-Taawoun,Fahad Al Abdulrazzaq,fahad-al-abdulrazzaq,F. A. Abdulrazzaq,D,19,170.0,23,M,1521216,EUR,956534400,D,21,21,False,38.0,36.0,1.0,0.0,14.0,14.0,26.0,4.0,,,,,,90.0,51.0,6.8,4.0,0,1.0,24.0,2.0,2.0,2.0,,3.0,3.0,,,1.0,1.0,,,2.0,2.0,1.0,1.0,,1.0,,,Fahad Al Abdulrazzaq,,,,,,,,,,,,,
12624383,home,Al-Taawoun,Ashraf El Mahdioui,ashraf-el-mahdioui,A. E. Mahdioui,M,18,183.0,1641,M,788348,EUR,832896000,M,18,18,False,80.0,78.0,8.0,0.0,40.0,40.0,40.0,5.0,,,,,,90.0,89.0,6.9,5.0,0,7.0,38.0,,,,,4.0,2.0,1.0,1.0,,,,,1.0,2.0,,1.0,,2.0,,,,,True,,,,,,,,,,,
12624383,home,Al-Taawoun,Sultan Mandash,sultan-mandash,S. Mandash,F,23,175.0,362,M,818568,EUR,782352000,M,27,27,False,35.0,30.0,1.0,0.0,10.0,11.0,27.0,5.0,,,,,,90.0,53.0,7.1,13.0,1,1.0,21.0,3.0,1.0,,,1.0,4.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,5.0,2.0,1.0,,1.0,,,,,,,,,,,,,,
12624383,home,Al-Taawoun,Lucas Chávez,lucas-chavez,L. Chávez,M,20,170.0,354,M,1116671,EUR,1050537600,M,19,19,False,28.0,25.0,3.0,0.0,12.0,12.0,18.0,,,,,,,59.0,39.0,6.4,8.0,1,1.0,15.0,2.0,2.0,,,5.0,1.0,1.0,3.0,,,,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,Lucas Chávez,,,,,,,,,,,,,
12624383,home,Al-Taawoun,Fayçal Fajr,faycal-fajr,F. Fajr,M,76,178.0,1037,M,143786,EUR,586396800,M,76,76,False,54.0,48.0,16.0,0.0,18.0,19.0,44.0,5.0,,,,,,90.0,76.0,7.6,19.0,0,13.0,31.0,9.0,1.0,,1.0,,5.0,,,2.0,2.0,,,1.0,2.0,1.0,3.0,,,3.0,,,,,,,,,,,,,,,
12624383,home,Al-Taawoun,Musa Barrow,musa-barrow,M. Barrow,F,99,183.0,3277,M,916680,EUR,911001600,M,99,99,False,30.0,23.0,3.0,0.0,7.0,8.0,22.0,2.0,,,,,,70.0,38.0,6.6,9.0,3,1.0,16.0,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,2.0,3.0,1.0,,,,,,,,
