match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_fouls,stat_expectedGoals,stat_keyPass,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_clearanceOffLine,stat_unsuccessfulTouch,stat_wasFouled,stat_goals,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceCreated,stat_hitWoodwork,stat_errorLeadToAShot,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside,player_sofascoreId
12765114,away,Başakşehir FK,João Figueiredo,joao-figueiredo,J. Figueiredo,F,25,179,1278,M,841012,EUR,833155200,M,25,25,False,,34.0,28.0,3.0,3.0,0.0,12.0,12.0,17.0,23.0,2.0,,2.0,,,,,,69.0,47.0,6.5,12.0,0.0776476,2,,5.0,1.0,1.0,3.0,1.0,,,,0.0692,,1.0,1.0,,1.0,,,0.1991,,,,3.0,1.0,,1.0,1.0,,,,,,1.0,
12765114,away,Başakşehir FK,Krzysztof Piątek,krzysztof-piatek,K. Piątek,F,9,183,13169,M,558738,EUR,804556800,F,9,9,False,,14.0,7.0,,,0.0,1.0,1.0,6.0,13.0,6.0,,2.0,,,,,,90.0,27.0,6.8,11.0,0.0659598,6,,9.0,2.0,2.0,1.0,,1.0,5.0,,0.5419,2.0,,4.0,4.0,1.0,,1.0,0.4326,,,,1.0,2.0,,,,,,,,,1.0,pjona_9
12765114,away,Başakşehir FK,Emre Kaplan,emre-kaplan,E. Kaplan,M,75,174,33,M,1009308,EUR,979257600,D,75,75,True,,17.0,16.0,,,0.0,5.0,6.0,11.0,12.0,1.0,,1.0,,1.0,1.0,,,45.0,25.0,6.5,2.0,0.00649816,2,,1.0,,,,,,1.0,,0.0549,,1.0,1.0,,1.0,,,0.0105,,,,,,,,,,,,,,,
12765114,away,Başakşehir FK,Olivier Kemen,olivier-kemen,O. Kemen,M,8,177,827,M,280447,EUR,837820800,M,8,8,True,,26.0,23.0,2.0,2.0,0.0,6.0,6.0,19.0,25.0,2.0,,,,1.0,1.0,,,45.0,36.0,7.0,7.0,0.343953,1,,2.0,,,,,,,2.0,0.1027,3.0,5.0,,,,,,,,,,1.0,1.0,,1.0,2.0,,,,,,,
12765114,away,Başakşehir FK,Onur Ergün,onur-ergun,O. Ergün,M,4,185,45,M,893009,EUR,721785600,M,4,4,True,,37.0,34.0,,,0.0,8.0,9.0,26.0,28.0,1.0,2.0,2.0,,1.0,1.0,,,45.0,44.0,7.0,5.0,0.0886214,1,,,,,,,,1.0,,0.0989,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
12765114,away,Başakşehir FK,Davidson,davidson,Davidson,M,,177,353,M,814334,EUR,668131200,F,91,91,True,,8.0,6.0,,,0.0,,,7.0,9.0,3.0,,,,,,,,21.0,14.0,6.8,4.0,0.0962625,0,,2.0,,1.0,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,2.0,,,1.0,,,,,,,
12765114,away,Başakşehir FK,Berkay Özcan,berkay-ozcan,B. Özcan,M,8,178,161,M,806964,EUR,887500800,M,10,10,True,,9.0,9.0,,,0.0,4.0,4.0,5.0,5.0,2.0,,,,,,,,10.0,12.0,6.9,,0.00882452,1,,,,,,,,,,0.0421,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,
12765114,away,Başakşehir FK,Volkan Babacan,volkan-babacan,V. Babacan,G,1,192,197,M,30143,EUR,587260800,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765114,away,Başakşehir FK,Muhammed Şengezer,muhammed-sengezer,M. Şengezer,G,16,185,464,M,827418,EUR,852422400,G,16,16,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765114,away,Başakşehir FK,Lucas Lima,lucas-lima,L. Lima,D,3,178,140,M,248529,EUR,687052800,D,6,6,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765114,away,Başakşehir FK,Hamza Güreler,hamza-gureler,H. Güreler,D,15,192,199,M,1562294,EUR,1144627200,D,15,15,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,Hamza Güreler,,,,,,,,,,,,,,
12765114,away,Başakşehir FK,Emre Karaal,karaal-emre,E. Karaal,M,28,185,15,,1121257,EUR,1042588800,M,28,28,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765114,away,Başakşehir FK,Philippe Keny,philippe-keny,P. P. Keny,F,19,186,355,M,988909,EUR,926985600,F,11,11,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
