match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialWon,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,captain,stat_challengeLost,player_firstName,player_lastName,stat_totalCross,stat_wasFouled,player_sofascoreId,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_keyPass,stat_dispossessed,stat_goalAssist,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_totalOffside,stat_hitWoodwork,stat_bigChanceMissed
10411450,home,Sassuolo,Andrea Consigli,andrea-consigli,A. Consigli,G,189,262,M,38618,EUR,538704000,G,47,47,False,36.0,13.0,28.0,6.0,9.0,13.0,4.0,23.0,6.0,2.0,1.0,1.0,90.0,42.0,5.7,23.0,0.0,0.0,0.00312374,0,-1.0473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411450,home,Sassuolo,Jeremy Toljan,jeremy-toljan,J. Toljan,D,182,343,M,149606,EUR,776304000,D,22,22,False,21.0,13.0,3.0,1.0,7.0,13.0,6.0,8.0,1.0,,,,90.0,37.0,5.9,11.0,0.0,0.0,0.00627811,0,,22,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10411450,home,Sassuolo,Ruan,ruan,Ruan,D,187,1238,M,914487,EUR,928713600,D,44,44,False,10.0,8.0,1.0,,8.0,10.0,,,2.0,,,,43.0,20.0,6.1,3.0,0.0,0.0,7.626e-05,0,,4,1.0,3.0,3.0,,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10411450,home,Sassuolo,Gian Marco Ferrari,gian-marco-ferrari,G. M. Ferrari,D,189,224,M,170887,EUR,705888000,D,13,13,False,24.0,20.0,4.0,2.0,16.0,16.0,4.0,8.0,4.0,,,,90.0,30.0,6.4,4.0,0.0,0.0,0.00320641,0,,,,1.0,1.0,,,1.0,1.0,,,2.0,2.0,,True,1.0,,,,,,,,,,,,,,,,,,
10411450,home,Sassuolo,Rogério,rogerio,Rogério,D,178,289,M,830551,EUR,884649600,D,6,6,False,29.0,21.0,4.0,1.0,14.0,16.0,7.0,15.0,4.0,,,,90.0,50.0,6.5,10.0,0.0,0.0,0.0128658,0,,13,,2.0,5.0,,1.0,3.0,2.0,,,2.0,1.0,,,2.0,,,2.0,2.0,,,,,,,,,,,,,,
10411450,home,Sassuolo,Davide Frattesi,davide-frattesi,D. Frattesi,M,178,5601,M,835600,EUR,937958400,M,16,16,False,16.0,11.0,,,7.0,8.0,4.0,8.0,3.0,,,,68.0,25.0,7.6,6.0,0.292,0.0968,0.0148568,1,,16,1.0,2.0,6.0,2.0,,2.0,2.0,,,1.0,,,,1.0,,,,2.0,davidefrrattesi_22,2.0,1.0,1.0,1.0,,,,,,,,,
10411450,home,Sassuolo,Maxime López,maxime-lopez,M. López,M,167,1284,M,352802,EUR,881193600,M,27,27,False,48.0,37.0,8.0,5.0,13.0,18.0,24.0,30.0,7.0,,,,90.0,58.0,6.2,14.0,0.0,0.0,0.0262185,0,,21,,6.0,4.0,1.0,1.0,2.0,1.0,2.0,,,,2.0,,3.0,,,,1.0,,1.0,,,,1.0,,,,,,,,
10411450,home,Sassuolo,Matheus Henrique,matheus-henrique,M. Henrique,M,175,2961,M,912786,EUR,882489600,M,7,7,False,16.0,11.0,2.0,1.0,3.0,4.0,8.0,12.0,2.0,,,,89.0,25.0,6.9,7.0,0.0,0.0,0.0332421,0,,8,,,7.0,2.0,,1.0,1.0,,1.0,,,1.0,,,,,,3.0,,2.0,,,1.0,,,,,,,,,
10411450,home,Sassuolo,Armand Laurienté,armand-lauriente,A. Laurienté,M,177,2531,M,932643,EUR,912729600,F,45,45,False,15.0,10.0,,,4.0,5.0,7.0,14.0,1.0,,,,68.0,28.0,7.4,12.0,0.078,0.1981,0.300039,2,,45,,2.0,2.0,,,,,,1.0,,,2.0,,,,,4.0,1.0,,,1.0,,2.0,2.0,1.0,1.0,1.0,,,,,
10411450,home,Sassuolo,Andrea Pinamonti,andrea-pinamonti,A. Pinamonti,F,185,2688,M,826198,EUR,927072000,F,9,9,False,13.0,8.0,,,3.0,3.0,5.0,10.0,2.0,,,,81.0,27.0,6.5,10.0,0.1543,0.0,0.00160269,2,,99,5.0,9.0,6.0,2.0,,,,1.0,3.0,,,2.0,,,,,,2.0,,1.0,,,,2.0,,,,2.0,,,,
