match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialWon,stat_challengeLost,stat_outfielderBlock,stat_fouls,stat_accurateCross,stat_bigChanceCreated,stat_errorLeadToAGoal,stat_keyPass,stat_wonContest,player_firstName,stat_bigChanceMissed,stat_shotOffTarget,player_lastName,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,captain,stat_hitWoodwork,stat_totalOffside,player_sofascoreId,stat_goals
12624433,home,Al-Khaleej,Ibrahim Šehić,ibrahim-sehic,I. Šehić,G,13,190.0,350,M,63952,EUR,589161600,G,23,23,False,22.0,21.0,6.0,5.0,0.0,21.0,21.0,1.0,1.0,13.0,1.0,1.0,2.0,2.0,2.0,90.0,37.0,7.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624433,home,Al-Khaleej,Saeed Al Hamsal,saeed-al-hamsal,S. A. Hamsal,D,39,176.0,21,M,818563,EUR,829785600,D,39,39,False,64.0,59.0,1.0,1.0,0.0,29.0,33.0,35.0,1.0,6.0,,,,,,90.0,92.0,6.8,15.0,0,30.0,4.0,1.0,4.0,5.0,1.0,2.0,5.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,
12624433,home,Al-Khaleej,Abdullah Al-Fahad,al-fahad-abdullah,A. Al-Fahad,D,19,177.0,20,M,817947,EUR,771638400,D,20,20,False,43.0,41.0,2.0,1.0,0.0,27.0,28.0,15.0,3.0,3.0,,,,,,61.0,49.0,6.5,3.0,0,14.0,,4.0,6.0,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12624433,home,Al-Khaleej,Mohammed Al-Khabrani,mohammed-al-khabrani,M. Al-Khabrani,D,3,178.0,21,M,818696,EUR,750556800,D,3,3,False,54.0,49.0,7.0,5.0,0.0,30.0,30.0,24.0,7.0,5.0,,,,,,90.0,69.0,7.0,5.0,0,19.0,,,3.0,6.0,,,2.0,3.0,3.0,,1.0,2.0,,,3.0,,,,,,,,,,,,,,,,
12624433,home,Al-Khaleej,Pedro Rebocho,pedro-rebocho,P. Rebocho,D,5,172.0,204,M,190139,EUR,790819200,D,5,5,False,71.0,63.0,3.0,2.0,0.0,20.0,21.0,60.0,2.0,5.0,,,,,,90.0,102.0,6.7,19.0,0,47.0,10.0,3.0,6.0,3.0,1.0,2.0,,,,1.0,,3.0,,,,4.0,1.0,1.0,4.0,,,,,,,,,,,,
12624433,home,Al-Khaleej,Mansour Hamzi,mansour-hamzi,M. Hamzi,M,15,170.0,31,M,818581,EUR,738892800,M,15,15,False,52.0,42.0,6.0,2.0,0.0,19.0,22.0,35.0,5.0,6.0,,,,,,90.0,77.0,7.1,18.0,0,23.0,5.0,2.0,5.0,6.0,,1.0,1.0,3.0,2.0,2.0,2.0,,,,3.0,,,,,1.0,,,,,,,,,,,
12624433,home,Al-Khaleej,Murad Al Hawsawi,murad-al-hawsawi,M. A. Hawsawi,M,18,180.0,332,M,1549082,EUR,991440000,M,18,18,False,25.0,20.0,3.0,2.0,0.0,7.0,7.0,18.0,1.0,7.0,,,,,,45.0,31.0,6.5,7.0,1,13.0,,,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,Murad Al Hawsawi,1.0,1.0,,,,,,,,
12624433,home,Al-Khaleej,Thomas Murg,thomas-murg,T. Murg,M,94,173.0,283,M,149677,EUR,784771200,M,99,99,False,50.0,45.0,4.0,3.0,0.0,12.0,12.0,38.0,,7.0,,,,,,69.0,62.0,7.0,10.0,1,33.0,,1.0,3.0,3.0,,2.0,,,,3.0,2.0,,1.0,,,,,,,1.0,Thomas,,,Murg,1.0,,,,,,
12624433,home,Al-Khaleej,Kostas Fortounis,kostas-fortounis,K. Fortounis,M,10,183.0,2903,M,115577,EUR,719193600,M,17,17,False,69.0,56.0,5.0,3.0,0.0,8.0,8.0,72.0,,1.0,,,,,,90.0,110.0,7.5,33.0,3,50.0,11.0,1.0,9.0,9.0,3.0,9.0,,1.0,,4.0,2.0,1.0,,,1.0,2.0,,,3.0,5.0,,,,,2.0,1.0,,,,,
12624433,home,Al-Khaleej,Fábio Martins,fabio-martins,F. Martins,M,10,178.0,359,M,193064,EUR,743472000,M,10,10,False,28.0,25.0,3.0,2.0,0.0,5.0,5.0,30.0,,1.0,,,,,,90.0,52.0,7.2,13.0,3,20.0,7.0,1.0,3.0,6.0,,4.0,,2.0,,1.0,2.0,,,,,,,,1.0,2.0,,,1.0,,1.0,1.0,True,1.0,2.0,,
