match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_expectedGoals,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_hitWoodwork,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_goals,player_sofascoreId
12528192,home,Samsunspor,Okan Kocuk,okan-kocuk,O. Koçuk,G,1,187,288,M,190179,EUR,806803200,G,1,1,False,14.0,13.0,6.0,5.0,0.0,11.0,11.0,2.0,3.0,5.0,1.0,1.0,1.0,90.0,20.0,6.2,1.0,0.00040049,0,-1.1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528192,home,Samsunspor,Zeki Yavru,zeki-yavru,Z. Yavru,D,18,178,205,M,140735,EUR,684028800,D,18,18,False,38.0,30.0,7.0,4.0,0.0,15.0,16.0,16.0,28.0,4.0,,,,90.0,69.0,7.2,15.0,0.25224,0,,True,6.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,3.0,5.0,4.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,
12528192,home,Samsunspor,Ľubomír Šatka,ubomir-satka,Ľ. Šatka,D,37,185,294,M,187231,EUR,817862400,D,37,37,False,49.0,43.0,2.0,,0.0,36.0,39.0,7.0,11.0,3.0,,,,87.0,59.0,6.5,7.0,0.00298416,1,,,1.0,,3.0,4.0,2.0,1.0,,4.0,2.0,1.0,1.0,,1.0,,1.0,1.0,0.0186,,,,,,,,,,,,,,,,,
12528192,home,Samsunspor,Rick Van Drongelen,rick-van-drongelen,R. V. Drongelen,D,4,185,365,M,803023,EUR,914112000,D,4,4,False,70.0,57.0,7.0,3.0,0.0,30.0,33.0,27.0,38.0,12.0,,,,90.0,81.0,6.7,16.0,0.0127235,2,,,1.0,,3.0,4.0,1.0,,,2.0,1.0,,,,1.0,,1.0,1.0,0.3833,1.0,1.0,1.0,1.0,0.3334,,,,,,,,,,,,
12528192,home,Samsunspor,Marc Bola,marc-bola,M. Bola,D,16,185,262,M,862083,EUR,881625600,D,16,16,False,41.0,36.0,4.0,1.0,0.0,13.0,14.0,25.0,34.0,5.0,,,,90.0,65.0,7.3,13.0,0.0952735,2,,,7.0,2.0,2.0,4.0,2.0,,2.0,2.0,3.0,,,1.0,,3.0,,2.0,0.0527,,,,,,1.0,1.0,1.0,1.0,,,,,,,,
12528192,home,Samsunspor,Youssef Aït Bennasser,youssef-ait-bennasser,Y. A. Bennasser,M,15,184,426,M,802850,EUR,836697600,M,6,6,False,58.0,52.0,3.0,1.0,0.0,27.0,29.0,25.0,29.0,8.0,,,,90.0,66.0,6.8,6.0,0.0387309,1,,,,,,3.0,3.0,2.0,,,1.0,2.0,1.0,1.0,1.0,,,1.0,0.0152,,,1.0,,,,,,,,,,,,,,
12528192,home,Samsunspor,Kingsley Schindler,kingsley-schindler,K. Schindler,F,19,179,869,M,169113,EUR,742435200,M,17,17,False,18.0,15.0,2.0,1.0,0.0,3.0,4.0,13.0,17.0,4.0,,,,62.0,32.0,6.4,10.0,0.0423526,1,,,3.0,1.0,,6.0,1.0,2.0,3.0,,1.0,,,1.0,,1.0,,1.0,0.0267,,,1.0,,,1.0,,,,,,,,,,,
12528192,home,Samsunspor,Olivier Ntcham,olivier-ntcham,O. Ntcham,M,10,180,800,M,352676,EUR,823824000,M,10,10,False,68.0,60.0,3.0,3.0,0.0,17.0,19.0,43.0,49.0,6.0,,,,90.0,78.0,7.5,9.0,0.0554913,2,,,,,,1.0,2.0,1.0,1.0,,,1.0,1.0,,,1.0,,,0.1536,,1.0,1.0,1.0,0.0944,,1.0,,,1.0,,,,,,,
12528192,home,Samsunspor,Carlo Holse,carlo-holse,C. Holse,M,21,177,634,M,837012,EUR,928281600,M,21,21,False,29.0,28.0,1.0,1.0,0.0,10.0,10.0,20.0,23.0,3.0,,,,74.0,49.0,7.0,8.0,0.112541,4,,,4.0,2.0,1.0,4.0,2.0,,,,,1.0,1.0,1.0,,3.0,,2.0,0.1649,,,,2.0,,3.0,,,,2.0,,,,,,,
12528192,home,Samsunspor,Arbnor Muja,arbnor-muja,A. Muja,M,7,179,523,M,890695,EUR,912297600,M,7,7,False,23.0,19.0,3.0,2.0,0.0,3.0,4.0,16.0,20.0,3.0,,,,62.0,38.0,6.9,11.0,0.0353221,1,,,1.0,,,3.0,3.0,,1.0,,,3.0,2.0,,1.0,2.0,,,0.0215,,1.0,,4.0,0.0416,1.0,,,,,Arbnor,Muja,1.0,,,,
