match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,captain,stat_dispossessed,stat_outfielderBlock,stat_totalCross,stat_shotOffTarget,stat_expectedGoals,stat_accurateCross,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_errorLeadToAShot,stat_wasFouled,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_hitWoodwork,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_totalOffside,stat_blockedScoringAttempt,stat_goals,stat_goodHighClaim,stat_bigChanceMissed
12437047,home,Everton,Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7610,M,jpickford1,138530,EUR,762998400,G,1,1,False,34.0,23.0,21.0,10.0,0.0,13.0,13.0,10.0,21.0,4.0,12.0,2.0,2.0,1.0,1.0,90.0,48.0,7.0,13.0,0.00631954,0,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437047,home,Everton,Ashley Young,ashley-young,A. Young,D,15,180,1712,M,,10589,EUR,489715200,D,18,18,False,47.0,38.0,7.0,2.0,1.0,24.0,25.0,14.0,22.0,4.0,3.0,,,,,90.0,61.0,7.2,9.0,0.49589,0,,1.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12437047,home,Everton,James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2558,M,,145188,EUR,722131200,D,6,6,False,49.0,42.0,6.0,3.0,0.0,31.0,34.0,11.0,15.0,8.0,2.0,,,,,90.0,62.0,7.0,8.0,0.145484,0,,,1.0,4.0,3.0,1.0,,2.0,1.0,2.0,2.0,True,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12437047,home,Everton,Michael Keane,michael-keane,M. Keane,D,5,188,1573,M,,110846,EUR,726710400,D,5,5,False,33.0,25.0,5.0,,0.0,17.0,21.0,8.0,13.0,5.0,3.0,,,,,90.0,50.0,6.8,9.0,0.00431565,1,,3.0,1.0,4.0,4.0,1.0,,3.0,2.0,,1.0,,,1.0,1.0,1.0,0.0374,,,,,,,,,,,,,,,,,
12437047,home,Everton,Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180,4082,M,mikola_16,876643,EUR,927936000,D,19,19,False,31.0,24.0,4.0,,0.0,13.0,17.0,13.0,18.0,3.0,7.0,,,,,90.0,57.0,6.7,13.0,0.128557,0,,1.0,1.0,2.0,4.0,,,1.0,1.0,1.0,2.0,,,,4.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
12437047,home,Everton,Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182,1269,M,,96535,EUR,725846400,M,16,16,False,37.0,33.0,1.0,1.0,0.0,23.0,24.0,10.0,13.0,,7.0,,,,,80.0,44.0,7.1,5.0,0.0192944,1,,,2.0,2.0,5.0,,,3.0,1.0,1.0,1.0,,1.0,,,,0.0608,,,,1.0,,,1.0,0.0738,,,,,,,,,
12437047,home,Everton,Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174,21481,M,iganagueye,106337,EUR,622771200,M,27,27,False,46.0,41.0,1.0,1.0,0.0,23.0,24.0,18.0,23.0,,7.0,,,,,90.0,64.0,7.7,9.0,0.0280697,1,,,2.0,2.0,11.0,,,5.0,4.0,1.0,,,1.0,,1.0,1.0,0.0355,,2.0,2.0,2.0,,2.0,,,1.0,1.0,,,,,,,
12437047,home,Everton,Jack Harrison,jack-harrison,J. Harrison,M,17,175,1145,M,,829570,EUR,848448000,M,11,11,False,12.0,7.0,1.0,,0.0,2.0,5.0,6.0,9.0,,,,,,,68.0,28.0,6.0,14.0,0.12997,1,,,,5.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,2.0,1.0,0.058,1.0,2.0,,,1.0,,,,,4.0,,,,,,,
12437047,home,Everton,Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183,1973,M,,935543,EUR,943228800,M,7,7,False,29.0,24.0,1.0,1.0,0.0,10.0,12.0,16.0,23.0,,1.0,,,,,86.0,45.0,6.8,14.0,0.130315,1,,,1.0,4.0,4.0,1.0,,,,,,,2.0,,6.0,,0.0596,2.0,3.0,2.0,1.0,,1.0,1.0,0.0689,,2.0,Dwight,McNeil,,,,,
12437047,home,Everton,Iliman Ndiaye,iliman-ndiaye,I. Ndiaye,M,10,180,54701,M,ilimanndiaye10,914309,EUR,952300800,M,10,10,False,27.0,22.0,,,0.0,6.0,10.0,17.0,19.0,,4.0,,,,,90.0,42.0,6.6,11.0,0.0382319,0,,,,4.0,3.0,,,,,,,,2.0,,2.0,,,1.0,3.0,1.0,2.0,,2.0,,,,1.0,,,1.0,,,,
