match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialWon,stat_interceptionWon,stat_fouls,stat_outfielderBlock,captain,stat_totalCross,stat_aerialLost,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,stat_goalAssist,stat_accurateCross,stat_shotOffTarget,stat_goals,stat_blockedScoringAttempt,stat_totalOffside
10408364,home,Cádiz,Mamadou Mbaye,mamadou-mbaye,M. Mbaye,D,15,188,162,M,921621,EUR,898992000,D,5,5,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408364,home,Cádiz,Youba Diarra,youba-diarra,Y. Diarra,M,5,178,192,M,924369,EUR,890697600,M,12,12,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408364,home,Cádiz,Chris Ramos,chris-ramos,C. Ramos,F,9,193,1666,M,914819,EUR,853545600,F,16,16,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408364,away,Girona FC,Paulo Gazzaniga,paulo-gazzaniga,P. Gazzaniga,G,13,196,1913,M,164343,EUR,694310400,G,13,13,False,37.0,28.0,17.0,9.0,24.0,27.0,4.0,10.0,8.0,,1.0,2.0,90.0,44.0,6.4,9.0,0.0,0.0,0.00069548,0,-1.3453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408364,away,Girona FC,Arnau Martínez,arnau-martinez,A. Martínez,D,4,181,1573,M,1084081,EUR,1051228800,D,4,4,False,48.0,39.0,5.0,3.0,25.0,26.0,14.0,22.0,6.0,,,,90.0,75.0,6.5,15.0,0.0,0.0,0.0153473,0,,9.0,13.0,2.0,2.0,6.0,3.0,,,3.0,2.0,1.0,4.0,3.0,,1.0,,,,1.0,,Arnau Martinez,,,,,,,,
10408364,away,Girona FC,Santiago Bueno,santiago-bueno,S. Bueno,D,4,189,1175,M,846308,EUR,910569600,D,22,22,False,57.0,48.0,3.0,,38.0,43.0,10.0,14.0,7.0,,,,90.0,67.0,6.5,9.0,0.0,0.0,0.00168239,0,,3.0,4.0,,,,,,2.0,1.0,,,3.0,,,2.0,1.0,,,1.0,,,,,,,,,,
10408364,away,Girona FC,Bernardo Espinosa,bernardo-espinosa,Bernardo,D,,192,218,M,139919,EUR,616118400,D,2,2,False,34.0,33.0,,,24.0,25.0,9.0,9.0,,,,,45.0,39.0,6.6,1.0,0.0202,0.0643,0.0052752,1,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,2.0,1.0,1.0,True,,,,,,,,,,,,
10408364,away,Girona FC,Miguel Gutiérrez,miguel-gutierrez,M. Gutiérrez,D,3,180,4281,M,908716,EUR,996192000,D,3,3,False,49.0,47.0,3.0,2.0,29.0,30.0,18.0,22.0,5.0,,,,90.0,78.0,6.3,9.0,0.0,0.0,0.015246,0,,7.0,7.0,1.0,2.0,4.0,3.0,,1.0,2.0,2.0,,1.0,1.0,1.0,3.0,,,3.0,,,,,MGutiérrez,,,,,,
10408364,away,Girona FC,Iván Martín,ivan-martin,I. Martín,M,23,178,895,M,973699,EUR,918950400,M,23,23,False,35.0,27.0,,,8.0,9.0,19.0,26.0,6.0,,,,90.0,58.0,6.1,17.0,0.0535,0.0,0.053135,1,,7.0,4.0,,4.0,3.0,2.0,,2.0,,,4.0,,2.0,1.0,,,,,2.0,,,,,,,1.0,,,
10408364,away,Girona FC,Aleix García,aleix-garcia,A. García,M,24,173,4524,M,796047,EUR,867456000,M,14,14,False,30.0,25.0,3.0,,14.0,15.0,12.0,24.0,3.0,,,,63.0,47.0,6.3,15.0,0.0233,0.0,0.0468832,1,,4.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,1.0,,9.0,1.0,1.0,,,AlexGarcia97,,1.0,,,1.0,
10408364,away,Girona FC,Oriol Romeu,oriol-romeu,O. Romeu,M,28,182,14412,M,69416,EUR,685670400,M,18,18,False,52.0,42.0,6.0,3.0,22.0,28.0,20.0,24.0,4.0,,,,90.0,66.0,6.7,13.0,0.04,0.0,0.016676,1,,4.0,3.0,2.0,,,,,3.0,,,3.0,,3.0,,1.0,2.0,,,1.0,1.0,,,oriolromeu,,,1.0,,,
10408364,away,Girona FC,Toni Villa,toni-villa,Toni,M,19,171,108,M,813523,EUR,789436800,M,12,12,False,9.0,8.0,,,1.0,1.0,7.0,9.0,2.0,,,,45.0,21.0,6.5,5.0,0.0216,0.0,0.0111194,1,,5.0,6.0,2.0,,5.0,3.0,,,2.0,2.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,
10408364,away,Girona FC,Borja García,borja-garcia,B. García,M,,175,113,M,129472,EUR,657504000,F,24,24,False,16.0,16.0,,,7.0,7.0,9.0,9.0,2.0,,,,45.0,24.0,6.5,2.0,0.0,0.0,0.0154713,0,,4.0,4.0,2.0,2.0,1.0,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,
10408364,away,Girona FC,Valentín Castellanos,valentin-castellanos,V. Castellanos,F,11,179,10645,M,877013,EUR,907372800,F,9,9,False,10.0,7.0,,,4.0,5.0,3.0,7.0,2.0,,,,90.0,23.0,6.5,11.0,0.0377,0.0,0.00237971,1,,2.0,3.0,,,,,,2.0,,,5.0,2.0,1.0,,,,,2.0,2.0,,,,tatycastellanos11,,,,,1.0,
10408364,away,Girona FC,Alexander Callens,alexander-callens,A. Callens,D,18,186,1345,M,331575,EUR,704937600,D,25,25,True,33.0,29.0,,,21.0,22.0,8.0,11.0,2.0,,,,45.0,39.0,6.7,5.0,0.0,0.0,0.00210607,0,,1.0,1.0,,1.0,,,,3.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,
10408364,away,Girona FC,Rodrigo Riquelme,rodrigo-riquelme,R. Riquelme,M,17,174,4780,M,989113,EUR,954633600,M,17,17,True,18.0,14.0,2.0,1.0,2.0,4.0,12.0,15.0,5.0,,,,45.0,34.0,6.6,13.0,0.0,0.0,0.0163102,0,,7.0,6.0,1.0,2.0,5.0,4.0,,,,,1.0,2.0,,,1.0,,,1.0,2.0,2.0,,,,,,,,,
10408364,away,Girona FC,Joel Roca,joel-roca,J. Roca,F,3,176,596,M,1391616,EUR,1118102400,M,33,33,True,10.0,7.0,,,2.0,3.0,5.0,7.0,3.0,,,,45.0,25.0,6.3,10.0,0.0313,0.0,0.00653109,1,,6.0,3.0,1.0,1.0,3.0,,,1.0,2.0,2.0,2.0,1.0,,,1.0,,,,,,,,,,,1.0,,,
10408364,away,Girona FC,Viktor Tsygankov,viktor-tsygankov,V. Tsygankov,M,15,178,5432,M,319735,EUR,879552000,F,8,8,True,12.0,9.0,,,4.0,6.0,6.0,7.0,4.0,,,,27.0,17.0,6.7,4.0,0.0,0.0,0.0396068,0,,,1.0,,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,viktortsygankov,,1.0,,,,
10408364,away,Girona FC,Juan Carlos,juan-carlos,J. Carlos,G,1,187,226,M,83708,EUR,569635200,G,1,1,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408364,away,Girona FC,Toni Fuidias,toni-fuidias,T. Fuidias,G,13,195,276,M,991960,EUR,987292800,G,26,26,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408364,away,Girona FC,Juanpe,juanpe,Juanpe,D,6,189,179,M,129861,EUR,672969600,D,15,15,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408364,away,Girona FC,Javier Hernández,javier-hernandez,J. Hernández,D,26,181,457,M,1031658,EUR,894067200,D,16,16,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408364,away,Girona FC,Ricard Artero,ricard-artero,R. Artero,M,36,181,42,M,1134432,EUR,1044403200,M,36,36,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,Ricard Artero,,,,,,,,
10408364,away,Girona FC,Dawda Camara,dawda-camara,D. Camara,F,17,190,510,M,1151851,EUR,1036368000,F,37,37,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,Dawda Camara,,,,,,,,
