match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_outfielderBlock,stat_wonTackle,stat_keyPass,stat_challengeLost,stat_fouls,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_blockedScoringAttempt,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_hitWoodwork,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed
14035874,home,SV Zulte Waregem,Brent Gabriel,,,gabriel-brent,B. Gabriel,G,13,190.0,75,M,861977,EUR,917395200,G,13,13,False,41.0,25.0,30.0,14.0,0.0,15.0,18.0,10.0,23.0,1.0,9.0,2.0,3.0,7.0,1.0,90.0,58.0,8.8,18.0,0.00155564,0.7848,0,1.4848,0.09,0.01,0.29,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035874,home,SV Zulte Waregem,Wilguens Paugain,,,paugain-wilguens,W. Paugain,D,12,180.0,976,M,1404526,EUR,998611200,D,12,12,False,40.0,30.0,7.0,3.0,0.0,16.0,17.0,14.0,23.0,3.0,1.0,,,,,90.0,60.0,7.3,14.0,0.0232854,,0,,0.21,0.07,0.18,,3.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
14035874,home,SV Zulte Waregem,Anton Tanghe,,,tanghe-anton,A. Tanghe,D,3,194.0,72,M,1005175,EUR,917481600,D,3,3,False,33.0,29.0,5.0,4.0,0.0,20.0,21.0,9.0,12.0,13.0,1.0,,,,,90.0,57.0,8.3,4.0,0.0909593,,0,,0.18,0.06,1.0,,,,3.0,,,,3.0,,,True,4.0,2.0,1.0,,,,,,,,,,,,,,,,,
14035874,home,SV Zulte Waregem,Jakob Kiilerich,,,jakob-kiilerich,J. Kiilerich,D,5,190.0,62,M,887822,EUR,957916800,D,5,5,False,32.0,26.0,4.0,2.0,0.0,23.0,25.0,3.0,7.0,6.0,1.0,,,,,90.0,45.0,6.9,6.0,0.00553388,,0,,0.14,0.03,-0.03,,1.0,2.0,2.0,,,3.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,
14035874,home,SV Zulte Waregem,Yannick Cappelle,,,yannick-cappelle,Y. Cappelle,D,55,180.0,117,M,1506998,EUR,1057536000,D,55,55,False,40.0,35.0,6.0,3.0,0.0,20.0,25.0,15.0,15.0,5.0,6.0,,,,,90.0,72.0,9.2,7.0,0.014453,,2,,0.17,0.1,0.55,,2.0,1.0,10.0,,1.0,1.0,5.0,,2.0,,1.0,4.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.4774,0.4882,0.52,,,,,,,,
14035874,home,SV Zulte Waregem,Enrique Lofolomo,,,enrique-lofolomo,E. Lofolomo,M,6,185.0,50,M,980923,EUR,955670400,M,6,6,False,27.0,20.0,6.0,3.0,0.0,11.0,14.0,9.0,13.0,,3.0,,,,,90.0,40.0,7.4,8.0,0.0203561,,1,,0.27,0.03,-0.02,,5.0,3.0,11.0,,,2.0,3.0,1.0,4.0,,,2.0,,1.0,2.0,,,,,0.0587,,-0.18,1.0,,,,,,,
14035874,home,SV Zulte Waregem,Thomas Claes,,,claes-thomas,T. Claes,M,8,181.0,137,M,1188173,EUR,1080259200,M,8,8,False,31.0,30.0,3.0,3.0,0.0,17.0,18.0,13.0,13.0,,8.0,,,,,89.0,47.0,7.8,7.0,0.0474981,,3,,0.11,0.19,-0.01,,,8.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,3.0,,,3.0,1.0,0.1004,0.3895,0.56,,2.0,1.0,,,,,
14035874,home,SV Zulte Waregem,Stavros Gavriel,,,stavros-gavriel,S. Gavriel,M,11,178.0,168,M,999013,EUR,1012262400,M,11,11,False,15.0,13.0,,,0.0,4.0,6.0,9.0,9.0,2.0,2.0,,,,,69.0,29.0,6.8,7.0,0.0787889,,2,,0.08,0.23,0.18,,,3.0,2.0,,2.0,,,2.0,1.0,,,,,,2.0,1.0,,2.0,,0.1135,0.1166,-0.25,,3.0,1.0,1.0,,,,
14035874,home,SV Zulte Waregem,Jeppe Erenbjerg,,,erenbjerg-jeppe,J. Erenbjerg,M,10,184.0,356,M,1035095,EUR,956966400,M,24,24,False,18.0,14.0,1.0,,0.0,6.0,7.0,8.0,11.0,,1.0,,,,,78.0,31.0,6.5,9.0,0.044676,,1,,0.11,0.34,0.14,,,5.0,1.0,2.0,,,,2.0,1.0,,,,1.0,,2.0,,1.0,,,0.0729,,-0.51,,1.0,,1.0,1.0,,,
14035874,home,SV Zulte Waregem,Joseph Opoku,Joseph Okopu,,joseph-okopu,J. Okopu,M,22,179.0,340,M,1933796,EUR,1123459200,M,22,22,False,17.0,12.0,4.0,2.0,1.0,2.0,4.0,10.0,13.0,2.0,4.0,,,,,78.0,32.0,7.4,11.0,0.320944,,2,,0.42,0.27,0.14,,1.0,4.0,5.0,2.0,3.0,,,2.0,2.0,,,,2.0,1.0,,2.0,1.0,1.0,,0.1104,0.0548,-0.53,,1.0,,,,1.0,1.0,
14035874,home,SV Zulte Waregem,Anosike Ementa,,,anosike-ementa,A. Ementa,F,18,202.0,313,M,1094132,EUR,1020384000,F,18,18,False,35.0,14.0,1.0,,0.0,5.0,7.0,9.0,28.0,2.0,2.0,,,,,90.0,50.0,6.9,26.0,0.0481639,,1,,-0.49,0.47,0.22,,11.0,12.0,13.0,1.0,,,1.0,4.0,1.0,,,1.0,3.0,,3.0,,,1.0,,0.5394,0.2935,-0.56,,,,8.0,,,1.0,1.0
14035874,home,SV Zulte Waregem,Marley Aké,,,ake-marley,M. Aké,M,39,177.0,526,M,988839,EUR,978652800,M,39,39,True,5.0,4.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,,,,,,,21.0,8.0,6.6,2.0,0.238363,,0,,0.27,0.1,-0.04,,,3.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,
14035874,home,SV Zulte Waregem,Lukas Willen,,,willen-lukas,L. Willen,D,31,189.0,70,M,1145065,EUR,1051228800,D,31,31,True,3.0,1.0,2.0,1.0,0.0,,,1.0,3.0,1.0,,,,,,12.0,5.0,6.7,2.0,0.00011803,,0,,-0.02,,0.14,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14035874,home,SV Zulte Waregem,Serxho Ujka,,,serxho-ujka,S. Ujka,M,36,177.0,62,M,907707,EUR,904176000,M,36,36,True,6.0,3.0,,,0.0,1.0,1.0,2.0,5.0,3.0,1.0,,,,,12.0,13.0,6.9,5.0,0.00057371,,0,,0.01,0.04,0.23,,2.0,,3.0,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
14035874,home,SV Zulte Waregem,Benoit Nyssen,,,benoit-nyssen,B. Nyssen,D,19,186.0,33,M,938190,EUR,874022400,D,19,19,True,1.0,,,,0.0,,,,1.0,,,,,,,1.0,1.0,,1.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035874,home,SV Zulte Waregem,Louis Bostyn,,,louis-bostyn,L. Bostyn,G,1,195.0,46,M,145093,EUR,749692800,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035874,home,SV Zulte Waregem,Benoit De Jaegere,Benoit De Jaegere,,benoit-de-jaegere,B. D. Jaegere,D,45,189.0,17,M,2115926,EUR,1081728000,D,45,45,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035874,home,SV Zulte Waregem,Nikola Mituljikić,,,nikola-mituljikic,N. Mituljikić,M,11,180.0,192,M,1102965,EUR,1043020800,F,7,7,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035874,home,SV Zulte Waregem,Tobias Hedl,Tobias Hedl,,tobias-hedl,T. Hedl,F,20,185.0,109,M,1064825,EUR,1042588800,F,20,20,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035874,home,SV Zulte Waregem,Jelle Vossen,,,jelle-vossen,J. Vossen,F,9,180.0,294,M,45946,EUR,606528000,F,9,9,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035874,away,Oud-Heverlee Leuven,Tobe Leysen,,,tobe-leysen,T. Leysen,G,1,187.0,289,M,996979,EUR,1015632000,G,1,1,False,27.0,19.0,9.0,1.0,0.0,18.0,19.0,1.0,8.0,,6.0,,4.0,6.0,,90.0,38.0,6.5,9.0,0.00027389,0.4804,0,-0.6573,0.03,0.0,-0.16,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035874,away,Oud-Heverlee Leuven,Ewoud Pletinckx,,,ewoud-pletinckx,E. Pletinckx,D,28,190.0,193,M,949101,EUR,971136000,D,28,28,False,31.0,24.0,2.0,1.0,0.0,11.0,14.0,13.0,17.0,2.0,3.0,,,,,90.0,55.0,6.4,9.0,0.0446782,,3,,0.17,0.02,-0.28,,2.0,8.0,4.0,,,2.0,2.0,,,,,2.0,1.0,,,,1.0,2.0,,0.4284,0.9425,0.16,,1.0,,8.0,,,,1.0
14035874,away,Oud-Heverlee Leuven,Noë Dussenne,,,noe-dussenne,N. Dussenne,D,3,191.0,108,M,115569,EUR,702604800,D,3,3,False,87.0,66.0,16.0,11.0,0.0,41.0,48.0,25.0,39.0,3.0,6.0,,,,,90.0,102.0,7.2,24.0,0.0424621,,0,,0.33,0.08,-0.25,,7.0,7.0,10.0,1.0,,4.0,1.0,2.0,2.0,,1.0,,1.0,2.0,1.0,,,,,,,,,,,3.0,,,,
