match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,player_firstName,player_lastName,stat_challengeLost,stat_outfielderBlock,stat_fouls,stat_wasFouled,stat_keyPass,stat_accurateCross,stat_wonContest,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,player_sofascoreId,stat_goalsPrevented,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed
11067414,home,Santos,João Paulo,joao-paulo,J. Paulo,G,34,188,1599,M,795177,EUR,804384000,G,34,34,False,31.0,20.0,19.0,8.0,17.0,18.0,3.0,13.0,5.0,1.0,1.0,90.0,36.0,7.1,11.0,0.00118803,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067414,home,Santos,João Lucas,joao-lucas,J. Lucas,D,2,181,682,M,981019,EUR,889401600,D,13,13,False,30.0,21.0,5.0,2.0,10.0,11.0,11.0,25.0,1.0,,,68.0,59.0,6.8,19.0,0.0101869,1,6.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0102,,,,,,,,,,,,,,,,,
11067414,home,Santos,Messias,messias,Messias,D,4,192,220,M,839765,EUR,783820800,D,24,24,False,35.0,30.0,5.0,,23.0,24.0,7.0,11.0,2.0,,,90.0,42.0,6.8,6.0,0.00137699,0,,2.0,,4.0,2.0,,,,1.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,
11067414,home,Santos,Joaquim,joaquim,Joaquim,D,28,187,860,M,1047740,EUR,914803200,D,28,28,False,64.0,52.0,12.0,6.0,35.0,40.0,17.0,24.0,6.0,,,90.0,77.0,7.3,15.0,0.00741393,0,,4.0,4.0,5.0,6.0,,1.0,,3.0,3.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
11067414,home,Santos,Kevyson,kevyson,Kevyson,D,38,174,451,M,1389980,EUR,1080518400,D,38,38,False,58.0,46.0,5.0,3.0,27.0,30.0,20.0,32.0,9.0,,,90.0,96.0,7.2,22.0,0.017291,0,4.0,4.0,1.0,8.0,5.0,1.0,3.0,,2.0,4.0,2.0,2.0,2.0,,Kevyson,,1.0,,1.0,,,1.0,2.0,,,,,,,,
11067414,home,Santos,Tomás Rincón,tomas-rincon,T. Rincón,M,8,175,2716,M,46798,EUR,569030400,M,25,25,False,53.0,45.0,7.0,4.0,20.0,23.0,25.0,30.0,10.0,,,90.0,68.0,7.5,10.0,0.0320269,1,,,2.0,3.0,10.0,1.0,2.0,,1.0,2.0,3.0,2.0,,0.0558,,,1.0,,2.0,3.0,,,2.0,True,1.0,,,,,,
11067414,home,Santos,Jean Lucas,jean-lucas,J. Lucas,M,6,181,3752,M,927975,EUR,898473600,M,8,8,False,42.0,34.0,4.0,2.0,16.0,20.0,19.0,24.0,4.0,,,88.0,53.0,7.1,11.0,0.0681923,0,2.0,1.0,,2.0,1.0,,,,,1.0,1.0,,2.0,,,,,,1.0,,1.0,1.0,,,,,,,,,
11067414,home,Santos,Stiven Mendoza,steven-mendoza,S. Mendoza,M,7,171,1016,M,354510,EUR,709603200,M,20,20,False,15.0,13.0,1.0,1.0,5.0,5.0,8.0,13.0,3.0,,,45.0,24.0,6.4,8.0,0.00556224,1,3.0,,,3.0,1.0,,2.0,,,1.0,,,1.0,0.0145,,,1.0,,,1.0,,,,,,1.0,,,,,
11067414,home,Santos,Lucas Lima,lucas-lima,L. Lima,M,10,176,1742,M,244589,EUR,647481600,M,23,23,False,21.0,19.0,1.0,1.0,4.0,4.0,15.0,20.0,2.0,,,45.0,27.0,6.4,5.0,0.0434972,0,3.0,,,3.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,
11067414,home,Santos,Yeferson Soteldo,yeferson-soteldo,Y. Soteldo,M,7,160,11184,M,789960,EUR,867628800,M,10,10,False,24.0,17.0,1.0,,1.0,2.0,16.0,26.0,2.0,,,78.0,44.0,6.0,21.0,0.0253459,0,4.0,1.0,,8.0,3.0,3.0,7.0,,,,,,2.0,,,,,,,,,,3.0,,,,yefersonsoteldo1006,,,,
