match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_lastName,stat_totalCross,stat_outfielderBlock,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_accurateCross,stat_totalOffside,stat_keyPass,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_hitWoodwork,stat_goals
14053809,home,SC Telstar,Ronald Koeman Jr,ronald-koeman-jr,R. Koeman Jr,G,1,180.0,155,M,268701,EUR,801187200,G,1,1,False,40.0,23.0,19.0,3.0,0.0,22.0,26.0,1.0,14.0,1.0,6.0,1.0,3.0,3.0,90.0,48.0,6.7,17.0,0.00041766,78.853207913227,10.0,52.5,24.36,28.202669093545,1.0,0.2748,0,0.2052,0.01,0.01,-0.08,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053809,home,SC Telstar,Neville Nwankwo,neville-nwankwo,N. Nwankwo,D,14,189.0,50,M,1418395,EUR,1034035200,D,14,14,False,42.0,36.0,6.0,4.0,0.0,21.0,23.0,15.0,19.0,6.0,14.0,2.0,,,90.0,64.0,6.3,11.0,0.0115565,157.47037496597,16.0,83.055,33.39,87.793615604164,3.0,,0,,0.01,0.1,-0.23,,Neville Nwankwo,1.0,1.0,9.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,
14053809,home,SC Telstar,Guus Offerhaus,guus-offerhaus,G. Offerhaus,M,4,185.0,46,M,1047396,EUR,978480000,D,4,4,False,33.0,27.0,6.0,3.0,0.0,21.0,22.0,6.0,11.0,3.0,3.0,1.0,,,90.0,49.0,6.7,7.0,0.00400212,122.8940410614,13.0,39.27,15.435,17.923944013526,1.0,,0,,0.0,0.05,-0.02,,,2.0,2.0,3.0,,,,,6.0,2.0,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,
14053809,home,SC Telstar,Danny Bakker,danny-bakker,D. Bakker,D,6,178.0,76,M,302690,EUR,790214400,D,6,6,False,57.0,47.0,7.0,2.0,0.0,29.0,34.0,18.0,23.0,9.0,3.0,,,,90.0,78.0,7.0,13.0,0.0704705,134.67679304398,17.0,-2.1,28.56,28.676656987871,1.0,,1,,0.31,0.24,-0.13,,,4.0,7.0,7.0,1.0,,1.0,,4.0,3.0,2.0,1.0,1.0,1.0,,,,True,1.0,1.0,0.0663,0.0918,-0.04,,,,,,,,,
14053809,home,SC Telstar,Tyrese Noslin,noslin-tyrese,T. Noslin,M,11,182.0,131,M,1469336,EUR,1031702400,M,11,11,False,18.0,11.0,3.0,,0.0,7.0,7.0,4.0,11.0,3.0,3.0,1.0,,,65.0,41.0,6.7,13.0,0.0195581,58.033869255029,7.0,0.315,11.235,,,,0,,-0.04,0.07,0.26,,Tyrese Noslin,2.0,,3.0,,,2.0,1.0,3.0,1.0,1.0,1.0,2.0,,,3.0,,,,,,,,1.0,1.0,1.0,,,,,,
14053809,home,SC Telstar,Nils Rossen,nils-rossen,N. Rossen,M,17,181.0,80,M,1150154,EUR,1122854400,M,17,17,False,40.0,32.0,9.0,6.0,0.0,11.0,12.0,21.0,28.0,5.0,8.0,1.0,,,90.0,50.0,7.1,10.0,0.0404352,64.76640370575,9.0,8.61,11.34,17.759781079732,1.0,,0,,0.26,0.05,0.13,,Nils,1.0,2.0,3.0,,1.0,,,2.0,,2.0,1.0,1.0,1.0,Rossen,,,,,,,,,,,1.0,,,,,,
14053809,home,SC Telstar,Cedric Hatenboer,hatenboer-cedric,C. Hatenboer,M,23,184.0,238,M,1638564,EUR,1111190400,M,23,23,False,26.0,21.0,8.0,4.0,0.0,12.0,12.0,9.0,14.0,3.0,2.0,,,,65.0,52.0,7.1,15.0,0.143208,40.510265256686,6.0,17.85,9.45,8.5931694385716,1.0,,3,,0.34,0.03,-0.04,,Cedric Hatenboer,,,7.0,1.0,3.0,6.0,3.0,1.0,2.0,,,1.0,,,5.0,,,,1.0,0.0646,0.1548,-0.26,2.0,,1.0,1.0,2.0,,,,
14053809,home,SC Telstar,Jeff Hardeveld,jeff-hardeveld,J. Hardeveld,M,2,184.0,73,M,385300,EUR,793843200,M,2,2,False,34.0,20.0,12.0,3.0,0.0,10.0,14.0,10.0,20.0,4.0,6.0,,,,90.0,73.0,6.2,27.0,0.0466519,65.52848817847,10.0,36.015,9.87,,,,2,,0.17,0.12,0.2,,,,,9.0,,2.0,4.0,1.0,5.0,2.0,3.0,2.0,1.0,4.0,,6.0,,,1.0,,0.5192,,-0.59,1.0,,1.0,1.0,2.0,,,,
14053809,home,SC Telstar,Jochem Ritmeester van de Kamp,jochem-ritmeester-van-de-kamp,J. R. v. d. Kamp,M,39,177.0,175,M,1157777,EUR,1067731200,F,39,39,False,25.0,20.0,,,0.0,10.0,10.0,10.0,15.0,7.0,3.0,1.0,,,90.0,45.0,6.8,12.0,0.020793,48.796217605023,6.0,9.03,17.43,,,,1,,0.05,-0.13,-0.01,,Jochem van de Kamp,1.0,2.0,5.0,1.0,1.0,2.0,1.0,,,3.0,3.0,2.0,1.0,,2.0,,,,,0.0219,,-0.08,,,2.0,,,1.0,,,
14053809,home,SC Telstar,Milan Zonneveld,milan-zonneveld,M. Zonneveld,F,19,199.0,129,M,1137227,EUR,1065571200,F,9,9,False,7.0,6.0,,,0.0,2.0,3.0,4.0,4.0,8.0,2.0,2.0,,,76.0,23.0,6.8,4.0,0.00494822,21.774564638883,4.0,17.64,8.505,,,,2,,0.04,0.16,0.18,,Milan Zonneveld,4.0,6.0,5.0,,1.0,,,4.0,,,,2.0,,,,,,2.0,1.0,0.1838,0.0843,-0.52,,1.0,1.0,,1.0,,,,
