match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_unsuccessfulTouch,stat_penaltyConceded,player_firstName,player_lastName,stat_dispossessed,stat_wonTackle,player_sofascoreId,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,captain,stat_penaltyWon,stat_goals,stat_penaltyMiss,stat_errorLeadToAGoal,stat_penaltySave,stat_blockedScoringAttempt,stat_totalOffside
10389860,home,RC Lens,Brice Samba,brice-samba,B. Samba,G,30,186,2098,M,164055,EUR,767232000,G,30,30,False,21.0,15.0,6.0,15.0,17.0,4.0,9.0,1.0,1.0,1.0,2.0,90.0,31.0,6.2,6.0,0.0,0.0,0.00020183,0,-0.3052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389860,home,RC Lens,Jonathan Gradit,jonathan-gradit,J. Gradit,D,24,180,273,M,369650,EUR,722563200,D,24,24,False,76.0,70.0,6.0,45.0,48.0,28.0,,,,,,90.0,91.0,7.0,8.0,0.0,0.0,0.0330831,0,,5.0,25.0,2.0,1.0,5.0,6.0,2.0,1.0,5.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10389860,home,RC Lens,Kevin Danso,danso-kevin,K. Danso,D,4,190,3440,M,794953,EUR,906163200,D,4,4,False,74.0,61.0,11.0,50.0,55.0,19.0,6.0,,,,,90.0,80.0,6.3,14.0,0.1857,0.0,0.00620306,1,,3.0,11.0,,2.0,1.0,2.0,,,1.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10389860,home,RC Lens,Facundo Medina,facundo-medina,F. Medina,D,32,184,4462,M,860307,EUR,927849600,D,14,14,False,80.0,71.0,5.0,49.0,51.0,29.0,7.0,,,,,90.0,86.0,6.7,10.0,0.0226,0.0,0.0106911,1,,2.0,22.0,,3.0,1.0,5.0,,,1.0,,2.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,
10389860,home,RC Lens,Przemysław Frankowski,przemyslaw-frankowski,P. Frankowski,D,95,176,5767,M,286909,EUR,797644800,M,29,29,False,29.0,19.0,4.0,11.0,12.0,26.0,6.0,,,,,76.0,58.0,7.8,17.0,0.0972,0.7752,0.222549,1,,1.0,12.0,,,4.0,2.0,,,2.0,,2.0,,1.0,5.0,1.0,,,,,,,1.0,,przemek.franek_,1.0,9.0,4.0,2.0,1.0,1.0,,,,,,,,
10389860,home,RC Lens,Salis Abdul Samed,abdul-samed-salis,S. A. Samed,M,99,180,2025,M,993455,EUR,954028800,M,26,26,False,34.0,29.0,3.0,10.0,12.0,22.0,3.0,,,,,90.0,44.0,6.7,6.0,0.0,0.0,0.0125865,0,,1.0,19.0,3.0,,5.0,6.0,1.0,1.0,,,3.0,2.0,3.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
10389860,home,RC Lens,Seko Fofana,seko-fofana,S. Fofana,M,42,184,11416,M,191188,EUR,799804800,M,8,8,False,48.0,46.0,4.0,27.0,27.0,21.0,4.0,,,,,90.0,61.0,7.7,6.0,0.0477,0.0,0.229861,1,,4.0,19.0,1.0,,4.0,5.0,7.0,4.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,sekofofana,1.0,,,,1.0,,True,1.0,,,,,,
10389860,home,RC Lens,Deiver Machado,deiver-machado,D. Machado,M,27,179,1117,M,822110,EUR,746928000,M,3,3,False,16.0,14.0,1.0,8.0,8.0,10.0,4.0,,,,,83.0,29.0,6.6,5.0,0.0,0.0,0.336616,0,,1.0,7.0,1.0,,3.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,2.0,,,,,1.0,,,2.0,1.0,1.0,,,,,,,,,,
10389860,home,RC Lens,Florian Sotoca,florian-sotoca,F. Sotoca,F,7,187,757,M,788921,EUR,656812800,F,7,7,False,34.0,26.0,2.0,11.0,13.0,21.0,3.0,,,,,77.0,53.0,9.8,11.0,1.5614,1.1938,0.23429,8,,1.0,15.0,2.0,2.0,6.0,8.0,2.0,2.0,,,2.0,2.0,2.0,2.0,1.0,4.0,,2.0,,,,1.0,1.0,,,,,1.0,,4.0,,,3.0,1.0,,,,
10389860,home,RC Lens,David Pereira da Costa,david-pereira-da-costa,D. P. d. Costa,M,10,165,576,M,1023091,EUR,978652800,F,20,20,False,26.0,24.0,1.0,10.0,10.0,16.0,3.0,,,,,68.0,36.0,6.5,5.0,0.2169,0.4762,0.0107271,1,,1.0,14.0,,,4.0,3.0,3.0,2.0,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,
