match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,captain,stat_aerialWon,stat_dispossessed,stat_blockedScoringAttempt,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_goalAssist,stat_accurateCross,player_firstName,player_lastName,stat_totalOffside,player_sofascoreId
11067652,home,Bahia,Marcos Felipe,marcos-felipe,M. Felipe,G,1,189,1142,M,358524,EUR,829353600,G,22,22,False,33.0,19.0,24.0,11.0,11.0,12.0,8.0,21.0,3.0,15.0,3.0,7.0,1.0,1.0,1.0,90.0,49.0,8.6,14.0,0.0,0.0,0.00142851,0,0.6555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067652,home,Bahia,Gilberto,gilberto,Gilberto,D,2,181,1500,M,261687,EUR,731462400,D,2,2,False,45.0,33.0,7.0,2.0,16.0,20.0,17.0,26.0,,12.0,,,,,,90.0,63.0,8.3,16.0,0.0263,0.0,0.17432,1,,1.0,1.0,3.0,8.0,1.0,4.0,3.0,1.0,1.0,2.0,5.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,
11067652,home,Bahia,Kanu,kanu,Kanu,D,4,186,926,M,871705,EUR,857692800,D,4,4,False,32.0,28.0,5.0,3.0,23.0,25.0,5.0,7.0,2.0,6.0,,,,,,90.0,43.0,6.4,5.0,0.1867,0.0,0.00122508,1,,,3.0,7.0,4.0,2.0,,,,,,,,,,True,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,
11067652,home,Bahia,Vitor Hugo,vitor-hugo,V. Hugo,D,14,187,899,M,794838,EUR,674697600,D,31,31,False,42.0,27.0,9.0,2.0,23.0,28.0,4.0,14.0,5.0,5.0,,,,,,90.0,55.0,8.0,15.0,0.0764,0.0934,0.0904503,1,,,,1.0,9.0,1.0,,,,,,3.0,2.0,,1.0,,6.0,,,2.0,,,1.0,1.0,,,,,,,,
11067652,home,Bahia,Camilo Cándido,camilo-candido,C. Cándido,D,13,174,364,M,924073,EUR,802051200,D,38,38,False,35.0,20.0,4.0,3.0,15.0,21.0,5.0,15.0,4.0,8.0,,,,,,79.0,65.0,6.6,25.0,0.0,0.0,0.00775907,0,,1.0,4.0,10.0,4.0,1.0,1.0,,,,,3.0,3.0,2.0,,,1.0,1.0,,2.0,,3.0,,,,,,,,,,
11067652,home,Bahia,Thaciano,thaciano,Thaciano,M,16,182,1796,M,872039,EUR,800236800,M,16,16,False,18.0,16.0,3.0,2.0,10.0,11.0,6.0,7.0,2.0,5.0,,,,,,90.0,34.0,6.4,5.0,0.7338,0.0,0.00963157,3,,,2.0,5.0,3.0,,2.0,,,2.0,,3.0,2.0,1.0,,,,,1.0,1.0,,1.0,,,2.0,1.0,,,,,,
11067652,home,Bahia,Rezende,rezende,Rezende,D,5,186,736,M,868030,EUR,789004800,M,5,5,False,19.0,12.0,1.0,,9.0,12.0,3.0,7.0,,3.0,,,,,,65.0,41.0,8.3,8.0,0.0533,0.6145,0.00099917,2,,,,4.0,14.0,2.0,1.0,1.0,,,,7.0,6.0,1.0,,,4.0,,,3.0,2.0,2.0,2.0,1.0,,,,,,,,
11067652,home,Bahia,Ademir,ademir,Ademir,F,7,172,1700,M,922546,EUR,792892800,M,7,7,False,18.0,11.0,2.0,1.0,4.0,4.0,8.0,18.0,,4.0,,,,,,65.0,34.0,7.8,12.0,0.0,0.0,0.122198,0,,4.0,,1.0,10.0,1.0,1.0,1.0,1.0,,,2.0,2.0,2.0,2.0,,1.0,,,,6.0,,,,,,1.0,1.0,,,,
11067652,home,Bahia,Cauly,cauly,Cauly,M,8,175,2903,M,255873,EUR,811123200,M,8,8,False,37.0,28.0,2.0,2.0,5.0,5.0,26.0,39.0,,3.0,,,,,,90.0,55.0,8.4,17.0,0.1532,0.5403,0.353062,1,,7.0,,4.0,2.0,2.0,1.0,,1.0,,,1.0,,2.0,3.0,,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,3.0,,,,
11067652,home,Bahia,Rafael Ratão,rafael-ratao,R. Ratão,F,18,182,3402,M,352838,EUR,817689600,M,11,11,False,26.0,13.0,1.0,1.0,5.0,11.0,8.0,15.0,1.0,9.0,,,,,,79.0,44.0,6.0,21.0,0.0662,0.0,0.0747095,3,,,1.0,7.0,3.0,2.0,3.0,,,,,1.0,1.0,3.0,,,1.0,1.0,3.0,,1.0,,,,,,,,,,,
