match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialWon,stat_dispossessed,stat_wonContest,stat_interceptionWon,stat_wonTackle,captain,stat_onTargetScoringAttempt,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotOffTarget,stat_accurateCross,stat_blockedScoringAttempt,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_goalAssist,player_sofascoreId
11401974,home,FC Volendam,Mio Backhaus,Mio Backhaus,,mio-backhaus,M. Backhaus,G,30,194.0,1073,M,1083390,EUR,1082073600,G,1,1,False,43.0,32.0,21.0,10.0,29.0,33.0,3.0,10.0,12.0,1.0,90.0,55.0,6.7,12.0,0.00082872,0,-0.5703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401974,home,FC Volendam,Oskar Buur,,,oskar-buur,O. Buur,D,2,178.0,84,M,797688,EUR,891302400,D,2,2,False,44.0,35.0,4.0,1.0,20.0,21.0,15.0,28.0,4.0,,90.0,69.0,6.5,18.0,0.0228393,0,,5.0,2.0,6.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11401974,home,FC Volendam,Brian Plat,,,brian-plat,B. Plat,D,4,191.0,60,M,980673,EUR,954892800,D,3,3,False,82.0,76.0,7.0,4.0,47.0,51.0,29.0,31.0,6.0,,90.0,96.0,7.2,8.0,0.0100022,0,,,1.0,2.0,5.0,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11401974,home,FC Volendam,Damon Mirani,,,damon-mirani,D. Mirani,D,4,182.0,56,M,318575,EUR,831945600,D,4,4,False,48.0,45.0,4.0,2.0,21.0,21.0,24.0,27.0,1.0,,76.0,55.0,6.9,4.0,0.0189521,1,,,3.0,5.0,2.0,1.0,,2.0,,,1.0,,2.0,,,2.0,,True,1.0,2.0,0.0477,0.0267,1.0,,,,,,,,,,,,
11401974,home,FC Volendam,Benaissa Benamar,,,benaissa-benamar,B. Benamar,D,5,191.0,226,M,970791,EUR,860457600,D,6,6,False,88.0,84.0,9.0,9.0,49.0,52.0,35.0,36.0,1.0,,90.0,96.0,7.1,6.0,0.131299,1,,,,4.0,4.0,1.0,,1.0,,,,,4.0,2.0,,,,,,1.0,0.0202,,,1.0,,,,,,,,,,,
11401974,home,FC Volendam,George Cox,George,Cox,george-cox,G. Cox,M,,171.0,91,M,920556,EUR,884736000,D,5,5,False,67.0,56.0,14.0,10.0,38.0,41.0,18.0,28.0,6.0,,90.0,89.0,7.0,17.0,0.0121547,0,,2.0,3.0,4.0,4.0,,2.0,1.0,,,1.0,1.0,1.0,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,
11401974,home,FC Volendam,Calvin Twigt,Calvin Twigt,,calvin-twigt,C. Twigt,M,8,183.0,95,M,1084944,EUR,1043884800,M,17,17,False,34.0,25.0,6.0,4.0,8.0,10.0,17.0,26.0,,,76.0,42.0,6.5,13.0,0.0150484,0,,2.0,,3.0,1.0,,2.0,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
11401974,home,FC Volendam,Luke Le Roux,Luke,Le Roux,le-roux-luke,L. L. Roux,M,16,180.0,299,M,931035,EUR,952646400,M,8,8,False,52.0,48.0,4.0,4.0,13.0,15.0,35.0,39.0,4.0,,90.0,64.0,7.1,6.0,0.0288126,0,,2.0,3.0,4.0,5.0,1.0,2.0,,,1.0,,2.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11401974,home,FC Volendam,Milan de Haan,Milan de Haan,,milan-de-haan,M. d. Haan,M,8,,32,M,1120949,EUR,1069286400,M,36,36,False,17.0,12.0,1.0,1.0,3.0,3.0,9.0,15.0,1.0,,83.0,30.0,6.7,11.0,0.00985169,3,,1.0,,4.0,1.0,,1.0,,1.0,1.0,3.0,,,1.0,,,,,,2.0,0.1047,,,3.0,,,,,,,,,,,
11401974,home,FC Volendam,Bilal Ould-Chikh,,,bilal-ould-chikh,B. Ould-Chikh,M,77,170.0,1226,M,544532,EUR,870048000,F,11,11,False,20.0,19.0,6.0,6.0,8.0,9.0,12.0,18.0,1.0,,63.0,41.0,6.6,15.0,0.102404,0,,7.0,,6.0,4.0,,5.0,,,,2.0,2.0,,3.0,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,
