match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_outfielderBlock,stat_wasFouled,captain,stat_accurateCross,stat_wonContest,player_sofascoreId,stat_blockedScoringAttempt,stat_hitWoodwork,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_onTargetScoringAttempt
10388495,home,1. FC Köln,Marvin Schwäbe,,,marvin-schwabe,M. Schwäbe,G,1,189,324,M,187185,EUR,798768000,G,20,20,False,34.0,26.0,15.0,8.0,23.0,26.0,3.0,8.0,2.0,2.0,2.0,90.0,37.0,7.4,9.0,0.0,0.0,0.00152866,0,1.0779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388495,home,1. FC Köln,Benno Schmitz,,,benno-schmitz,B. Schmitz,D,6,182,70,M,147775,EUR,785030400,D,2,2,False,41.0,25.0,5.0,3.0,11.0,17.0,14.0,26.0,7.0,,,90.0,76.0,7.6,26.0,0.014,0.0,0.250541,1,,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
10388495,home,1. FC Köln,Timo Hübers,,,timo-hubers,T. Hübers,D,4,190,271,M,387220,EUR,837820800,D,4,4,False,53.0,43.0,4.0,2.0,36.0,38.0,7.0,15.0,9.0,,,90.0,71.0,7.4,11.0,0.0,0.0,0.00254407,0,,,,5.0,6.0,,,,,4.0,4.0,2.0,1.0,1.0,1.0,,1.0,4.0,1.0,3.0,,,,,,,,,,,
10388495,home,1. FC Köln,Jeff Chabot,,,julian-chabot,J. Chabot,D,24,194,723,M,863271,EUR,887241600,D,24,24,False,55.0,46.0,3.0,,41.0,46.0,5.0,9.0,8.0,,,90.0,68.0,7.3,9.0,0.0,0.0,0.00315554,0,,,2.0,3.0,4.0,,,,,5.0,1.0,2.0,1.0,,1.0,,,,2.0,2.0,,,,,,,,,,,
10388495,home,1. FC Köln,Jonas Hector,,,jonas-hector,J. Hector,D,,185,234,,124544,EUR,643766400,D,14,14,False,40.0,29.0,7.0,2.0,14.0,18.0,16.0,26.0,8.0,,,90.0,73.0,7.4,22.0,0.0,0.0,0.0227782,0,,4.0,,1.0,7.0,1.0,2.0,,,2.0,1.0,2.0,1.0,3.0,,,1.0,,,2.0,True,1.0,2.0,,,,,,,,
10388495,home,1. FC Köln,Ellyes Skhiri,,,ellyes-skhiri,E. Skhiri,M,15,185,4745,M,591706,EUR,800064000,M,28,28,False,55.0,47.0,3.0,2.0,26.0,29.0,21.0,26.0,11.0,,,90.0,73.0,7.5,8.0,0.0337,0.0,0.0407717,1,,,,3.0,6.0,,3.0,,,1.0,5.0,3.0,2.0,,1.0,,,2.0,,,,,3.0,ellyes_skhiri,1.0,,,,,,
10388495,home,1. FC Köln,Eric Martel,,,martel-eric,E. Martel,M,6,186,936,M,988639,EUR,1020038400,M,6,6,False,38.0,30.0,4.0,2.0,17.0,19.0,13.0,20.0,11.0,,,90.0,62.0,6.2,16.0,0.0531,0.0,0.0131919,1,,1.0,,7.0,2.0,4.0,,,,2.0,3.0,2.0,2.0,3.0,2.0,,,1.0,,,,,,,1.0,,,,,,
10388495,home,1. FC Köln,Dejan Ljubičić,,,dejan-ljubicic,D. Ljubičić,M,21,186,826,M,869883,EUR,876268800,M,7,7,False,18.0,12.0,,,4.0,5.0,8.0,15.0,4.0,,,55.0,30.0,6.5,14.0,0.1156,0.0,0.0356581,1,,2.0,,4.0,2.0,2.0,3.0,,1.0,,,,,2.0,,1.0,1.0,,,,,,1.0,,,1.0,,,,,
10388495,home,1. FC Köln,Florian Kainz,,,florian-kainz,F. Kainz,M,11,176,502,M,78781,EUR,719884800,M,11,11,False,23.0,18.0,1.0,1.0,3.0,3.0,16.0,28.0,5.0,,,73.0,47.0,6.5,19.0,0.012,0.0,0.0579401,1,,8.0,1.0,7.0,3.0,1.0,4.0,,,,1.0,,,1.0,1.0,2.0,,,,3.0,,1.0,,,1.0,,,,,,
10388495,home,1. FC Köln,Linton Maina,,,linton-maina,L. Maina,M,37,173,490,M,921033,EUR,930096000,F,37,37,False,27.0,17.0,,,1.0,1.0,16.0,30.0,5.0,,,85.0,45.0,6.4,19.0,0.5118,0.0,0.0249513,2,,4.0,2.0,5.0,2.0,2.0,,,1.0,,,,,2.0,,,,1.0,,2.0,,,,,1.0,1.0,1.0,,,,
