match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_lastName,stat_outfielderBlock,stat_totalOffside,stat_accurateCross,stat_keyPass,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_hitWoodwork,player_sofascoreId,captain,stat_goals
12624931,home,Al-Ettifaq,Marek Rodák,marek-rodak,M. Rodák,G,1,188,518,M,358694,EUR,850435200,G,1,1,False,29.0,21.0,14.0,7.0,0.0,18.0,20.0,3.0,9.0,1.0,2.0,1.0,1.0,2.0,15.0,1.0,1.0,3.0,5.0,1.0,90.0,50.0,7.5,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12624931,home,Al-Ettifaq,Mohammed Abdulrahman,mohammed-abdulrahman,M. Abdulrahman,D,29,170,146,M,1133141,EUR,1042502400,D,29,29,False,45.0,36.0,2.0,1.0,0.0,19.0,23.0,17.0,23.0,,7.0,3.0,,1.0,8.0,,,,,,90.0,78.0,6.6,17.0,0,Mohammed Abdulrahman,1.0,1.0,7.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,,,,,,,,,,,,,,,
12624931,home,Al-Ettifaq,Jack Hendry,jack-hendry,J. Hendry,D,4,195,333,M,795696,EUR,799804800,D,4,4,False,46.0,42.0,4.0,3.0,0.0,33.0,35.0,9.0,11.0,,4.0,1.0,1.0,5.0,3.0,,,,,,90.0,62.0,6.8,6.0,0,,,1.0,2.0,,,1.0,1.0,2.0,2.0,1.0,,1.0,,,,,,,,,,,,,
12624931,home,Al-Ettifaq,Abdullah Madu,abdullah-madu,A. Madu,D,3,186,189,M,794347,EUR,742694400,D,3,3,False,45.0,40.0,5.0,2.0,0.0,32.0,34.0,8.0,11.0,,,,,6.0,2.0,,,,,,90.0,52.0,6.3,5.0,0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,
12624931,home,Al-Ettifaq,Madallah Al-Olayan,madallah-al-olayan,M. Al-Olayan,D,33,170,81,M,818813,EUR,777772800,D,33,33,False,38.0,30.0,3.0,1.0,0.0,14.0,17.0,17.0,23.0,,11.0,2.0,,1.0,6.0,,,,,,90.0,65.0,7.0,12.0,0,,2.0,1.0,8.0,3.0,,7.0,4.0,1.0,4.0,2.0,,1.0,,1.0,1.0,,,,,,,,,,
12624931,home,Al-Ettifaq,Álvaro Medrán,alvaro-medran,Á. Medrán,M,10,176,321,M,537018,EUR,763689600,M,10,10,False,29.0,22.0,2.0,,1.0,7.0,7.0,15.0,25.0,2.0,6.0,3.0,1.0,,4.0,,,,,,90.0,54.0,7.2,19.0,5,,3.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,
12624931,home,Al-Ettifaq,Georginio Wijnaldum,georginio-wijnaldum,G. Wijnaldum,M,8,175,8339,M,22126,EUR,658281600,M,8,8,False,40.0,34.0,1.0,,0.0,21.0,21.0,13.0,19.0,1.0,4.0,4.0,1.0,5.0,7.0,,,,,,90.0,60.0,7.0,12.0,2,,,,4.0,,,2.0,1.0,1.0,,,,,,,,1.0,,1.0,,2.0,,,gwijnaldum,True,1.0
12624931,home,Al-Ettifaq,Vitinho,vitinho,Vitinho,F,11,178,3973,M,242054,EUR,750124800,M,14,14,False,48.0,41.0,6.0,1.0,0.0,14.0,15.0,28.0,37.0,,5.0,3.0,2.0,1.0,5.0,,,,,,90.0,65.0,6.7,13.0,1,,4.0,,5.0,1.0,1.0,,,1.0,3.0,2.0,,,,1.0,1.0,1.0,,,,,1.0,,,,
12624931,home,Al-Ettifaq,Abdullah Radif,abdullah-radif,A. H. Radif,F,21,185,510,M,1101759,EUR,1043107200,F,21,21,False,15.0,12.0,1.0,,0.0,7.0,8.0,5.0,9.0,1.0,2.0,3.0,1.0,,1.0,,,,,,69.0,32.0,6.5,13.0,2,Abdullah Radif,2.0,3.0,9.0,,,,,5.0,,3.0,,,,,,1.0,,,,1.0,1.0,1.0,,,
12624931,home,Al-Ettifaq,Moussa Dembélé,moussa-dembele,M. Dembélé,F,9,183,2632,M,318653,EUR,837129600,F,9,9,False,20.0,18.0,,,0.0,9.0,9.0,9.0,12.0,2.0,2.0,1.0,,,2.0,,,,,,90.0,25.0,6.5,6.0,0,,1.0,5.0,6.0,,,,,2.0,,1.0,,,,,1.0,,,,,,,,,,
