match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_unsuccessfulTouch,stat_aerialLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_expectedGoals,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_goalAssist,stat_savedShotsFromInsideTheBox,stat_punches
11408389,home,CF Estrela Amadora,Bruno Brígido,bruno-brigido,B. Brígido,G,1,187,51,M,329079,EUR,668476800,G,30,30,False,22.0,16.0,6.0,16.0,17.0,5.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,2.0,90.0,29.0,6.4,6.0,3.364e-05,0,-0.2697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408389,home,CF Estrela Amadora,Kialonda Gaspar,kialonda-gaspar,K. Gaspar,D,4,193,1228,M,1090374,EUR,875318400,D,4,4,False,84.0,76.0,9.0,48.0,50.0,36.0,2.0,,3.0,5.0,,,,,90.0,103.0,7.8,8.0,0.112817,0,,Kialonda Gaspar,,6.0,30.0,2.0,2.0,1.0,8.0,1.0,1.0,3.0,6.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
11408389,home,CF Estrela Amadora,Miguel Lopes,miguel-lopes,M. Lopes,D,13,182,63,M,41651,EUR,535334400,D,13,13,False,57.0,52.0,7.0,41.0,43.0,15.0,2.0,1.0,1.0,5.0,,,,,90.0,66.0,6.7,7.0,0.00733658,0,,,,5.0,11.0,1.0,,,3.0,,,2.0,1.0,,2.0,1.0,,True,1.0,,,,,,,,,,,,,,,
11408389,home,CF Estrela Amadora,Diogo Fonseca,fonseca-diogo,D. Fonseca,D,3,191,23,M,1120035,EUR,1018396800,D,3,3,False,62.0,53.0,7.0,40.0,41.0,21.0,2.0,,,3.0,,,,,74.0,71.0,6.8,9.0,0.00365068,1,,,,3.0,13.0,,,3.0,6.0,,,1.0,2.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.2696,,,,,,,,,
11408389,home,CF Estrela Amadora,Hevertton Santos,hevertton-santos,H. Santos,D,20,182,177,M,1087355,EUR,980985600,M,27,27,False,37.0,26.0,5.0,11.0,14.0,28.0,5.0,,,1.0,,,,,60.0,57.0,6.5,22.0,0.19935,0,,,,1.0,16.0,5.0,1.0,1.0,1.0,1.0,,,,,,,2.0,,2.0,2.0,1.0,,,,,2.0,,,,,,,,
11408389,home,CF Estrela Amadora,Léo Cordeiro,leo-cordeiro,L. Cordeiro,M,22,174,96,M,869461,EUR,812160000,M,22,22,False,47.0,40.0,7.0,21.0,22.0,25.0,2.0,,,4.0,,,,,90.0,59.0,7.7,10.0,0.0643266,3,,,,6.0,19.0,,,2.0,5.0,,,2.0,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,1.0,0.2448,,1.0,1.0,1.0,1.0,0.5053,,,
11408389,home,CF Estrela Amadora,Leonel Bucca,leonel-bucca,L. Bucca,M,8,189,78,M,989867,EUR,921801600,M,26,26,False,31.0,27.0,5.0,10.0,11.0,23.0,6.0,2.0,,7.0,,,,,90.0,46.0,6.8,10.0,0.127426,1,,,,2.0,18.0,3.0,1.0,,4.0,1.0,,,3.0,2.0,,1.0,1.0,,1.0,1.0,2.0,1.0,,,0.0274,1.0,,1.0,,,,,,
11408389,home,CF Estrela Amadora,Rúben Lima,ruben-lima,R. Lima,D,,176,41,M,59772,EUR,623376000,M,28,28,False,29.0,19.0,8.0,8.0,9.0,25.0,6.0,,,1.0,,,,,60.0,55.0,6.3,19.0,0.265121,0,,,,4.0,12.0,5.0,1.0,2.0,3.0,,,,,,2.0,2.0,1.0,,,1.0,3.0,,,,,,,,,,,,,
11408389,home,CF Estrela Amadora,Nanú,nanu,Nanú,D,14,177,273,M,343965,EUR,769132800,F,31,31,False,22.0,16.0,2.0,4.0,4.0,19.0,4.0,,,3.0,,,,,67.0,37.0,7.2,12.0,0.0897372,1,,,,1.0,13.0,1.0,1.0,2.0,7.0,,,,2.0,2.0,1.0,1.0,2.0,,5.0,2.0,2.0,2.0,,1.0,0.015,1.0,,,,1.0,,,,
11408389,home,CF Estrela Amadora,André Luiz,andre-luiz,André Luiz,M,17,185,1296,M,1133282,EUR,1014422400,F,10,10,False,19.0,15.0,2.0,6.0,6.0,18.0,2.0,,,8.0,,,,,75.0,42.0,7.5,13.0,0.0299107,4,,André Luiz,,1.0,9.0,5.0,,1.0,8.0,,,,2.0,1.0,2.0,,1.0,,2.0,,4.0,3.0,1.0,3.0,0.2339,1.0,1.0,,,,0.1309,,,
11408389,home,CF Estrela Amadora,Kikas,kikas,Kikas,F,98,176,231,M,869875,EUR,905990400,F,29,29,False,12.0,9.0,,3.0,4.0,12.0,5.0,,,1.0,,,,,90.0,32.0,7.5,13.0,0.123947,6,,,,,6.0,4.0,,3.0,3.0,1.0,,,,,,1.0,2.0,,3.0,2.0,1.0,,2.0,1.0,1.6562,1.0,2.0,3.0,1.0,2.0,1.87,1.0,,
11408389,home,CF Estrela Amadora,Jean Felipe,jean-felipe,J. Felipe,D,12,180,36,M,386094,EUR,769219200,D,12,12,True,14.0,13.0,3.0,6.0,6.0,13.0,2.0,,,1.0,,,,,30.0,28.0,6.6,8.0,0.0173154,1,,,,2.0,7.0,5.0,,,2.0,,,,1.0,1.0,,,1.0,,,,2.0,1.0,,1.0,0.0467,1.0,,,,,,,,
11408389,home,CF Estrela Amadora,Nilton Varela,nilton-varela,N. Varela,M,75,182,76,M,998414,EUR,990748800,D,75,75,True,13.0,8.0,,1.0,3.0,12.0,1.0,,,5.0,,,,,30.0,28.0,6.7,10.0,0.00386453,0,,,,,7.0,2.0,,2.0,6.0,,,,1.0,1.0,1.0,,,,2.0,,2.0,2.0,,,,1.0,,,,,,,,
11408389,home,CF Estrela Amadora,Léo Jabá,leo-jaba,L. Jabá,F,,178,256,M,852518,EUR,902016000,F,8,8,True,6.0,4.0,2.0,,1.0,8.0,,,,2.0,,,,,23.0,14.0,7.6,6.0,0.508112,1,,,,2.0,5.0,3.0,1.0,1.0,3.0,1.0,,,,,1.0,,1.0,,2.0,,1.0,1.0,,,0.0412,,1.0,,,1.0,0.2011,,,
11408389,home,CF Estrela Amadora,Pedro Mendes,pedro-mendes,P. Mendes,D,5,187,77,M,44563,EUR,654739200,D,5,5,True,9.0,6.0,4.0,4.0,4.0,5.0,1.0,,,1.0,,,,,16.0,12.0,6.3,3.0,0.00022895,0,,,,2.0,2.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
11408389,home,CF Estrela Amadora,Aloisio,aloisio,Aloisio,M,20,180,45,M,962371,EUR,831081600,M,6,6,True,13.0,10.0,3.0,5.0,6.0,7.0,3.0,,,3.0,,,,,15.0,16.0,6.6,3.0,0.0033259,1,,,,1.0,5.0,,,,1.0,,1.0,,,,,1.0,,,,2.0,1.0,1.0,,1.0,0.08,,,,,,,,,
