match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_wonContest,stat_accurateCross,stat_blockedScoringAttempt,stat_unsuccessfulTouch,captain,stat_totalOffside,player_sofascoreId,stat_bigChanceCreated,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals,stat_goalAssist,stat_hitWoodwork
11369443,home,Granada,André Ferreira,,,andre-ferreira,A. Ferreira,G,13,193,225,M,788197,EUR,833328000,G,13,13,False,13.0,10.0,5.0,2.0,8.0,9.0,2.0,4.0,8.0,2.0,2.0,90.0,22.0,6.0,3.0,0.00026586,0,-1.6291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369443,home,Granada,Ricard Sánchez,,,ricard-sanchez,R. Sánchez,D,2,175,157,M,986726,EUR,951177600,D,12,12,False,64.0,49.0,9.0,5.0,23.0,27.0,26.0,38.0,5.0,,,90.0,98.0,7.0,19.0,0.0921043,0,,1.0,2.0,4.0,9.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11369443,home,Granada,Ignasi Miquel,,,ignasi-miquel,I. Miquel,D,5,189,102,M,144606,EUR,717638400,D,14,14,False,65.0,60.0,5.0,5.0,51.0,54.0,9.0,11.0,,,,90.0,76.0,6.6,5.0,0.00369199,2,,,4.0,6.0,5.0,,,3.0,,1.0,,,,,6.0,1.0,1.0,1.0,2.0,0.1347,0.1073,,,,,,,,,,,,,,,,
11369443,home,Granada,Raúl Torrente,,,raul-torrente,R. Torrente,D,4,193,720,M,1134758,EUR,1000080000,D,28,28,False,69.0,62.0,5.0,3.0,54.0,57.0,8.0,12.0,6.0,,,90.0,78.0,6.6,7.0,0.0028222,1,,,2.0,4.0,4.0,,,3.0,1.0,2.0,2.0,,2.0,,2.0,,1.0,,,0.0818,,,,,,,,,,,,,,,,,
11369443,home,Granada,Carlos Neva,,,neva-carlos,C. Neva,D,21,174,128,M,914178,EUR,834537600,D,15,15,False,34.0,25.0,4.0,,21.0,25.0,4.0,10.0,1.0,,,64.0,53.0,6.0,11.0,0.00242902,0,,1.0,,2.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
11369443,home,Granada,Gerard Gumbau,,,gerard-gumbau,G. Gumbau,M,15,187,380,M,326471,EUR,787708800,M,23,23,False,80.0,69.0,15.0,9.0,38.0,38.0,34.0,52.0,3.0,,,90.0,107.0,7.3,20.0,0.243072,2,,10.0,1.0,5.0,9.0,2.0,1.0,1.0,,4.0,1.0,3.0,2.0,3.0,2.0,,1.0,,1.0,0.1034,,,1.0,3.0,1.0,1.0,,,,,,,,,,,
11369443,home,Granada,Antonio Puertas,,,antonio-puertas,A. Puertas,M,7,183,210,M,316406,EUR,698630400,M,10,10,False,18.0,15.0,,,6.0,7.0,10.0,14.0,2.0,,,78.0,38.0,6.6,7.0,0.0801741,3,,3.0,1.0,5.0,5.0,,3.0,,,,,1.0,3.0,1.0,,1.0,,1.0,1.0,0.4447,0.6277,2.0,3.0,1.0,2.0,,True,,,,,,,,,,
11369443,home,Granada,Gonzalo Villar,,,gonzalo-villar,G. Villar,M,12,181,1019,M,914765,EUR,890611200,M,24,24,False,32.0,25.0,3.0,1.0,15.0,17.0,10.0,15.0,4.0,,,45.0,39.0,6.7,9.0,0.0171116,1,,,,2.0,3.0,,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,,,0.0411,,,1.0,,,1.0,,1.0,,,,,,,,,
11369443,home,Granada,Sergio Ruiz Alonso,,,sergio-ruiz-alonso,S. R. Alonso,M,20,171,83,M,857227,EUR,787536000,M,20,20,False,29.0,28.0,,,21.0,21.0,7.0,8.0,3.0,,,64.0,35.0,6.7,1.0,0.00469925,0,,,,1.0,5.0,,,,,3.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
11369443,home,Granada,Bryan Zaragoza,,,bryan-zaragoza,B. Zaragoza,F,97,165,5285,M,1084730,EUR,999993600,M,26,26,False,26.0,17.0,3.0,1.0,3.0,6.0,16.0,31.0,4.0,,,90.0,56.0,6.0,28.0,0.0718886,0,,11.0,1.0,8.0,3.0,2.0,5.0,,,1.0,,,,,1.0,,,,2.0,,,1.0,1.0,2.0,,,,1.0,bryanzaragoza,,,,,,,,
11369443,home,Granada,Lucas Boyé,,,lucas-boye,L. Boyé,F,15,183,1345,M,814385,EUR,825465600,F,7,7,False,12.0,6.0,,,2.0,2.0,4.0,11.0,2.0,,,90.0,34.0,7.0,12.0,0.00309478,1,,1.0,,7.0,10.0,,5.0,,,2.0,2.0,6.0,1.0,1.0,2.0,,,1.0,,0.0604,0.0178,1.0,2.0,,,1.0,,,,,,,,,,,
11369443,home,Granada,Myrto Uzuni,,,myrto-uzuni,M. Uzuni,F,10,178,1807,M,895533,EUR,801878400,F,11,11,True,7.0,6.0,,,2.0,2.0,4.0,5.0,,,,45.0,11.0,6.8,4.0,0.301191,1,,,,1.0,,1.0,,,,,,,,2.0,,,,,,0.0322,,,,,1.0,3.0,,,,1.0,,,,,,,
11369443,home,Granada,Álvaro Carreras,,,alvaro-carreras,Á. Carreras,D,18,186,79899,M,1085081,EUR,1048377600,D,33,33,True,24.0,20.0,,,7.0,9.0,14.0,17.0,2.0,,,26.0,33.0,7.0,5.0,0.115249,1,,2.0,1.0,2.0,1.0,,,1.0,,,,,1.0,1.0,1.0,,1.0,,,0.0442,,,,1.0,,,,,,1.0,,,,,,,
11369443,home,Granada,Njegoš Petrović,,,njegos-petrovic,N. Petrović,M,18,185,282,M,844179,EUR,932256000,M,18,18,True,11.0,9.0,1.0,,1.0,1.0,8.0,10.0,1.0,,,26.0,16.0,6.6,5.0,0.00631018,0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,
11369443,home,Granada,José Callejón,,,jose-callejon,J. Callejón,F,,178,736,M,40965,EUR,540000000,F,9,9,True,6.0,6.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,,,12.0,7.0,6.7,,0.0476343,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369443,home,Granada,Fran Arbol,Fran Árbol,,arbol-fran,F. Árbol,G,13,189,17,M,1466134,EUR,1151625600,G,35,35,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369443,home,Granada,Adri López,,,adri-lopez,A. López,G,,185,10,M,894438,EUR,915840000,G,31,31,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369443,home,Granada,Víctor Díaz,,,victor-diaz,V. Díaz,D,,183,35,M,141655,EUR,582076800,D,16,16,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369443,home,Granada,Miguel Rubio,,,miguel-rubio,M. Rubio,D,15,191,184,M,934351,EUR,889574400,D,4,4,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369443,home,Granada,Wilson Manafá,,,wilson-manafa,W. Manafá,D,13,177,205,M,344205,EUR,774921600,D,3,3,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369443,home,Granada,Óscar Melendo,,,oscar-melendo,Ó. Melendo,M,21,167,152,M,861317,EUR,872294400,M,21,21,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369443,home,Granada,Famara Diédhiou,,,famara-diedhiou,F. Diédhiou,F,18,189,721,M,293115,EUR,704764800,F,19,19,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369443,home,Granada,Shon Weissman,,,shon-weissman,S.Weissman,F,18,174,695,M,790817,EUR,824256000,F,17,17,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369443,away,Sevilla,Marko Dmitrović,,,marko-dmitrovic,M. Dmitrović,G,13,194,1184,M,94527,EUR,696211200,G,1,1,False,27.0,13.0,21.0,7.0,8.0,10.0,5.0,17.0,9.0,3.0,3.0,90.0,38.0,7.7,14.0,0.00127452,0,0.7528,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,,,
11369443,away,Sevilla,Nemanja Gudelj,,,nemanja-gudelj,N. Gudelj,M,6,187,1647,M,68332,EUR,690249600,D,6,6,False,58.0,52.0,3.0,1.0,35.0,37.0,17.0,21.0,3.0,,,90.0,66.0,7.1,6.0,0.00881882,1,,,2.0,3.0,3.0,1.0,,5.0,1.0,1.0,,,2.0,,,,1.0,,,0.0162,,,,,,,,,,,,,,,,,
11369443,away,Sevilla,Sergio Ramos,,,sergio-ramos,S. Ramos,D,93,184,68934,M,10710,EUR,512524800,D,4,4,False,41.0,38.0,8.0,6.0,28.0,31.0,10.0,10.0,9.0,,,90.0,55.0,8.5,3.0,0.00645733,2,,,2.0,5.0,5.0,2.0,1.0,5.0,3.0,2.0,2.0,,1.0,,2.0,,,2.0,,0.073,0.4829,,1.0,,,,True,1.0,SergioRamos,,,,,,1.0,,
