match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_onTargetScoringAttempt,captain,stat_dispossessed,stat_errorLeadToAShot,stat_totalOffside,stat_blockedScoringAttempt,stat_penaltyConceded,stat_goals,player_sofascoreId,stat_goodHighClaim,stat_penaltyWon
10389806,home,Stade Brestois,Marco Bizot,marco-bizot,M. Bizot,G,40,194,898,M,100390,EUR,668563200,G,40,40,False,24.0,19.0,7.0,3.0,18.0,22.0,1.0,2.0,5.0,1.0,1.0,1.0,90.0,29.0,6.1,5.0,0.0,0.0,0.00027941,0,-0.5622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389806,home,Stade Brestois,Kenny Lala,kenny-lala,K. Lala,D,77,178,604,M,141080,EUR,686448000,D,27,27,False,55.0,46.0,8.0,6.0,26.0,28.0,22.0,31.0,11.0,,,,90.0,72.0,6.8,11.0,0.0312,0.0,0.166602,1,,4.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10389806,home,Stade Brestois,Brendan Chardonnet,brendan-chardonnet,B. Chardonnet,D,5,181,234,M,328035,EUR,788054400,D,5,5,False,50.0,40.0,16.0,9.0,27.0,31.0,13.0,19.0,5.0,,,,90.0,65.0,7.1,12.0,0.0,0.0,0.0723748,0,,,,3.0,6.0,9.0,1.0,,5.0,1.0,2.0,1.0,,,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
10389806,home,Stade Brestois,Lilian Brassier,lilian-brassier,L. Brassier,D,3,184,576,M,988907,EUR,941500800,D,3,3,False,62.0,48.0,12.0,6.0,39.0,46.0,9.0,17.0,9.0,,,,90.0,75.0,7.2,15.0,0.1273,0.0647,0.0123406,2,,1.0,,1.0,2.0,8.0,,1.0,1.0,2.0,1.0,,,,6.0,,,4.0,1.0,2.0,,,1.0,,,,,,,,,,
10389806,home,Stade Brestois,Jean-Kévin Duverne,jean-kevin-duverne,J. Duverne,D,29,184,2643,M,845930,EUR,868665600,D,2,2,False,22.0,17.0,2.0,1.0,10.0,14.0,8.0,13.0,3.0,,,,75.0,44.0,5.8,13.0,0.0,0.0,0.0935855,0,,5.0,1.0,1.0,6.0,2.0,2.0,,1.0,,1.0,1.0,,,,3.0,2.0,2.0,,,1.0,,,True,1.0,1.0,1.0,,,,,,
10389806,home,Stade Brestois,Hugo Magnetti,hugo-magnetti,H. Magnetti,M,8,173,194,M,861324,EUR,896486400,M,8,8,False,21.0,18.0,2.0,1.0,11.0,12.0,7.0,9.0,4.0,,,,62.0,30.0,6.0,6.0,0.0,0.0,0.0152485,0,,,,2.0,8.0,1.0,2.0,,1.0,,2.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,
10389806,home,Stade Brestois,Pierre Lees Melou,pierre-lees-melou,P. L. Melou,M,33,185,589,M,801306,EUR,738288000,M,20,20,False,51.0,41.0,14.0,10.0,22.0,25.0,19.0,27.0,12.0,,,,90.0,70.0,6.6,13.0,0.0959,0.055,0.0211133,3,,1.0,,,6.0,6.0,4.0,,2.0,1.0,1.0,,,,,2.0,2.0,,1.0,1.0,,3.0,1.0,,1.0,,,2.0,1.0,,,,
10389806,home,Stade Brestois,Haris Belkebla,haris-belkebla,H. Belkebla,M,93,177,1877,M,580642,EUR,759715200,M,7,7,False,36.0,31.0,2.0,1.0,20.0,22.0,11.0,14.0,3.0,,,,87.0,47.0,7.2,8.0,0.7884,0.9654,0.012926,1,,,,2.0,4.0,7.0,1.0,,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,3.0,3.0,1.0,,,,,,,1.0,,,
10389806,home,Stade Brestois,Romain Del Castillo,romain-del-castillo,R. Del Castillo,M,10,172,689,M,825681,EUR,828057600,F,10,10,False,25.0,17.0,3.0,2.0,5.0,7.0,13.0,21.0,3.0,,,,75.0,38.0,6.4,17.0,0.0,0.0,0.0921705,0,,3.0,1.0,1.0,6.0,1.0,1.0,,1.0,1.0,,1.0,,,,2.0,,,,1.0,3.0,,,,2.0,,1.0,,,,,,
10389806,home,Stade Brestois,Steve Mounié,steve-mounie,S. Mounié,F,9,190,6052,M,345035,EUR,780796800,F,15,15,False,20.0,16.0,,,2.0,2.0,14.0,18.0,4.0,,,,90.0,30.0,7.2,7.0,0.3183,0.0623,0.0625744,4,,,,4.0,6.0,8.0,,2.0,,,1.0,2.0,,,8.0,1.0,,,,,2.0,,1.0,,,,,1.0,,,,,
