match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_fouls,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_expectedGoals,stat_interceptionWon,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_totalOffside,stat_bigChanceMissed,stat_goals,player_firstName,player_lastName,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_lastManTackle
12501589,home,Napoli,Alex Meret,alex-meret,A. Meret,G,1,190,4366,M,592794,EUR,858988800,G,1,1,False,31.0,27.0,7.0,3.0,0.0,27.0,29.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,90.0,34.0,6.3,5.0,8.529e-05,0,-0.3708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501589,home,Napoli,Giovanni Di Lorenzo,giovanni-di-lorenzo,G. Di Lorenzo,D,22,182,6986,M,153257,EUR,744422400,D,22,22,False,41.0,34.0,3.0,2.0,0.0,12.0,12.0,34.0,2.0,,1.0,,,,90.0,67.0,7.1,13.0,0.105929,0,,dilorenzo22,True,22.0,5.0,5.0,2.0,5.0,5.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12501589,home,Napoli,Amir Rrahmani,amir-rrahmani,A. Rrahmani,D,13,190,3520,M,332155,EUR,762048000,D,13,13,False,73.0,63.0,16.0,8.0,0.0,41.0,45.0,28.0,11.0,6.0,,,,,90.0,93.0,7.3,11.0,0.108558,0,,,,22.0,,,4.0,4.0,5.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
12501589,home,Napoli,Alessandro Buongiorno,alessandro-buongiorno,A. Buongiorno,D,4,191,3972,M,870263,EUR,928627200,D,4,4,False,55.0,51.0,2.0,1.0,0.0,42.0,43.0,12.0,6.0,5.0,1.0,,,,90.0,69.0,7.0,5.0,0.00340787,0,,,,9.0,,2.0,1.0,4.0,4.0,2.0,1.0,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
12501589,home,Napoli,Leonardo Spinazzola,leonardo-spinazzola,L. Spinazzola,D,37,185,3729,M,148899,EUR,733017600,D,37,37,False,38.0,36.0,3.0,1.0,0.0,16.0,16.0,24.0,5.0,1.0,,,,,82.0,56.0,6.5,6.0,0.145909,2,,,,20.0,2.0,1.0,1.0,3.0,1.0,,,,,,1.0,,,1.0,,2.0,0.0512,,,,,,,,,,,,,,,
12501589,home,Napoli,Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169,4342,M,907668,EUR,992217600,M,6,6,False,67.0,56.0,4.0,3.0,0.0,21.0,23.0,44.0,,10.0,2.0,,,,79.0,80.0,7.5,13.0,0.05602,3,,billygilmour,,35.0,,,1.0,1.0,6.0,3.0,3.0,2.0,1.0,,,,1.0,,,3.0,0.0795,1.0,,,,,,,,,,,,,,
12501589,home,Napoli,Stanislav Lobotka,stanislav-lobotka,S. Lobotka,M,68,170,4661,M,150383,EUR,785721600,M,68,68,False,71.0,64.0,2.0,1.0,0.0,25.0,27.0,44.0,4.0,6.0,,,,,90.0,83.0,7.7,8.0,0.393491,1,,StanLobotka,,39.0,,,,,3.0,1.0,1.0,2.0,2.0,,,1.0,,,,,0.0677,1.0,1.0,1.0,,,,,,,,,,,,
12501589,home,Napoli,Scott McTominay,scott-mctominay,S. McTominay,M,8,193,25748,M,879346,EUR,850003200,M,8,8,False,20.0,20.0,,,0.0,6.0,6.0,14.0,2.0,2.0,3.0,,,,90.0,36.0,6.9,5.0,0.198586,3,,ScottMcTominay,,14.0,,3.0,5.0,7.0,8.0,1.0,,3.0,1.0,1.0,2.0,,1.0,,,2.0,0.2142,,,,1.0,0.0506,,,,,,,,,,
12501589,home,Napoli,Matteo Politano,matteo-politano,M. Politano,F,21,171,4493,M,235672,EUR,744336000,F,21,21,False,33.0,26.0,1.0,,0.0,3.0,5.0,38.0,,3.0,1.0,,,,82.0,52.0,7.0,18.0,0.134704,1,,,,25.0,10.0,,,1.0,4.0,,,2.0,1.0,,,,,3.0,2.0,1.0,0.0324,,,,,,2.0,,,,,,,,,
12501589,home,Napoli,Romelu Lukaku,romelu-lukaku,R. Lukaku,F,9,191,56823,M,78893,EUR,737251200,F,11,11,False,23.0,16.0,,,0.0,6.0,6.0,17.0,1.0,1.0,,,,,90.0,29.0,7.2,7.0,0.0914187,2,,RLukaku,,10.0,,2.0,1.0,2.0,4.0,,,3.0,2.0,,,,,,,1.0,0.2647,,,1.0,,,,,,,,,,,,
