match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelWon,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_aerialWon,stat_duelLost,stat_fouls,stat_aerialLost,stat_wasFouled,stat_challengeLost,stat_dispossessed,stat_totalContest,player_sofascoreId,captain,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_goals,stat_keyPass,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,player_firstName,player_lastName,stat_wonContest,stat_penaltyWon,stat_totalOffside,stat_penaltyFaced,stat_punches,stat_penaltyConceded,stat_bigChanceMissed
10411643,home,Lazio,Ivan Provedel,ivan-provedel,I. Provedel,G,94,194,1818,M,308182,EUR,763862400,G,94,94,False,25.0,21.0,9.0,5.0,19.0,21.0,2.0,4.0,9.0,1.0,1.0,3.0,1.0,1.0,90.0,35.0,7.5,5.0,0.0,0.0,0.00062066,0,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411643,home,Lazio,Adam Marušić,adam-marusic,A. Marušić,D,77,185,1131,M,267619,EUR,719280000,D,77,77,False,30.0,28.0,1.0,1.0,20.0,21.0,8.0,9.0,3.0,,,,,,78.0,44.0,7.4,4.0,0.1448,0.0745,0.00343831,1,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411643,home,Lazio,Nicolò Casale,nicolo-casale,N. Casale,D,16,191,431,M,862697,EUR,887414400,D,15,15,False,39.0,37.0,,,25.0,26.0,12.0,13.0,4.0,,,,,,90.0,43.0,7.0,2.0,0.0,0.0,0.0584541,0,,3.0,,,1.0,,1.0,1.0,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
10411643,home,Lazio,Alessio Romagnoli,alessio-romagnoli,A. Romagnoli,D,13,185,1922,M,227864,EUR,789868800,D,13,13,False,44.0,39.0,3.0,1.0,31.0,34.0,8.0,10.0,7.0,,,,,,90.0,51.0,6.9,5.0,0.0,0.0,0.00158732,0,,3.0,,,1.0,,1.0,1.0,,,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10411643,home,Lazio,Elseid Hysaj,elseid-hysaj,E. Hysaj,D,23,182,1316,M,136322,EUR,760147200,D,23,23,False,47.0,38.0,6.0,5.0,20.0,24.0,18.0,23.0,7.0,,,,,,90.0,72.0,7.5,14.0,0.0,0.0,0.0152069,0,,10.0,,,2.0,,1.0,7.0,3.0,,2.0,5.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10411643,home,Lazio,Sergej Milinković-Savić,sergej-milinkovic-savic,S. Milinković-Savić,M,22,191,13428,M,331447,EUR,793843200,M,21,21,False,60.0,48.0,2.0,1.0,31.0,36.0,18.0,25.0,7.0,,,,,,83.0,79.0,7.5,21.0,0.3684,0.6476,0.0365541,2,,3.0,1.0,,,2.0,,1.0,1.0,7.0,2.0,4.0,2.0,1.0,,,1.0,,sms,True,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10411643,home,Lazio,Danilo Cataldi,danilo-cataldi,D. Cataldi,M,32,180,952,M,317301,EUR,776131200,M,32,32,False,56.0,47.0,4.0,2.0,21.0,26.0,26.0,30.0,6.0,,,,,,87.0,65.0,6.7,9.0,0.0,0.0,0.0126985,0,,2.0,,,,1.0,2.0,1.0,1.0,,,3.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
10411643,home,Lazio,Luis Alberto,luis-alberto,L. Alberto,M,32,182,1864,M,111416,EUR,717638400,M,10,10,False,64.0,58.0,3.0,2.0,23.0,24.0,35.0,44.0,8.0,,,,,,90.0,77.0,8.6,10.0,0.8208,0.9547,0.337995,2,,4.0,1.0,,,,2.0,4.0,4.0,,,4.0,1.0,1.0,,2.0,,,,,4.0,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,
10411643,home,Lazio,Pedro,pedro,Pedro,F,9,167,5026,M,35428,EUR,554428800,F,9,9,False,27.0,21.0,2.0,,12.0,13.0,9.0,14.0,6.0,,,,,,78.0,40.0,6.8,14.0,0.0,0.0,0.0191828,0,,4.0,,,,,,,,4.0,,6.0,1.0,,2.0,1.0,3.0,3.0,Pedro,,,,,,1.0,,,,,,2.0,1.0,,,,,
10411643,home,Lazio,Felipe Anderson,felipe-anderson,F. Anderson,M,7,175,6043,M,152276,EUR,734832000,F,7,7,False,46.0,34.0,5.0,4.0,10.0,12.0,24.0,34.0,5.0,,,,,,90.0,66.0,7.8,17.0,0.7094,0.8969,0.296681,1,,8.0,1.0,,1.0,,1.0,4.0,2.0,3.0,,7.0,1.0,3.0,1.0,1.0,1.0,4.0,F_Andersoon,,,,,1.0,1.0,,,,,,3.0,,1.0,,,,
