match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_onTargetScoringAttempt,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_keyPass,captain,stat_aerialWon,stat_challengeLost,stat_fouls,stat_dispossessed,stat_totalContest,stat_wonContest,stat_wonTackle,stat_bigChanceMissed,stat_outfielderBlock,stat_errorLeadToAShot,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_bigChanceCreated,stat_hitWoodwork,stat_totalOffside,player_sofascoreId,stat_shotOffTarget,stat_penaltyMiss,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_penaltyConceded,stat_accurateCross
11452970,home,Al-Fayha,Vladimir Stojković,vladimir-stojkovic,V. Stojković,G,28,194.0,228,M,13691,EUR,428198400,G,88,88,False,10.0,9.0,3.0,2.0,0.0,8.0,8.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,90.0,16.0,7.3,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452970,home,Al-Fayha,Mohammed Al Baqawi,mohammed-al-baqawi,M. A. Baqawi,D,22,170.0,21,M,893199,EUR,805507200,D,22,22,False,38.0,35.0,4.0,4.0,0.0,16.0,18.0,19.0,24.0,,1.0,4.0,,,89.0,60.0,7.4,8.0,1,4.0,1.0,1.0,5.0,1.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11452970,home,Al-Fayha,Sami Al-Khaibary,sami-al-khaibary,S. Al-Khaibary,D,4,185.0,15,M,893198,EUR,622080000,D,4,4,False,50.0,49.0,4.0,3.0,0.0,36.0,37.0,13.0,13.0,,5.0,5.0,,,90.0,59.0,7.1,1.0,0,,1.0,3.0,1.0,,2.0,,1.0,,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11452970,home,Al-Fayha,Mokher Al-Rashidi,mokher-al-rashidi,M. Al-Rashidi,D,2,170.0,16,M,921767,EUR,927158400,D,2,2,False,26.0,22.0,2.0,1.0,0.0,15.0,16.0,7.0,10.0,,1.0,2.0,,,45.0,36.0,6.6,6.0,0,,1.0,5.0,3.0,,,1.0,,1.0,,,,2.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,
11452970,home,Al-Fayha,Hussain Al-Shuweish,hussain-al-showaish,H. Al-Shuweish,D,33,185.0,17,M,818758,EUR,625881600,D,33,33,False,52.0,39.0,11.0,3.0,0.0,20.0,21.0,19.0,31.0,1.0,2.0,8.0,,,90.0,62.0,6.6,16.0,1,,4.0,5.0,3.0,,,1.0,1.0,,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
11452970,home,Al-Fayha,Ricardo Ryller,ricardo-ryller,R. Ryller,M,28,176.0,231,M,870943,EUR,762307200,M,37,37,False,29.0,23.0,6.0,4.0,0.0,12.0,14.0,11.0,15.0,,,1.0,,,80.0,39.0,7.3,7.0,0,,1.0,3.0,6.0,,1.0,4.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,4.0,,1.0,,1.0,,,,,,,,,,,,,
11452970,home,Al-Fayha,Sultan Mandash,sultan-mandash,S. Mandash,F,23,175.0,362,M,818568,EUR,782352000,M,27,27,False,18.0,12.0,3.0,1.0,0.0,3.0,5.0,9.0,16.0,,1.0,4.0,,,62.0,36.0,6.8,14.0,1,3.0,,4.0,3.0,1.0,,2.0,,,,,1.0,,,4.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,
11452970,home,Al-Fayha,Gojko Cimirot,gojko-cimirot,G. Cimirot,M,59,178.0,253,M,116604,EUR,724723200,M,13,13,False,50.0,45.0,4.0,3.0,0.0,17.0,18.0,28.0,34.0,,1.0,5.0,,,90.0,60.0,7.3,8.0,0,2.0,1.0,2.0,5.0,,,1.0,1.0,1.0,,,,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,
11452970,home,Al-Fayha,Saud Zidan,saud-zidan,S. Zidan,M,14,167.0,29,M,1084266,EUR,941846400,M,6,6,False,37.0,34.0,,,0.0,16.0,17.0,18.0,20.0,,1.0,6.0,,,62.0,46.0,6.9,6.0,0,,,5.0,3.0,,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,2.0,1.0,,,,,1.0,Saud Zidan,,1.0,,,,,,,,,,
11452970,home,Al-Fayha,Henry Onyekuru,henry-onyekuru,H. Onyekuru,F,7,175.0,741,M,809220,EUR,865468800,M,7,7,False,8.0,3.0,,,0.0,,2.0,3.0,6.0,,1.0,6.0,,,90.0,28.0,6.8,11.0,1,,,7.0,7.0,1.0,1.0,1.0,3.0,,,2.0,,3.0,2.0,4.0,2.0,1.0,,,,2.0,,,,1.0,1.0,,,,,,,,
