match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_goalAssist,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_challengeLost,stat_outfielderBlock,stat_wonContest,stat_totalCross,stat_onTargetScoringAttempt,stat_interceptionWon,captain,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_errorLeadToAGoal,stat_ownGoals,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork
10390119,home,Lorient,Yvon Mvogo,yvon-mvogo,Y. Mvogo,G,38,190,548,M,149656,EUR,770860800,G,38,38,False,41.0,24.0,26.0,9.0,17.0,20.0,7.0,21.0,1.0,13.0,2.0,3.0,90.0,50.0,6.9,17.0,0.0,0.0,0.00407672,0,-0.0531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390119,home,Lorient,Gedeon Kalulu,gedeon-kalulu,G. Kalulu,D,2,176,4314,M,991200,EUR,872812800,D,24,24,False,33.0,24.0,7.0,3.0,14.0,18.0,10.0,15.0,7.0,6.0,,,90.0,56.0,7.5,13.0,0.0,0.0,0.0142197,0,,,,gedeon_K2,1.0,2.0,1.0,6.0,8.0,1.0,2.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10390119,home,Lorient,Julien Laporte,julien-laporte,J. Laporte,D,15,185,87,M,791048,EUR,752371200,D,15,15,False,36.0,33.0,5.0,3.0,28.0,29.0,5.0,7.0,9.0,2.0,,,90.0,48.0,6.9,3.0,0.0,0.0,0.00326774,0,,,,,,1.0,2.0,2.0,4.0,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
10390119,home,Lorient,Montassar Talbi,montassar-talbi,M. Talbi,D,3,190,3461,M,879618,EUR,896140800,D,3,3,False,42.0,37.0,2.0,,34.0,37.0,3.0,5.0,6.0,4.0,,,90.0,58.0,6.9,6.0,0.0,0.0,0.00269439,0,,,,,,,6.0,2.0,9.0,,1.0,,,,1.0,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,
10390119,home,Lorient,Vincent Le Goff,vincent-le-goff,V. L. Goff,D,25,177,29,M,99945,EUR,624412800,D,25,25,False,28.0,20.0,5.0,1.0,12.0,14.0,8.0,15.0,3.0,6.0,,,90.0,44.0,6.9,10.0,0.0,0.0,0.017918,0,,,,,,1.0,,2.0,4.0,,,,3.0,3.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,
10390119,home,Lorient,Enzo Le Fée,enzo-le-fee,E. Le Fée,M,28,173,3108,M,984014,EUR,949536000,M,10,10,False,31.0,26.0,7.0,5.0,13.0,16.0,13.0,16.0,,7.0,,,89.0,59.0,7.8,12.0,0.0286,0.2519,0.0173079,1,,,,,,2.0,,6.0,14.0,2.0,4.0,,9.0,6.0,3.0,2.0,,1.0,1.0,,3.0,1.0,1.0,2.0,,,,,,,,,,
10390119,home,Lorient,Laurent Abergel,laurent-abergel,L. Abergel,M,6,170,153,M,296434,EUR,728524800,M,6,6,False,33.0,30.0,1.0,,20.0,21.0,10.0,12.0,4.0,5.0,,,90.0,52.0,6.6,8.0,0.0,0.0,0.00743295,0,,,,,,,,4.0,5.0,2.0,2.0,,3.0,2.0,2.0,1.0,,,1.0,1.0,1.0,,,2.0,True,,,,,,,,,
10390119,home,Lorient,Stéphane Diarra,stephane-diarra,S. Diarra,F,25,173,90,M,834881,EUR,913161600,M,7,7,False,17.0,9.0,1.0,,4.0,8.0,5.0,9.0,1.0,6.0,,,69.0,29.0,6.3,13.0,0.0,0.0,0.00760652,0,,,,,,1.0,,5.0,2.0,,3.0,,,,3.0,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,
10390119,home,Lorient,Julien Ponceau,julien-ponceau,J. Ponceau,M,21,170,165,M,942844,EUR,975369600,M,21,21,False,25.0,21.0,2.0,1.0,8.0,10.0,13.0,15.0,1.0,4.0,,,69.0,33.0,6.9,7.0,0.1354,0.1371,0.0568539,1,,,,,,,,2.0,1.0,1.0,,,1.0,,2.0,,2.0,3.0,,,,,1.0,,,,,,,,,,,
10390119,home,Lorient,Dango Ouattara,dango-ouattara,D. Ouattara,F,19,177,33926,M,1106451,EUR,1013385600,M,11,11,False,17.0,11.0,,,5.0,6.0,7.0,14.0,1.0,4.0,,,62.0,41.0,6.2,15.0,0.1111,0.0,0.15461,2,,Dango Ouattara,,d.ouattara15,,4.0,2.0,10.0,9.0,,5.0,,2.0,2.0,4.0,3.0,2.0,1.0,1.0,,2.0,3.0,,1.0,,1.0,1.0,1.0,,,,,,
10390119,home,Lorient,Terem Moffi,terem-moffi,T. Moffi,F,29,188,3115,M,894396,EUR,927590400,F,13,13,False,18.0,11.0,,,5.0,8.0,6.0,10.0,1.0,4.0,,,86.0,31.0,6.8,11.0,0.0976,0.0813,0.0302937,2,,,,,,3.0,2.0,8.0,5.0,1.0,3.0,,,,1.0,2.0,2.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,,
10390119,home,Lorient,Bonke Innocent,bonke-innocent,B. Innocent,M,,180,154,M,587402,EUR,822096000,M,8,8,True,3.0,2.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,21.0,5.0,6.4,1.0,0.0,0.0,0.00022271,0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
10390119,home,Lorient,Théo Le Bris,theo-le-bris,T. L. Bris,M,11,170,139,M,1131540,EUR,1033430400,D,37,37,True,1.0,,,,,1.0,,,1.0,,,,21.0,7.0,6.9,2.0,0.2134,0.2975,0.0,1,,,,,,,,2.0,1.0,,1.0,,,,1.0,,,,2.0,,1.0,,1.0,1.0,,,,,1.0,,,,,
10390119,home,Lorient,Ibrahima Kone,ibrahima-kone,I. Kone,F,9,190,817,M,873630,EUR,929491200,F,9,9,True,1.0,1.0,,,,,1.0,1.0,,,,,9.0,4.0,6.4,1.0,0.0,0.0,0.00055022,0,,,,,,1.0,,5.0,1.0,1.0,1.0,,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,
10390119,home,Lorient,Chrislain Matsima,chrislain-matsima,C. Matsima,D,5,192,660,M,963198,EUR,1021420800,D,4,4,True,,,,,,,,,,,,,1.0,,,,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390119,home,Lorient,Vito Mannone,vito-mannone,V. Mannone,G,,189,191,M,17053,EUR,573264000,G,1,1,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390119,home,Lorient,Darlin Yongwa,darlin-yongwa,D. Yongwa,D,44,177,1325,M,998241,EUR,969580800,D,12,12,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390119,home,Lorient,Quentin Boisgard,quentin-boisgard,Q. Boisgard,M,17,174,73,M,827386,EUR,858556800,M,17,17,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390119,home,Lorient,Yoann Cathline,cathline-yoann,Y. Cathline,M,10,176,521,M,1105700,EUR,1027296000,M,22,22,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390119,home,Lorient,Adrian Grbić,adrian-grbic,A. Grbić,F,9,188,310,M,282095,EUR,839116800,F,27,27,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
