match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_expectedGoals,stat_aerialWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_wasFouled,stat_fouls,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_challengeLost,stat_outfielderBlock,stat_keyPass,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,captain,stat_goals,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_clearanceOffLine
11540861,home,Başakşehir FK,Muhammed Şengezer,muhammed-sengezer,M. Şengezer,G,16,185,464,M,827418,EUR,852422400,G,16,16,False,41.0,24.0,24.0,7.0,21.0,26.0,3.0,15.0,8.0,90.0,45.0,6.3,17.0,0.00064675,0,-0.6678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11540861,home,Başakşehir FK,Léo Duarte,leo-duarte,L. Duarte,D,5,183,505,M,839982,EUR,837561600,D,5,5,False,25.0,21.0,1.0,1.0,17.0,19.0,4.0,7.0,2.0,90.0,50.0,6.8,8.0,0.0046824,1,,1.0,2.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,0.0096,,,,,,,,,,,,,,,,,,,,,,,,
11540861,home,Başakşehir FK,Ousseynou Ba,ousseynou-ba,O. Ba,D,27,192,385,M,889430,EUR,816048000,D,27,27,False,56.0,48.0,7.0,5.0,41.0,46.0,7.0,10.0,6.0,90.0,66.0,6.8,9.0,0.00918706,1,,,4.0,8.0,7.0,,1.0,1.0,3.0,2.0,,0.0489,1.0,1.0,1.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,
11540861,home,Başakşehir FK,Jerome Opoku,opoku-jerome,J. Opoku,D,3,194,1395,M,920514,EUR,908323200,D,3,3,False,21.0,16.0,4.0,1.0,13.0,15.0,3.0,6.0,4.0,51.0,24.0,6.4,6.0,0.00169347,0,,,,,2.0,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
11540861,home,Başakşehir FK,Léo Dubois,leo-dubois,L. Dubois,D,,178,587,M,552680,EUR,779500800,D,15,15,False,35.0,30.0,7.0,2.0,14.0,15.0,16.0,21.0,3.0,81.0,51.0,6.4,10.0,0.015983,1,,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.1248,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,
11540861,home,Başakşehir FK,Onur Ergün,onur-ergun,O. Ergün,M,4,185,45,M,893009,EUR,721785600,M,4,4,False,40.0,31.0,6.0,4.0,20.0,22.0,11.0,18.0,4.0,90.0,52.0,7.2,9.0,0.0607854,0,,,1.0,2.0,6.0,,4.0,2.0,1.0,1.0,,,4.0,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,
11540861,home,Başakşehir FK,Deniz Türüç,deniz-turuc,D. Türüç,M,9,175,292,M,252207,EUR,728265600,M,23,23,False,24.0,17.0,4.0,2.0,7.0,10.0,12.0,19.0,3.0,82.0,38.0,8.0,14.0,0.424526,1,,5.0,2.0,3.0,1.0,,,,1.0,1.0,1.0,0.0856,,,,,,,2.0,4.0,,,,,3.0,2.0,2.0,1.0,1.0,,,,,,,
11540861,home,Başakşehir FK,Ömer Ali Şahiner,omer-ali-sahiner,Ö. A. Şahiner,D,42,175,88,M,103912,EUR,694310400,M,42,42,False,29.0,26.0,6.0,3.0,15.0,16.0,12.0,15.0,7.0,90.0,40.0,6.8,8.0,0.240487,1,,2.0,,5.0,2.0,,1.0,,1.0,1.0,,0.0882,,2.0,1.0,1.0,1.0,,3.0,2.0,,,,,2.0,,1.0,,,True,,,,,,
11540861,home,Başakşehir FK,Dimitrios Pelkas,dimitrios-pelkas,D. Pelkas,M,10,175,1186,M,139304,EUR,751593600,M,14,14,False,6.0,4.0,1.0,1.0,3.0,4.0,2.0,3.0,,25.0,11.0,7.3,4.0,0.14739,2,,1.0,,1.0,,1.0,,,,,,0.1205,,1.0,,,,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,,,
11540861,home,Başakşehir FK,Davidson,davidson,Davidson,M,,177,353,M,814334,EUR,668131200,M,11,11,False,26.0,19.0,3.0,,5.0,6.0,14.0,21.0,8.0,90.0,49.0,9.0,14.0,0.013681,4,,1.0,1.0,5.0,10.0,,2.0,,2.0,1.0,,1.2277,3.0,2.0,4.0,4.0,2.0,1.0,1.0,4.0,,,1.0,,1.0,,,,2.0,,2.0,,,,,
