match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,captain,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_shotOffTarget,stat_wonContest,stat_dispossessed,stat_accurateCross,stat_blockedScoringAttempt,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_accurateKeeperSweeper,stat_keeperSaveValue,stat_goalkeeperValueNormalized,stat_errorLeadToAShot,stat_goals
14566663,home,Manchester City,James Trafford,,,james-trafford,J. Trafford,G,1,197.0,21835,M,980643,EUR,1034208000,G,1,1,False,17.0,15.0,4.0,2.0,0.0,15.0,16.0,1.0,5.0,1.0,90.0,20.0,6.3,2.0,0.00018259,26.136,5.11125,1.0,13.785388112388,3.0,9.975,4.515,0,-0.7962,0.02,0.0,-0.18,3.62,1.31,0.11,0.06,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566663,home,Manchester City,Abdukodir Khusanov,,,abdukodir-khusanov,A. Khusanov,D,45,186.0,86376,M,1194333,EUR,1078012800,D,45,45,False,68.0,63.0,5.0,3.0,0.0,15.0,16.0,52.0,5.0,,65.0,82.0,6.7,8.0,0.026773,32.4,7.7166,12.0,159.60224462386,22.0,91.56,20.58,0,,-0.05,0.2,-0.12,1.98,4.09,0.89,0.46,0.3,abdukodir_khusanov,48.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14566663,home,Manchester City,John Stones,,,john-stones,J. Stones,D,5,188.0,22291,M,152077,EUR,770083200,D,5,5,False,80.0,75.0,6.0,4.0,0.0,24.0,25.0,55.0,7.0,,90.0,86.0,7.3,6.0,0.247209,32.292,10.25087,9.0,364.21251420842,41.0,188.895,29.085,0,,0.61,0.35,-0.33,2.74,5.42,1.37,0.49,0.22,johnstones5,51.0,,2.0,2.0,2.0,2.0,,,2.0,,,,,True,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
14566663,home,Manchester City,Nathan Aké,,,nathan-ake,N. Aké,D,6,180.0,21204,M,149663,EUR,793065600,D,6,6,False,64.0,61.0,1.0,,0.0,18.0,18.0,46.0,6.0,,90.0,78.0,7.3,3.0,0.0411217,30.564,10.81507,5.0,272.73228732989,29.0,176.19,24.15,2,,0.07,0.3,-0.18,2.6,6.32,1.38,0.38,0.14,nathanake,43.0,,2.0,4.0,3.0,8.0,,,3.0,,1.0,3.0,2.0,,,,,1.0,2.0,2.0,1.0,0.233,1.2779,0.26,,,,,,,,,,,,,,
14566663,home,Manchester City,Rayan Aït-Nouri,,,rayan-ait-nouri,R. A. Nouri,M,21,179.0,45066,M,931278,EUR,991785600,D,21,21,False,42.0,40.0,,,0.0,12.0,13.0,29.0,2.0,,45.0,53.0,6.4,6.0,0.0300249,32.472,5.30384,3.0,127.47950845941,18.0,32.235,14.49,1,,-0.05,0.18,-0.11,1.55,2.74,0.76,0.17,0.09,r_aitnouri,28.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,,,3.0,,,,,,0.0412,,-0.14,1.0,,,,,,,,,,,,,
14566663,home,Manchester City,Rico Lewis,Rico Lewis,,rico-lewis,R. Lewis,D,82,170.0,17470,M,1136731,EUR,1100995200,M,82,82,False,18.0,18.0,1.0,1.0,0.0,5.0,5.0,13.0,2.0,,45.0,21.0,6.8,,0.0410477,28.044,6.51521,2.0,63.342611078588,8.0,1.05,10.08,1,,-0.09,0.21,-0.05,1.32,3.5,1.32,0.34,0.04,Rico_Lewis,13.0,,,,,2.0,,1.0,,,,,,,,,,,,1.0,,0.0763,,0.03,1.0,1.0,,,,,,,,,,,,
14566663,home,Manchester City,Nico González,,,nico-gonzalez,N. González,M,14,186.0,19848,M,954056,EUR,1010016000,M,14,14,False,65.0,61.0,1.0,,0.0,14.0,15.0,50.0,5.0,,90.0,76.0,6.8,7.0,0.0729624,28.332,12.642,6.0,175.15355623513,22.0,67.305,19.32,0,,0.28,0.23,-0.03,2.37,6.84,2.69,0.65,0.1,nico14,47.0,,2.0,,4.0,3.0,,1.0,,,,3.0,2.0,,,1.0,3.0,,,,,,,,,,1.0,,,,,,,,,,,
14566663,home,Manchester City,Tijjani Reijnders,,,tijjani-reijnders,T. Reijnders,M,4,185.0,38547,M,893549,EUR,901670400,M,4,4,False,55.0,51.0,,,0.0,11.0,11.0,44.0,8.0,,90.0,80.0,7.2,14.0,0.237548,29.304,11.97387,7.0,289.26648417157,33.0,99.75,23.835,2,,0.02,0.66,0.29,2.57,6.31,2.21,0.76,0.13,tijjanireijnders,40.0,8.0,,,4.0,4.0,,2.0,,1.0,,2.0,,,,,2.0,,1.0,,,0.2231,0.0841,-0.55,,2.0,4.0,2.0,1.0,1.0,,,,,,,,
14566663,home,Manchester City,Oscar Bobb,Oscar Bobb,,oscar-bobb,O. Bobb,M,14,174.0,21379,M,1065216,EUR,1057968000,F,52,52,False,30.0,24.0,1.0,,0.0,3.0,3.0,27.0,3.0,,45.0,38.0,7.2,9.0,0.382939,28.62,5.8699,3.0,136.73741756152,14.0,85.47,38.115,0,,0.39,0.16,-0.01,1.42,3.19,0.98,0.23,0.05,oscarbobb,21.0,,,,1.0,3.0,,4.0,,,1.0,,,,1.0,1.0,2.0,,,,,,,,,3.0,,,,,,,,,,,,
14566663,home,Manchester City,Omar Marmoush,,,omar-marmoush,O. Marmoush,F,7,183.0,196101,M,873554,EUR,918345600,F,7,7,False,9.0,7.0,,,0.0,1.0,1.0,8.0,,,65.0,18.0,6.2,7.0,0.00781204,32.832,7.61717,14.0,19.859147394528,3.0,5.145,5.985,0,,-0.21,-0.38,-0.01,2.44,3.53,0.9,0.49,0.26,OMarmoush,6.0,,1.0,,3.0,2.0,,1.0,,,,,,,,3.0,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,
