match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,stat_errorLeadToAShot,stat_fouls,stat_bigChanceMissed,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,player_sofascoreId,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_accurateCross,stat_hitWoodwork,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_punches,stat_clearanceOffLine,stat_outfielderBlock
12530784,home,Beşiktaş JK,Mert Günok,mert-gunok,M. Günok,G,34,196,4070,M,39573,EUR,604713600,G,34,34,False,True,26.0,20.0,8.0,2.0,0.0,19.0,19.0,1.0,7.0,1.0,1.0,1.0,6.0,1.0,2.0,3.0,1.0,1.0,90.0,34.0,7.6,7.0,0.00024839,0,0.3777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530784,home,Beşiktaş JK,Jonas Svensson,jonas-svensson,J. Svensson,D,71,170,1475,M,98199,EUR,731376000,D,2,2,False,,77.0,68.0,2.0,,0.0,29.0,32.0,39.0,46.0,3.0,8.0,,5.0,,,,,,90.0,99.0,7.4,12.0,0.0641114,0,,1.0,1.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12530784,home,Beşiktaş JK,Emirhan Topçu,emirhan-topcu,E. Topçu,D,53,188,2617,M,895009,EUR,971222400,D,53,53,False,,81.0,71.0,13.0,6.0,0.0,51.0,53.0,20.0,28.0,3.0,8.0,6.0,7.0,,,,,,90.0,95.0,7.4,10.0,0.0083635,0,,,2.0,4.0,,,3.0,3.0,1.0,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,
12530784,home,Beşiktaş JK,Felix Uduokhai,felix-uduokhai,F. Uduokhai,D,14,193,1725,M,792142,EUR,873763200,D,14,14,False,,69.0,64.0,4.0,2.0,0.0,45.0,47.0,19.0,22.0,5.0,7.0,4.0,5.0,,,,,,90.0,87.0,7.6,6.0,0.133641,1,,,1.0,2.0,1.0,,4.0,,,1.0,3.0,,,,,1.0,1.0,0.1165,1.0,,,,,,,,,,,,,
12530784,home,Beşiktaş JK,Arthur Masuaku,arthur-masuaku,A. Masuaku,D,27,179,10350,M,174975,EUR,752630400,D,26,26,False,,73.0,65.0,5.0,3.0,0.0,32.0,34.0,33.0,43.0,1.0,5.0,2.0,7.0,,,,,,90.0,106.0,7.6,17.0,0.0358295,3,,4.0,,2.0,,4.0,,1.0,,2.0,1.0,,,,,,2.0,0.0529,1.0,masuaku26,1.0,3.0,1.0,,,,,,,,,
12530784,home,Beşiktaş JK,Mutassim Al-Musrati,mutassim-al-musrati,M. Al-Musrati,M,73,189,2806,M,868958,EUR,828748800,M,6,6,False,,73.0,62.0,6.0,3.0,0.0,34.0,38.0,28.0,35.0,3.0,7.0,1.0,7.0,,,,,,82.0,86.0,7.3,13.0,0.0861277,2,,,3.0,6.0,,1.0,1.0,3.0,3.0,,,,,,1.0,,1.0,0.1215,1.0,,2.0,1.0,1.0,,,,,,,,,
12530784,home,Beşiktaş JK,Gedson Fernandes,gedson-fernandes,G. Fernandes,M,83,184,5232,M,862055,EUR,915840000,M,83,83,False,,33.0,27.0,1.0,,0.0,3.0,4.0,24.0,30.0,,9.0,1.0,3.0,,,,,,90.0,57.0,7.1,14.0,0.321322,2,,1.0,4.0,9.0,2.0,5.0,1.0,2.0,2.0,3.0,4.0,,,,,1.0,1.0,0.1683,2.0,gedson_83,1.0,3.0,1.0,1.0,,,,,,,,
12530784,home,Beşiktaş JK,Milot Rashica,milot-rashica,M. Rashica,M,7,177,3712,M,800411,EUR,835920000,M,7,7,False,,45.0,36.0,5.0,3.0,0.0,6.0,8.0,36.0,47.0,,2.0,1.0,8.0,,,,,,90.0,66.0,8.0,16.0,0.490133,1,,10.0,,1.0,,1.0,,2.0,,2.0,,,,,,1.0,1.0,0.1874,8.0,MRashica,,,,1.0,6.0,1.0,,,,,,
12530784,home,Beşiktaş JK,João Mário,joao-mario,J. Mário,M,10,179,3772,M,97001,EUR,727401600,M,18,18,False,,34.0,28.0,1.0,,0.0,9.0,11.0,19.0,23.0,,1.0,,4.0,,,,,,60.0,43.0,6.5,10.0,0.0127412,3,,,,3.0,,1.0,,,,1.0,,,,,1.0,,,0.2297,,JoaoMario,3.0,1.0,3.0,,,,,,,,,
12530784,home,Beşiktaş JK,Rafa Silva,rafa-silva,R. Silva,M,27,170,17005,M,252577,EUR,737596800,M,27,27,False,,44.0,35.0,,,0.0,12.0,12.0,23.0,33.0,,3.0,,3.0,,,,,,90.0,58.0,6.8,13.0,0.391911,3,,1.0,1.0,4.0,1.0,2.0,,,,2.0,2.0,,,,1.0,3.0,,1.0774,2.0,Rafa_Silva,,1.0,,1.0,,,3.0,0.5702,,,,
