match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,player_firstName,player_lastName,stat_dispossessed,stat_totalCross,stat_totalContest,stat_outfielderBlock,stat_fouls,stat_keyPass,stat_wonContest,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceCreated,captain,stat_hitWoodwork,player_sofascoreId
11396204,home,Borussia M'gladbach,Moritz Nicolas,moritz-nicolas,M. Nicolas,G,33,193,411,M,578166,EUR,877392000,G,33,33,False,42.0,26.0,22.0,6.0,23.0,25.0,3.0,17.0,1.0,1.0,1.0,12.0,1.0,1.0,7.0,1.0,1.0,90.0,59.0,8.3,16.0,0.00092918,0,0.9654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396204,home,Borussia M'gladbach,Marvin Friedrich,marvin-friedrich,M. Friedrich,D,5,193,161,M,254449,EUR,818812800,D,5,5,False,60.0,47.0,10.0,1.0,31.0,36.0,16.0,24.0,2.0,,3.0,5.0,,,,,,90.0,74.0,7.2,15.0,0.00957909,2,,2.0,3.0,7.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.1287,0.0336,,,,,,,,,,,,,,,,
11396204,home,Borussia M'gladbach,Nico Elvedi,nico-elvedi,N. Elvedi,D,30,188,1059,M,282229,EUR,844041600,D,30,30,False,89.0,76.0,11.0,4.0,65.0,75.0,11.0,14.0,1.0,,6.0,6.0,,,,,,90.0,104.0,7.2,13.0,0.00743342,0,,1.0,4.0,6.0,,,,3.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,
11396204,home,Borussia M'gladbach,Fabio Chiarodia,fabio-chiarodia,F. Chiarodia,D,2,186,609,M,1130067,EUR,1117929600,D,2,2,False,49.0,48.0,1.0,,42.0,42.0,6.0,7.0,1.0,,2.0,1.0,,,,,,80.0,58.0,7.0,2.0,0.0016353,0,,,1.0,4.0,,,,2.0,3.0,2.0,,,,,,Fabio Chiarodia,,1.0,,,,,,,,,,,,
11396204,home,Borussia M'gladbach,Stefan Lainer,stefan-lainer,S. Lainer,D,22,176,447,M,113920,EUR,714873600,M,18,18,False,38.0,22.0,3.0,,10.0,17.0,12.0,23.0,8.0,1.0,4.0,5.0,,,,,,66.0,68.0,6.5,25.0,0.0107926,0,,4.0,1.0,4.0,,,,,2.0,2.0,4.0,1.0,,,,,,,2.0,1.0,1.0,2.0,,,,,,,,
11396204,home,Borussia M'gladbach,Rocco Reitz,rocco-reitz,R. Reitz,M,27,175,1025,M,1048650,EUR,1022630400,M,27,27,False,66.0,45.0,8.0,4.0,28.0,38.0,17.0,28.0,4.0,,,8.0,,,,,,90.0,84.0,7.2,23.0,0.0230014,0,,2.0,4.0,8.0,,,,5.0,2.0,1.0,1.0,2.0,,,,,,,,1.0,,1.0,1.0,,,,,,,
11396204,home,Borussia M'gladbach,Ko Itakura,ko-itakura,K. Itakura,D,4,189,3073,M,790989,EUR,854323200,M,3,3,False,51.0,40.0,3.0,1.0,29.0,36.0,11.0,15.0,1.0,,1.0,5.0,,,,,,90.0,64.0,7.3,11.0,0.015851,3,,1.0,3.0,10.0,1.0,2.0,,,4.0,4.0,,1.0,0.2187,,,,,,,2.0,,,,2.0,1.0,,,,,
11396204,home,Borussia M'gladbach,Joseph Scally,scally-joseph,J. Scally,D,29,184,1087,M,1002920,EUR,1041292800,M,29,29,False,26.0,21.0,2.0,,10.0,12.0,13.0,17.0,5.0,,2.0,2.0,,,,,,90.0,45.0,6.8,10.0,0.105443,1,,3.0,1.0,3.0,,1.0,,,1.0,,1.0,1.0,0.0706,,,,,,3.0,2.0,1.0,,1.0,,,2.0,,,,
11396204,home,Borussia M'gladbach,Tomáš Čvančara,tomas-cvancara,T. Čvančara,F,11,190,835,M,929163,EUR,966124800,F,31,31,False,19.0,11.0,1.0,,4.0,7.0,8.0,13.0,7.0,1.0,,,,,,,,66.0,27.0,6.9,9.0,0.0189288,3,,5.0,,2.0,,,2.0,,,,,1.0,0.1058,0.3122,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,
11396204,home,Borussia M'gladbach,Robin Hack,robin-hack,R. Hack,M,25,176,520,M,876858,EUR,904176000,F,25,25,False,29.0,23.0,2.0,,8.0,9.0,16.0,24.0,10.0,,,3.0,,,,,,80.0,49.0,7.2,16.0,0.326934,0,,4.0,,5.0,,,,,2.0,1.0,1.0,2.0,,,,,,3.0,4.0,4.0,,,3.0,1.0,,1.0,1.0,,,
