match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_shotValueNormalized,stat_challengeLost,stat_outfielderBlock,stat_ownGoals,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,captain,stat_shotOffTarget,player_sofascoreId,stat_bigChanceCreated,stat_penaltyWon,stat_penaltyFaced,stat_punches,stat_penaltyConceded,stat_bigChanceMissed
14083156,home,Valencia,Stole Dimitrievski,,,stole-dimitrievski,S. Dimitrievski,G,1,188.0,843,M,97951,EUR,756777600,G,1,1,False,38.0,20.0,26.0,9.0,0.0,13.0,19.0,7.0,19.0,8.0,4.0,5.0,2.0,2.0,90.0,48.0,7.2,18.0,0.0016996,31.159043437186,7.0,10.024618477485,0.5227,0,-0.2177,0.09,-0.02,-0.15,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083156,home,Valencia,Dimitri Foulquier,,,dimitri-foulquier,D. Foulquier,D,20,183.0,461,M,151138,EUR,732844800,D,20,20,False,28.0,23.0,1.0,,0.0,10.0,10.0,13.0,18.0,1.0,,,,,90.0,55.0,6.2,10.0,0.0145639,106.4876604968,9.0,59.631493951669,,0,,0.06,0.04,-0.26,,2.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14083156,home,Valencia,Eray Cömert,,,eray-comert,E. Cömert,D,24,183.0,508,M,814023,EUR,886550400,D,24,24,False,41.0,30.0,13.0,3.0,0.0,27.0,28.0,3.0,13.0,5.0,,,,,90.0,58.0,7.4,11.0,0.00418116,97.248868807997,12.0,42.538140816327,,1,,0.01,0.12,-0.01,,,,2.0,5.0,,10.0,2.0,3.0,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,0.3252,0.2563,32.331024116927,32.331391309376,1.0,0.4,,,,,,,,,,,,,,,
14083156,home,Valencia,José Copete,,,jose-copete,J. Copete,D,3,190.0,437,M,913695,EUR,939513600,D,3,3,False,50.0,40.0,13.0,7.0,0.0,24.0,27.0,16.0,23.0,4.0,,,,,90.0,69.0,5.9,11.0,0.0087484,32.235231379932,6.0,14.092037812513,,0,,0.3,0.03,-0.8,,,,5.0,4.0,,13.0,3.0,,,1.0,1.0,,3.0,4.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
14083156,home,Valencia,Jesús Vázquez,,,jesus-vazquez,J. Vázquez,D,21,182.0,419,M,996929,EUR,1041465600,D,21,21,False,20.0,19.0,4.0,3.0,0.0,9.0,10.0,10.0,10.0,3.0,,,,,90.0,49.0,6.2,6.0,0.00466187,120.40393005641,10.0,69.1903710637,,0,,0.02,0.18,-0.31,,1.0,,6.0,2.0,1.0,3.0,,1.0,,1.0,2.0,1.0,1.0,,,,,,,23.93119747637,41.528470342646,1.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,
14083156,home,Valencia,Luis Rioja,,,luis-rioja,L. Rioja,M,11,173.0,860,M,900433,EUR,750729600,M,11,11,False,21.0,13.0,2.0,1.0,0.0,9.0,13.0,4.0,8.0,5.0,,,,,88.0,39.0,6.3,15.0,0.00352252,124.95070815061,12.0,21.86493177251,,0,,-0.24,0.2,-0.22,,3.0,,6.0,5.0,5.0,3.0,2.0,1.0,1.0,2.0,,,,,,,1.0,,,26.217072829035,55.967443787779,3.0,,4.0,,,,3.0,,,,,,,,,,
14083156,home,Valencia,Filip Ugrinić,,,filip-ugrinic,F. Ugrinić,M,23,185.0,685,M,857482,EUR,915494400,M,23,23,False,46.0,34.0,6.0,1.0,0.0,20.0,22.0,14.0,24.0,9.0,,,,,88.0,62.0,7.1,16.0,0.0627349,87.72382543369,10.0,-27.690613317014,,1,,0.2,0.03,-0.02,,1.0,,3.0,9.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,,4.0,,,1.0,0.0651,,,,,0.0,,,,1.0,1.0,1.0,,,,,,,,,
14083156,home,Valencia,Pepelu,,,pepelu,Pepelu,M,18,185.0,1838,M,826948,EUR,902793600,M,18,18,False,43.0,34.0,4.0,1.0,0.0,22.0,26.0,12.0,17.0,9.0,,,,,88.0,57.0,7.0,9.0,0.0172351,89.72441621248,10.0,31.051889932471,,0,,0.12,0.08,0.18,,,,,5.0,1.0,4.0,1.0,3.0,1.0,,,,,1.0,,,,,,26.283886841696,26.341927112495,1.0,,,1.0,,,1.0,,True,,,,,,,,
14083156,home,Valencia,Arnaut Danjuma,,,arnaut-danjuma,A. Danjuma,F,7,178.0,3536,M,827064,EUR,854668800,M,7,7,False,18.0,13.0,1.0,1.0,1.0,7.0,10.0,6.0,8.0,3.0,,,,,63.0,29.0,7.6,9.0,0.596427,155.87811263152,9.0,134.7900959901,,2,,0.56,0.48,-0.04,,1.0,,3.0,3.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,0.074,,45.326375883224,127.07865092854,5.0,-0.32,,,,1.0,1.0,1.0,,1.0,,,,,,,
14083156,home,Valencia,Hugo Duro,,,hugo-duro,H. Duro,F,9,180.0,2868,M,909119,EUR,942192000,F,9,9,False,10.0,6.0,,,0.0,4.0,6.0,2.0,4.0,1.0,,,,,64.0,23.0,7.3,6.0,0.00337795,32.920362103471,2.0,31.690578541231,,1,,-0.23,0.07,-0.16,,,,8.0,5.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,,3.0,1.0,1.0,1.0,1.0,0.887,0.9932,26.803308131661,27.881451110012,1.0,0.51,3.0,1.0,,,1.0,,,,,,,,,,
14083156,home,Valencia,Lucas Beltrán,,,lucas-beltran,L. Beltrán,M,15,177.0,3780,M,962029,EUR,985824000,F,15,15,False,31.0,20.0,3.0,,1.0,8.0,12.0,12.0,19.0,5.0,,,,,90.0,56.0,7.7,21.0,0.345897,166.14301249456,17.0,66.688331149626,,1,,0.39,0.2,-0.01,,1.0,,9.0,11.0,5.0,,,1.0,,5.0,2.0,2.0,3.0,2.0,1.0,,5.0,0.0797,0.0954,31.933900820866,37.810631851372,1.0,-0.54,,,,2.0,3.0,,,,beltranlucass,1.0,1.0,,,,
14083156,home,Valencia,Diego López,,,diego-lopez,D. López,M,16,172.0,1350,M,998950,EUR,1021248000,F,16,16,True,7.0,4.0,2.0,2.0,0.0,4.0,4.0,,3.0,1.0,,,,,27.0,10.0,6.4,5.0,0.00014229,42.543468705498,4.0,28.011789555708,,0,,-0.14,0.06,0.2,,,,5.0,1.0,1.0,,,,,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
