match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_keyPass,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_dispossessed,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_hitWoodwork,stat_totalOffside,captain,stat_clearanceOffLine,stat_bigChanceMissed,stat_bigChanceCreated,player_sofascoreId
12420990,home,Standard Liège,Matthieu Epolo,Matthieu Epolo,matthieu-epolo,M. Epolo,G,1,185,3162,M,1121943,EUR,1105747200,G,40,40,False,20.0,10.0,16.0,6.0,0.0,6.0,7.0,4.0,13.0,1.0,1.0,3.0,1.0,1.0,2.0,90.0,24.0,7.1,10.0,0.00045774,0,0.2783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12420990,home,Standard Liège,Marlon Fossey,,marlon-fossey,M. Fossey,M,13,180,286,M,880762,EUR,905299200,D,13,13,False,35.0,28.0,2.0,,0.0,14.0,15.0,15.0,21.0,2.0,4.0,3.0,,,,90.0,56.0,7.3,10.0,0.589439,0,,,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
12420990,home,Standard Liège,Boško Šutalo,,bosko-sutalo,B. Šutalo,D,21,188,725,M,942992,EUR,946684800,D,4,4,False,45.0,35.0,6.0,1.0,0.0,25.0,26.0,10.0,21.0,1.0,5.0,4.0,,,,90.0,60.0,7.3,16.0,0.0081001,1,,,2.0,,1.0,2.0,,,,2.0,4.0,,1.0,2.0,4.0,4.0,1.0,0.0182,,,,,,,,,,,,
12420990,home,Standard Liège,David Bates,,david-bates,D. Bates,D,4,193,95,M,839675,EUR,844473600,D,44,44,False,62.0,59.0,10.0,7.0,0.0,47.0,47.0,12.0,15.0,4.0,4.0,6.0,,,,90.0,72.0,7.4,3.0,0.00333419,2,,,,,1.0,2.0,,,,5.0,,,2.0,2.0,,,1.0,0.043,,,,,,,,,,,,
12420990,home,Standard Liège,Ibe Hautekiet,,ibe-hautekiet,I. Hautekiet,D,25,188,153,M,964757,EUR,1018656000,D,25,25,False,47.0,43.0,2.0,,0.0,33.0,33.0,10.0,14.0,2.0,3.0,2.0,1.0,,,90.0,53.0,6.8,5.0,0.0288223,1,,,,,1.0,4.0,,,,1.0,,,1.0,1.0,,,2.0,0.1543,1.0,,,,,,,,,,,
12420990,home,Standard Liège,Henry Lawrence,,henry-lawrence,H. Lawrence,D,18,171,129,M,976265,EUR,1001030400,D,88,88,False,24.0,20.0,3.0,,0.0,9.0,9.0,11.0,17.0,,3.0,4.0,1.0,,,87.0,40.0,7.2,10.0,0.0080445,0,,,2.0,,,3.0,1.0,3.0,2.0,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,
12420990,home,Standard Liège,Isaac Price,,isaac-price,I. Price,M,21,178,889,M,1066059,EUR,1064534400,M,8,8,False,41.0,28.0,5.0,2.0,0.0,4.0,7.0,24.0,36.0,,2.0,7.0,,,,90.0,56.0,7.5,17.0,0.0183592,7,,,2.0,,1.0,3.0,,1.0,,,,1.0,,,2.0,2.0,,0.1945,1.0,1.0,4.0,3.0,0.4717,,,,,,,
12420990,home,Standard Liège,Marko Bulat,,marko-bulat,M. Bulat,M,5,178,837,M,905063,EUR,1001462400,M,7,7,False,20.0,13.0,3.0,2.0,0.0,6.0,7.0,10.0,19.0,,3.0,,2.0,,,87.0,39.0,7.4,15.0,0.252372,1,,,6.0,3.0,,3.0,1.0,1.0,,,3.0,5.0,,1.0,1.0,,,0.0311,1.0,,1.0,,0.1175,1.0,1.0,,,,,
12420990,home,Standard Liège,Aiden O'Neill,,aiden-oneill,A. O'Neill,M,21,178,150,M,847938,EUR,899510400,M,24,24,False,51.0,42.0,3.0,2.0,0.0,14.0,17.0,28.0,35.0,,2.0,10.0,1.0,,,90.0,65.0,6.9,11.0,0.0400275,1,,,1.0,,2.0,5.0,1.0,,,3.0,,,1.0,,1.0,,1.0,0.0174,1.0,,,,,,,True,,,,
12420990,home,Standard Liège,Léandre Kuavita,Léandre Kuavita,leandre-kuavita,L. Kuavita,M,14,180,165,M,1198065,EUR,1085961600,M,32,32,False,16.0,11.0,,,0.0,2.0,4.0,9.0,12.0,1.0,2.0,3.0,,,,79.0,29.0,6.6,7.0,0.0222512,1,,,,,1.0,3.0,1.0,,,,1.0,1.0,,1.0,1.0,,,0.1132,1.0,1.0,,1.0,,,,,,,,
12420990,home,Standard Liège,Grejohn Kyei,,grejohn-kyei,G. Kyei,F,95,187,237,M,581146,EUR,808185600,F,11,11,False,7.0,6.0,,,0.0,,,6.0,7.0,1.0,3.0,2.0,,,,58.0,16.0,6.9,4.0,0.0154271,1,,,,,3.0,5.0,,2.0,2.0,,2.0,1.0,1.0,1.0,,,1.0,0.0476,1.0,,,,,,,,,,,
12420990,home,Standard Liège,Soufiane Benjdida,Soufiane Benjdida,soufiane-benjdida,S. Benjdida,F,9,178,988,M,1168800,EUR,999561600,F,21,21,True,16.0,12.0,,,0.0,4.0,4.0,8.0,12.0,1.0,2.0,3.0,,,,32.0,24.0,6.8,8.0,0.00420597,1,,,,,,,,,,,4.0,1.0,1.0,,1.0,1.0,,0.0455,,,,,,,,,,,,
12420990,home,Standard Liège,Sotiris Alexandropoulos,,sotiris-alexandropoulos,S. Alexandropoulos,M,14,186,870,M,947477,EUR,1006732800,M,6,6,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,,1.0,,,,11.0,5.0,6.5,1.0,0.00115543,1,,,,,,1.0,,,,,,,1.0,,,,,0.0338,1.0,,,,,,,,,,,
12420990,home,Standard Liège,Boli Bolingoli,,boli-bolingoli,B. Bolingoli,D,5,180,129,M,333301,EUR,804556800,D,5,5,True,4.0,4.0,,,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,,10.0,7.0,6.9,1.0,0.00048385,0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
