match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_dribbleValueNormalized,stat_aerialWon,stat_outfielderBlock,stat_totalTackle,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,player_firstName,stat_wonTackle,stat_wasFouled,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_shotValueNormalized,player_lastName,stat_blockedScoringAttempt,captain,stat_dispossessed,stat_totalOffside,stat_penaltyWon,stat_keyPass,stat_accurateCross,stat_penaltyConceded,stat_penaltyFaced,stat_shotOffTarget,stat_bigChanceCreated,stat_hitWoodwork
15237893,home,Chapecoense,Léo Vieira,leo-vieira,L. Vieira,G,12,193.0,108,M,166279,EUR,653961600.0,G,12,12,False,27.0,16.0,17.0,6.0,0.0,10.0,13.0,6.0,14.0,5.0,9.0,1.0,3.0,1.0,1.0,1.0,90.0,44.0,6.1,12.0,0.00041449,0.1154,0,-0.6613,0.0,-0.1,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15237893,home,Chapecoense,Marcos Vinícius,marcos-vinicius,M. Vinícius,D,2,175.0,102,M,942054,EUR,859334400.0,D,2,2,False,5.0,3.0,1.0,,0.0,2.0,4.0,1.0,1.0,5.0,,,,,,,45.0,19.0,6.1,4.0,0.00023915,,0,,-0.05,-0.13,,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15237893,home,Chapecoense,Victor Caetano,victor-caetano,V. Caetano,D,25,186.0,57,M,863292,EUR,877219200.0,D,25,25,False,23.0,19.0,8.0,4.0,0.0,17.0,19.0,2.0,4.0,8.0,2.0,,,,,,90.0,39.0,6.8,6.0,0.00098439,,0,,0.02,0.21,,,1.0,2.0,3.0,1.0,,,,1.0,,0.0,2.0,2.0,1.0,25.939416252513,2.0,15.502111496232,,,,,,,,,,,,,,,,,,,,,,,,
15237893,home,Chapecoense,Eduardo Doma,eduardo-doma,E. Doma,D,3,186.0,88,M,1122967,EUR,904348800.0,D,3,3,False,20.0,17.0,3.0,2.0,0.0,16.0,17.0,1.0,3.0,6.0,1.0,,,,,,90.0,28.0,6.5,3.0,0.00051221,,0,,0.02,-0.12,,,,,1.0,,,,,,,0.01,1.0,1.0,,25.686297445883,4.0,7.5893995689635,Eduardo Doma,,,,,,,,,,,,,,,,,,,,,,,
15237893,home,Chapecoense,João Paulo,joao-paulo,J. Paulo,D,4,187.0,87,M,1019157,EUR,867974400.0,D,4,4,False,35.0,25.0,7.0,4.0,0.0,18.0,24.0,7.0,11.0,3.0,1.0,,,,,,75.0,45.0,7.0,10.0,0.00287545,,0,,0.32,-0.11,,,2.0,3.0,4.0,1.0,,,2.0,,,0.04,2.0,2.0,1.0,101.71522047057,11.0,47.290174423157,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
15237893,home,Chapecoense,Walter Clar,walter-clar,W. Clar,D,37,180.0,240,M,846362,EUR,780624000.0,D,37,37,False,30.0,20.0,5.0,2.0,0.0,15.0,20.0,5.0,10.0,,3.0,,,,,,90.0,43.0,6.7,11.0,0.00435781,,1,,-0.07,-0.37,,1.0,,,3.0,,1.0,1.0,,,,0.03,,,2.0,60.635371098114,4.0,39.926988495585,,2.0,,1.0,1.0,0.7884,0.7836,25.246811468974,26.989197857662,1.0,0.32,,,,,,,,,,,,,
15237893,home,Chapecoense,Rafael Carvalheira,rafael-carvalheira,R. Carvalheira,M,99,176.0,186,M,1120738,EUR,927676800.0,M,99,99,False,20.0,16.0,3.0,1.0,0.0,6.0,9.0,10.0,11.0,1.0,2.0,,,,,,90.0,25.0,7.2,5.0,0.00641872,,2,,0.14,-0.23,,1.0,,4.0,,3.0,,,1.0,,1.0,0.03,,,,28.178702168208,4.0,7.3392188713475,Rafael,,,1.0,1.0,0.1378,0.3241,,,,0.52,Carvalheira,1.0,,,,,,,,,,,
15237893,home,Chapecoense,Camilo,camilo,Camilo,M,15,176.0,596,M,975319,EUR,919728000.0,M,27,27,False,23.0,19.0,9.0,7.0,0.0,10.0,13.0,9.0,10.0,,3.0,,,,,,68.0,31.0,6.7,5.0,0.0121452,,0,,0.06,-0.02,,,1.0,4.0,2.0,1.0,,,,1.0,2.0,0.04,,2.0,2.0,35.187230726289,5.0,1.0592668627211,,1.0,,,,,,,,,,,,,,,,,,,,,,
15237893,home,Chapecoense,Giovanni Augusto,giovanni-augusto,G. Augusto,F,10,177.0,312,M,82680,EUR,620956800.0,M,10,10,False,16.0,11.0,2.0,,0.0,8.0,8.0,3.0,8.0,,1.0,,,,,,58.0,28.0,6.7,8.0,0.0015196,,1,,-0.04,-0.05,,,2.0,4.0,6.0,,1.0,1.0,,1.0,1.0,0.02,2.0,,2.0,56.173003569508,6.0,-13.665811650551,,1.0,1.0,,,0.0384,,,,,0.01,,1.0,True,2.0,,,,,,,,,
15237893,home,Chapecoense,Marcinho,marcinho,Marcinho,M,,176.0,227,M,870329,EUR,802569600.0,F,7,7,False,8.0,4.0,1.0,1.0,0.0,,1.0,4.0,7.0,,2.0,,,,,,58.0,15.0,6.7,8.0,0.0328105,,1,,0.26,-0.05,,,2.0,5.0,3.0,1.0,,,,3.0,1.0,0.02,2.0,,,17.806277833393,3.0,17.336628398593,,,1.0,,,0.0533,,,,,-0.27,,1.0,,1.0,1.0,,,,,,,,
