match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalClearance,stat_clearanceOffLine,stat_outfielderBlock,stat_wonTackle,stat_shotOffTarget,captain,stat_goalAssist,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_keyPass,stat_accurateCross,stat_blockedScoringAttempt,stat_totalOffside,stat_penaltyFaced,stat_punches,stat_penaltyConceded,stat_bigChanceCreated,stat_hitWoodwork,player_sofascoreId,stat_bigChanceMissed
11523747,home,Swansea City,Carl Rushworth,,,carl-rushworth,C. Rushworth,G,19,191,346,M,1005800,EUR,994032000,G,22,22,False,39.0,22.0,26.0,10.0,15.0,18.0,7.0,21.0,11.0,1.0,3.0,4.0,90.0,53.0,7.2,18.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11523747,home,Swansea City,Josh Key,,,josh-key,J. Key,D,2,178,59,M,930251,EUR,941414400,D,2,2,False,19.0,14.0,2.0,,5.0,7.0,9.0,14.0,4.0,,,,69.0,37.0,6.2,14.0,0,2.0,1.0,2.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
11523747,home,Swansea City,Harry Darling,,,harry-darling,H. Darling,D,6,189,127,M,866169,EUR,934243200,D,6,6,False,35.0,25.0,7.0,3.0,12.0,14.0,13.0,22.0,2.0,,,,90.0,51.0,7.2,11.0,0,1.0,2.0,4.0,2.0,8.0,,,,,3.0,,1.0,,5.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
11523747,home,Swansea City,Kyle Naughton,,,kyle-naughton,K. Naughton,D,,181,37,M,32821,EUR,595209600,D,26,26,False,19.0,16.0,5.0,3.0,11.0,13.0,5.0,6.0,4.0,,,,80.0,26.0,6.5,3.0,1,,1.0,,2.0,2.0,,,,,1.0,,1.0,1.0,4.0,,,1.0,1.0,,,,,,,,,,,,,,,,
11523747,home,Swansea City,Ben Cabango,,,ben-cabango,B. Cabango,D,5,188,254,M,939563,EUR,959644800,D,5,5,False,44.0,38.0,5.0,4.0,23.0,25.0,15.0,19.0,1.0,,,,90.0,54.0,6.4,9.0,0,,2.0,1.0,2.0,1.0,,,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,
11523747,home,Swansea City,Azeem Abdulai,,,azeem-abdullah,A. Abdulai,M,22,183,82,M,1102362,EUR,1039392000,D,47,47,False,39.0,28.0,7.0,3.0,16.0,21.0,12.0,18.0,7.0,,,,90.0,65.0,6.7,14.0,0,,3.0,1.0,8.0,8.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,2.0,,,5.0,,,,,,,,,,,,,,,,,
11523747,home,Swansea City,Joe Allen,,,joe-allen,J. Allen,M,7,168,187,M,20602,EUR,637372800,M,7,7,False,24.0,20.0,2.0,2.0,7.0,8.0,13.0,19.0,4.0,,,,58.0,32.0,6.9,7.0,0,3.0,1.0,,1.0,3.0,,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,
11523747,home,Swansea City,Matt Grimes,,,matt-grimes,M. Grimes,M,6,178,274,M,340713,EUR,805766400,M,8,8,False,53.0,38.0,6.0,4.0,18.0,23.0,20.0,33.0,8.0,,,,90.0,67.0,7.5,20.0,1,3.0,,1.0,5.0,5.0,,,,1.0,2.0,2.0,2.0,3.0,2.0,,,,,True,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,
11523747,home,Swansea City,Oliver Cooper,,,oliver-cooper,O. Cooper,M,31,176,93,M,970396,EUR,945129600,M,31,31,False,26.0,20.0,2.0,,6.0,7.0,15.0,20.0,,,,,90.0,38.0,6.2,10.0,0,1.0,1.0,,7.0,2.0,,1.0,,,1.0,2.0,1.0,3.0,,,,1.0,,,,2.0,,,1.0,1.0,,,,,,,,,
11523747,home,Swansea City,Liam Cullen,,,cullen-liam,L. Cullen,F,20,178,472,M,1006994,EUR,924825600,F,20,20,False,13.0,8.0,,,3.0,5.0,5.0,8.0,1.0,,,,69.0,23.0,6.7,7.0,1,,1.0,3.0,2.0,4.0,1.0,,,,,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,
