match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_accurateOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,player_lastName,stat_interceptionWon,captain,stat_outfielderBlock,stat_wasFouled,stat_totalCross,stat_aerialWon,stat_dispossessed,stat_totalContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_accurateCross,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt,stat_hitWoodwork
14787859,home,Fiorentina,Oliver Christensen,oliver-christensen,O. Christensen,G,53,190.0,517,M,860306,EUR,922060800,G,53,53,False,40.0,33.0,8.0,2.0,0.0,33.0,35.0,5.0,1.0,13.0,1.0,4.0,6.0,90.0,58.0,6.8,7.0,114.75726651864,18.0,69.195,10.395,0.6026,0,0.04,0.01,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14787859,home,Fiorentina,Niccolò Fortini,niccolo-fortini,N. Fortini,M,29,185.0,620,M,1526934,EUR,1139788800,D,29,29,False,34.0,31.0,1.0,,0.0,13.0,16.0,18.0,4.0,3.0,,,,90.0,51.0,5.8,8.0,91.03682750591,9.0,39.27,20.475,,0,0.04,0.04,-0.61,,Niccolò Fortini,18.0,5.0,2.0,4.0,2.0,1.0,2.0,1.0,20.569744991127,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14787859,home,Fiorentina,Pietro Comuzzo,comuzzo-pietro,P. Comuzzo,D,15,185.0,1337,M,1210848,EUR,1108857600,D,15,15,False,74.0,65.0,10.0,4.0,0.0,51.0,54.0,20.0,3.0,1.0,,,,84.0,81.0,6.3,9.0,160.5334669997,25.0,64.995,18.48,,0,0.06,0.07,-0.34,,Pietro Comuzzo,14.0,2.0,3.0,1.0,3.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14787859,home,Fiorentina,Luca Ranieri,luca-ranieri,L. Ranieri,D,6,187.0,1093,M,893998,EUR,924825600,D,6,6,False,67.0,60.0,8.0,3.0,0.0,51.0,53.0,14.0,,2.0,,,,90.0,75.0,6.5,8.0,158.27874161074,27.0,85.785,11.445,,0,0.04,0.08,-0.35,,,9.0,,3.0,,2.0,2.0,,,,,,,True,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14787859,home,Fiorentina,Luís Balbo,luis-balbo,L. Balbo,D,62,177.0,602,M,1499054,EUR,1143504000,D,62,62,False,19.0,15.0,1.0,,0.0,9.0,11.0,8.0,1.0,3.0,,,,66.0,38.0,6.2,9.0,34.931845000118,4.0,15.75,13.125,,2,0.07,0.04,-0.49,,,6.0,5.0,5.0,1.0,1.0,1.0,,1.0,,,,,,,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.14,,,,,,,,,,,,
14787859,home,Fiorentina,Giovanni Fabbian,giovanni-fabbian,G. Fabbian,M,80,186.0,1393,M,1067204,EUR,1042502400,M,80,80,False,16.0,14.0,1.0,1.0,1.0,5.0,6.0,10.0,3.0,4.0,,,,90.0,27.0,7.0,3.0,82.174114554358,8.0,56.385,13.965,,1,0.25,0.09,-0.03,,,9.0,5.0,5.0,,,,,1.0,14.987155333818,1.0,,1.0,,1.0,3.0,,1.0,,2.0,,,,1.0,-0.22,3.0,1.0,1.0,1.0,,,,,,,,
14787859,home,Fiorentina,Cher Ndour,ndour-cher,C. Ndour,M,27,190.0,2165,M,1114422,EUR,1090886400,M,27,27,False,27.0,22.0,2.0,1.0,0.0,16.0,17.0,10.0,,2.0,,,,66.0,33.0,6.4,6.0,58.660016380924,5.0,-30.24,5.04,,1,0.04,0.02,-0.15,,,6.0,4.0,3.0,1.0,2.0,1.0,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,-0.09,1.0,,,1.0,,,,,,,,
14787859,home,Fiorentina,Marco Brescianini,marco-brescianini,M. Brescianini,M,4,188.0,1128,M,928800,EUR,948326400,M,4,4,False,17.0,12.0,1.0,,0.0,9.0,9.0,8.0,1.0,3.0,,,,90.0,30.0,6.0,11.0,17.686318393901,5.0,-0.94499999999999,2.625,,0,-0.12,0.05,-0.19,,,3.0,8.0,5.0,1.0,2.0,1.0,1.0,2.0,,,,,,,1.0,1.0,1.0,2.0,3.0,,,,,,1.0,1.0,,,,,,,,,,
14787859,home,Fiorentina,Jack Harrison,jack-harrison,J. Harrison,M,17,175.0,1167,M,829570,EUR,848448000,F,17,17,False,20.0,16.0,1.0,1.0,0.0,9.0,10.0,10.0,1.0,5.0,,,,90.0,38.0,6.7,13.0,133.47832671632,17.0,29.085,16.905,,0,-0.01,0.12,-0.04,,,7.0,6.0,6.0,1.0,,,3.0,1.0,33.618416495088,2.0,,,,,3.0,1.0,,2.0,5.0,,,,,,,3.0,,,,,,,,,,
14787859,home,Fiorentina,Roberto Piccoli,roberto-piccoli,R. Piccoli,F,91,190.0,1583,M,958982,EUR,980553600,F,91,91,False,9.0,7.0,1.0,1.0,0.0,4.0,6.0,3.0,1.0,1.0,,,,66.0,22.0,7.3,8.0,35.822429764153,5.0,7.98,17.115,,1,-0.09,0.05,-0.22,,,3.0,9.0,5.0,2.0,,,,,17.329790102595,1.0,,,,,3.0,,1.0,2.0,5.0,,1.0,1.0,,0.51,1.0,1.0,,,1.0,1.0,,,,,,
14787859,home,Fiorentina,Jacopo Fazzini,jacopo-fazzini,J. Fazzini,F,22,178.0,829,M,1012179,EUR,1047772800,F,22,22,False,12.0,9.0,,,0.0,5.0,5.0,7.0,2.0,1.0,,,,73.0,30.0,6.9,9.0,71.96502355242,6.0,27.72,14.91,,1,0.12,0.16,-0.07,,,4.0,7.0,4.0,3.0,2.0,1.0,3.0,,15.605053316154,1.0,,,,,1.0,2.0,,,3.0,,1.0,,1.0,0.2,2.0,1.0,,,,,1.0,,,,,
14787859,home,Fiorentina,Robin Gosens,robin-gosens,R. Gosens,D,21,183.0,3163,M,377118,EUR,773366400,D,21,21,True,12.0,10.0,1.0,,0.0,6.0,6.0,6.0,2.0,,,,,24.0,16.0,6.3,4.0,11.217246704335,3.0,8.4,3.255,,0,0.01,-0.03,-0.23,,,4.0,1.0,1.0,1.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,
14787859,home,Fiorentina,Nicolò Fagioli,nicolo-fagioli,N. Fagioli,M,44,178.0,4329,M,901850,EUR,981936000,M,44,44,True,24.0,20.0,1.0,,0.0,9.0,9.0,15.0,1.0,1.0,,,,24.0,34.0,7.2,6.0,79.446492685928,9.0,38.535,16.38,,0,0.23,0.07,0.25,,,11.0,,5.0,,3.0,1.0,1.0,,,,,,,,2.0,2.0,,,,,,,1.0,,,,,,,,1.0,nicolofagioli,,,,
14787859,home,Fiorentina,Albert Guðmundsson,albert-gudmundsson,A. Guðmundsson,F,10,178.0,3692,M,804909,EUR,866332800,F,10,10,True,6.0,5.0,,,0.0,2.0,2.0,4.0,,,,,,24.0,10.0,6.6,3.0,8.0983022912213,1.0,-7.35,-7.35,,0,-0.04,-0.1,-0.02,,,3.0,,2.0,,,,2.0,2.0,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,
14787859,home,Fiorentina,Manor Solomon,manor-solomon,M. Solomon,M,19,167.0,5465,M,862223,EUR,932774400,F,19,19,True,7.0,7.0,,,0.0,4.0,4.0,3.0,,1.0,,,,17.0,10.0,6.8,,41.657621814571,4.0,-1.365,11.13,,0,-0.06,0.04,0.15,,,3.0,,3.0,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,
