match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_accurateCross,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_wasFouled,stat_keyPass,stat_dispossessed,stat_blockedScoringAttempt,stat_hitWoodwork,captain,stat_challengeLost,stat_totalOffside,stat_goals,stat_bigChanceCreated,stat_lastManTackle
14025160,home,Burnley,Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,190,3081,M,42209,EUR,600825600,G,1,1,False,21.0,9.0,15.0,3.0,0.0,6.0,8.0,3.0,13.0,1.0,11.0,1.0,5.0,7.0,1.0,90.0,39.0,7.1,12.0,0.00027821,0.8608,0,0.4656,0.03,0.0,0.21,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025160,home,Burnley,Kyle Walker,,,kyle-walker,K. Walker,D,2,183,26779,M,44614,EUR,643852800,D,2,2,False,48.0,31.0,9.0,4.0,0.0,15.0,20.0,16.0,28.0,5.0,7.0,,,,,90.0,73.0,6.9,21.0,0.0244617,,0,,0.1,0.22,0.13,,KyleWalker2,1.0,2.0,2.0,4.0,6.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
14025160,home,Burnley,Josh Laurent,,,josh-laurent,J. Laurent,M,29,188,191,M,552036,EUR,799718400,D,29,29,False,37.0,32.0,2.0,,0.0,17.0,18.0,15.0,19.0,1.0,2.0,,,,,90.0,44.0,6.3,7.0,0.00995097,,0,,-0.03,0.06,-0.12,,,3.0,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,
14025160,home,Burnley,Hjalmar Ekdal,,,hjalmar-ekdal,H. Ekdal,D,18,187,549,M,875360,EUR,908928000,D,18,18,False,25.0,20.0,3.0,2.0,0.0,13.0,14.0,7.0,11.0,6.0,3.0,,,,,90.0,38.0,6.6,5.0,0.00164955,,2,,-0.04,0.05,0.14,,,,1.0,2.0,1.0,2.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,0.1429,0.1203,-0.18,,,,,,,,,,,
14025160,home,Burnley,Maxime Estève,Maxime Estève,,maxime-esteve,M. Estève,D,5,192,1470,M,1117223,EUR,1022371200,D,5,5,False,35.0,30.0,4.0,1.0,0.0,23.0,26.0,7.0,9.0,8.0,5.0,,,,,90.0,50.0,7.0,5.0,0.00155205,,2,,0.03,0.04,0.15,,,,,5.0,1.0,8.0,,,,2.0,1.0,1.0,,1.0,,,2.0,,0.1189,,-0.46,2.0,1.0,,,,,,,,,
14025160,home,Burnley,Quilindschy Hartman,,,quilindschy-hartman,Q. Hartman,D,3,183,1269,M,1392044,EUR,1005696000,D,3,3,False,22.0,18.0,3.0,1.0,0.0,8.0,8.0,10.0,14.0,1.0,,,,,,90.0,55.0,7.0,18.0,0.310834,,1,,0.4,0.03,0.23,,,11.0,1.0,,5.0,2.0,,,1.0,1.0,2.0,1.0,2.0,3.0,4.0,,,1.0,0.0202,0.0905,-0.03,,3.0,1.0,,,,,,,,
14025160,home,Burnley,Loum Tchaouna,,,loum-tchaouna,L. Tchaouna,F,17,180,1357,M,1004505,EUR,1062979200,M,17,17,False,16.0,13.0,,,0.0,6.0,6.0,7.0,10.0,2.0,,,,,,81.0,31.0,6.6,7.0,0.101801,,2,,0.29,0.1,0.17,,,2.0,,1.0,4.0,3.0,2.0,,,,1.0,1.0,1.0,2.0,1.0,,1.0,,0.0752,,-0.12,1.0,,,1.0,1.0,,,,,,
14025160,home,Burnley,Josh Cullen,,,cullen-josh,J. Cullen,M,24,175,875,M,792122,EUR,828835200,M,24,24,False,64.0,57.0,3.0,2.0,0.0,28.0,29.0,29.0,35.0,5.0,7.0,,,,,90.0,78.0,7.1,9.0,0.0400445,,0,,0.34,-0.15,0.31,,,,,,2.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,2.0,,1.0,,,True,,,,,
14025160,home,Burnley,Florentino Luís,,,florentino-luis,F. Luís,M,16,184,3615,M,855845,EUR,935020800,M,16,16,False,34.0,29.0,4.0,3.0,0.0,11.0,12.0,18.0,22.0,4.0,7.0,,,,,90.0,46.0,6.7,5.0,0.0142867,,0,,0.07,0.14,-0.02,,,,5.0,1.0,9.0,6.0,1.0,1.0,1.0,2.0,4.0,3.0,,1.0,,,,,,,,,2.0,,,,,3.0,1.0,,,
14025160,home,Burnley,Jaidon Anthony,,,jaidon-anthony,J. Anthony,M,11,177,1095,M,1020680,EUR,944006400,M,11,11,False,33.0,21.0,2.0,,0.0,9.0,11.0,12.0,22.0,1.0,3.0,,,,,90.0,60.0,7.7,25.0,0.135502,,3,,-0.33,0.44,-0.16,,,8.0,,,4.0,5.0,6.0,4.0,,1.0,1.0,1.0,2.0,,1.0,,,3.0,0.3612,0.7692,0.53,,1.0,1.0,,,,1.0,,1.0,,
