match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_errorLeadToAShot,stat_fouls,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_penaltyWon,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_outfielderBlock,captain,stat_hitWoodwork,stat_goals,player_sofascoreId,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_keeperSaveValue,stat_lastManTackle,stat_penaltyConceded
14131881,home,Sporting Braga,Lukáš Horníček,lukas-hornicek,L. Horníček,G,1,194,548,M,963744,EUR,1026518400,G,1,1,False,16.0,14.0,3.0,1.0,0.0,14.0,14.0,2.0,4.0,8.0,1.0,5.0,5.0,90.0,26.0,5.9,2.0,7.892e-05,0,-1.2518,0.04,0.01,-0.13,-0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131881,home,Sporting Braga,Victor Gómez,victor-gomez,V. Gómez,D,2,169,297,M,877918,EUR,954547200,D,2,2,False,58.0,51.0,6.0,3.0,0.0,13.0,13.0,45.0,,2.0,,,,90.0,82.0,6.5,13.0,0.070438,0,,-0.05,0.31,-0.41,,38.0,4.0,2.0,2.0,5.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131881,home,Sporting Braga,Gustaf Lagerbielke,gustaf-lagerbielke,G. Lagerbielke,D,14,193,476,M,965263,EUR,955324800,D,14,14,False,71.0,62.0,7.0,4.0,0.0,25.0,28.0,43.0,3.0,3.0,,,,78.0,75.0,6.1,9.0,0.0246454,0,,0.19,0.14,-0.47,,37.0,,2.0,5.0,2.0,1.0,,,,,1.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131881,home,Sporting Braga,Paulo Oliveira,paulo-oliveira,P. Oliveira,D,15,187,180,M,106751,EUR,694828800,D,15,15,False,83.0,79.0,5.0,3.0,0.0,42.0,44.0,39.0,4.0,9.0,,,,90.0,92.0,6.0,5.0,0.0178644,0,,0.27,0.12,-0.35,,37.0,,,6.0,,,1.0,2.0,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131881,home,Sporting Braga,Leonardo Lelo,leonardo-lelo,L. Lelo,M,5,175,353,M,1006865,EUR,954374400,D,5,5,False,90.0,82.0,6.0,4.0,1.0,27.0,29.0,61.0,2.0,6.0,,,,90.0,127.0,7.3,23.0,0.481246,1,,0.46,0.33,-0.33,,55.0,14.0,,2.0,3.0,,1.0,1.0,,,3.0,6.0,1.0,,,4.0,1.0,1.0,1.0,0.0326,0.0,,,,,,,,,,,,,,,,,,,,,
14131881,home,Sporting Braga,Roger Fernandes,roger-fernandes,R. Fernandes,M,78,170,2450,M,1128560,EUR,1132531200,M,7,7,False,41.0,34.0,2.0,1.0,0.0,6.0,7.0,34.0,,3.0,,,,63.0,55.0,7.3,12.0,0.130519,3,,0.37,0.51,-0.09,,28.0,3.0,,3.0,4.0,,1.0,,2.0,1.0,1.0,2.0,1.0,,1.0,,,1.0,1.0,0.2127,-0.54,1.0,1.0,1.0,1.0,1.0,0.0316,,,,,,,,,,,,,,,
14131881,home,Sporting Braga,Jean-Baptiste Gorby,jean-baptiste-gorby,J. Gorby,M,29,181,4294,M,1120039,EUR,1027555200,M,29,29,False,76.0,69.0,2.0,2.0,0.0,20.0,22.0,54.0,,7.0,,,,90.0,90.0,7.2,8.0,0.159865,3,,0.3,0.26,-0.03,,49.0,1.0,1.0,2.0,6.0,,,,3.0,2.0,2.0,1.0,1.0,,1.0,1.0,,,1.0,0.1058,-0.1,,,1.0,2.0,,0.0384,,,1.0,,,,,,,,,,,,
14131881,home,Sporting Braga,João Moutinho,joao-moutinho,J. Moutinho,M,8,171,1563,M,6562,EUR,526521600,M,8,8,False,110.0,93.0,8.0,6.0,0.0,24.0,26.0,84.0,1.0,8.0,,,,90.0,122.0,7.4,19.0,0.0895242,0,,0.35,0.35,-0.15,,69.0,2.0,1.0,4.0,3.0,3.0,,2.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
14131881,home,Sporting Braga,Rodrigo Zalazar,rodrigo-zalazar,R. Zalazar,M,10,174,2789,M,966575,EUR,934416000,M,10,10,False,48.0,41.0,3.0,2.0,0.0,9.0,9.0,39.0,,2.0,,,,90.0,81.0,6.8,22.0,0.0719894,7,,0.09,0.29,-0.17,,32.0,5.0,,8.0,4.0,1.0,4.0,1.0,2.0,,1.0,1.0,2.0,,2.0,1.0,,6.0,4.0,1.0423,0.26,1.0,1.0,1.0,,,0.9354,,,,,1.0,1.0,,,,,,,,,
14131881,home,Sporting Braga,Pau Víctor,pau-victor,P. Víctor,F,18,182,39072,M,1031567,EUR,1006819200,F,18,18,False,33.0,27.0,4.0,3.0,0.0,9.0,10.0,23.0,1.0,2.0,,,,79.0,45.0,6.6,8.0,0.0759164,4,,0.06,0.14,-0.04,,18.0,,1.0,3.0,3.0,1.0,3.0,1.0,,,,,1.0,,,,,2.0,1.0,0.2463,-0.56,,2.0,1.0,1.0,,0.0637,,,,,,,PauVíctor,2.0,,,,,,,
14131881,home,Sporting Braga,Amine El Ouazzani,el-ouazzani-amine,A. E. Ouazzani,F,9,188,2047,M,1014048,EUR,995155200,F,9,9,False,2.0,2.0,,,0.0,1.0,1.0,1.0,,,,,,63.0,7.0,6.4,3.0,0.010582,0,,0.01,,-0.03,,1.0,1.0,1.0,5.0,2.0,,,,1.0,1.0,,2.0,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
