match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,captain,stat_aerialLost,stat_blockedScoringAttempt,stat_hitWoodwork,stat_dispossessed,stat_wonContest,stat_totalOffside,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_goalkeeperValueNormalized,stat_outfielderBlock,stat_penaltyWon
14131863,home,Moreirense,Caio,caio,Caio,G,22,192,67,M,345843,EUR,661824000,G,22,22,False,17.0,14.0,5.0,3.0,0.0,11.0,13.0,3.0,4.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,90.0,23.0,6.5,3.0,0.00341662,0.0,0,-0.2335,0.01,-0.01,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131863,home,Moreirense,Dinis Pinto,dinis-pinto,D. Pinto,D,76,178,150,M,1160980,EUR,967075200,D,76,76,False,44.0,37.0,4.0,1.0,1.0,15.0,15.0,22.0,29.0,4.0,2.0,,,,,,90.0,80.0,6.9,20.0,0.454902,,1,,0.67,0.1,-0.54,Dinis Pinto,,6.0,1.0,1.0,5.0,7.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,1.0,2.0,3.0,0.0125,2.0,-0.1,,,,,,,,,,,,,,,,
14131863,home,Moreirense,Marcelo,marcelo,Marcelo,D,44,182,57,M,156318,EUR,617500800,D,44,44,False,76.0,70.0,10.0,6.0,0.0,44.0,46.0,26.0,30.0,9.0,1.0,,,,,,90.0,93.0,7.1,7.0,0.0091469,,1,,0.32,0.13,-0.04,,,,,1.0,3.0,4.0,,,,,1.0,1.0,1.0,1.0,,2.0,2.0,0.0519,,-0.13,True,1.0,1.0,1.0,,,,,,,,,,,,
14131863,home,Moreirense,Maracás,maracas,Maracás,D,26,184,121,M,931485,EUR,767404800,D,26,26,False,70.0,68.0,5.0,4.0,0.0,58.0,60.0,10.0,10.0,4.0,9.0,,,,,,90.0,76.0,6.4,3.0,0.00302147,,0,,0.12,0.04,-0.12,,,,,,4.0,,,,,,1.0,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,
14131863,home,Moreirense,Kiko,kiko,Kiko,D,27,180,151,M,1395583,EUR,1018915200,D,27,27,False,37.0,32.0,2.0,,0.0,13.0,15.0,19.0,22.0,1.0,1.0,,,,,,62.0,53.0,6.3,10.0,0.0224909,,0,,0.07,0.01,-0.16,,,2.0,1.0,,5.0,1.0,,2.0,,,1.0,1.0,1.0,,,,3.0,,1.0,,,,,,,,,,,,,,,,,
14131863,home,Moreirense,Lawrence Ofori,lawrence-ofori,L. Ofori,M,80,181,149,M,892170,EUR,898992000,M,80,80,False,29.0,27.0,3.0,1.0,1.0,9.0,10.0,18.0,19.0,,5.0,,,,,,73.0,39.0,6.9,7.0,0.0708827,,1,,0.16,0.3,-0.04,,,,,,4.0,3.0,,1.0,1.0,,,2.0,1.0,2.0,,,1.0,0.0541,4.0,-0.16,,,1.0,,3.0,1.0,,,,,,,,,,
14131863,home,Moreirense,Mateja Stjepanović,mateja-stjepanovic,M. Stjepanović,M,8,185,313,M,1166006,EUR,1077235200,M,8,8,False,58.0,53.0,6.0,3.0,0.0,21.0,22.0,32.0,36.0,5.0,3.0,,,,,,90.0,72.0,6.9,9.0,0.0164164,,0,,0.15,0.05,-0.08,Mateja Stjepanovic,,3.0,,1.0,4.0,3.0,2.0,,1.0,,1.0,2.0,2.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,
14131863,home,Moreirense,Cedric Teguia,cedric-teguia,C. Teguia,M,7,180,82,M,910033,EUR,1001894400,M,7,7,False,27.0,19.0,1.0,1.0,0.0,6.0,9.0,13.0,18.0,,4.0,,,,,,62.0,38.0,6.7,11.0,0.0154722,,0,,-0.2,0.24,-0.06,,,2.0,,,2.0,5.0,1.0,3.0,,,1.0,2.0,,1.0,,,,,,,,1.0,,,,3.0,,,,,,,,,,
14131863,home,Moreirense,Alan,alan,Alan,M,11,163,525,M,905455,EUR,952473600,M,11,11,False,45.0,39.0,2.0,1.0,0.0,11.0,12.0,28.0,33.0,1.0,5.0,,,,,,90.0,60.0,7.0,14.0,0.0808476,,2,,0.18,0.19,-0.07,,,6.0,1.0,,2.0,2.0,,,,,,1.0,,2.0,,1.0,1.0,0.0547,1.0,-0.43,,,2.0,,1.0,,,,,,,,,,,
14131863,home,Moreirense,Kiko Bondoso,bondoso-kiko,K. Bondoso,M,10,171,86,M,1082948,EUR,816566400,M,10,10,False,41.0,32.0,3.0,3.0,0.0,9.0,9.0,23.0,32.0,,3.0,,,,,,90.0,51.0,6.6,16.0,0.0298221,,0,,0.07,0.13,-0.05,,,3.0,,,4.0,2.0,,3.0,,,,2.0,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,
