match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_duelLost,stat_dispossessed,stat_bigChanceMissed,stat_outfielderBlock,stat_wasFouled,stat_fouls,captain,stat_totalCross,stat_aerialLost,stat_blockedScoringAttempt,stat_accurateCross,stat_totalOffside,stat_bigChanceCreated,stat_challengeLost,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_punches,stat_goals
14573023,home,Crystal Palace,Dean Henderson,,,dean-henderson,D. Henderson,G,1,188,5014,M,deanhenderson,788134,EUR,858124800,G,1,1,False,15.0,14.0,5.0,4.0,0.0,11.0,11.0,3.0,4.0,7.0,1.0,1.0,1.0,1.0,90.0,21.0,6.4,1.0,0.00231194,0.0003,0,0.026,0.06,0.01,-0.06,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573023,home,Crystal Palace,Jaydee Canvot,Jaydee Canvot,,jaydee-canvot,J. Canvot,D,23,188,809,M,,1471671,EUR,1154131200,D,23,23,False,61.0,54.0,4.0,4.0,0.0,27.0,28.0,27.0,33.0,4.0,,,,,60.0,78.0,7.1,8.0,0.549205,,1,,0.37,0.13,-0.47,,1.0,7.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,0.0159,1.0,-0.04,,,,,,,,,,,,,,,,,,,,,
14573023,home,Crystal Palace,Maxence Lacroix,,,maxence-lacroix,M. Lacroix,D,5,192,6978,M,,879674,EUR,954979200,D,5,5,False,96.0,90.0,4.0,3.0,0.0,58.0,59.0,32.0,37.0,7.0,,,,,90.0,109.0,7.3,7.0,0.0863995,,1,,0.3,0.03,-0.1,,5.0,8.0,,,1.0,4.0,3.0,2.0,1.0,,,0.1571,,-0.48,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
14573023,home,Crystal Palace,Marc Guéhi,,,marc-guehi,M. Guéhi,D,15,182,24476,M,MarcGuehi13,877994,EUR,963446400,D,6,6,False,108.0,98.0,15.0,9.0,0.0,38.0,38.0,60.0,71.0,4.0,,,,,90.0,120.0,7.8,15.0,0.116021,,1,,0.7,0.26,-0.04,,2.0,4.0,,,,1.0,,,,,1.0,0.0704,1.0,-0.07,2.0,,,1.0,2.0,1.0,True,1.0,2.0,1.0,,,,,,,,,,,
14573023,home,Crystal Palace,Daniel Muñoz,,,daniel-munoz,D. Muñoz,M,2,183,12012,M,daniel.chitiva,870360,EUR,833068800,M,2,2,False,50.0,42.0,3.0,1.0,0.0,14.0,15.0,30.0,41.0,6.0,,,,,90.0,78.0,7.3,15.0,0.0933719,,1,,-0.08,0.03,0.16,,2.0,8.0,,,1.0,3.0,,5.0,3.0,,2.0,0.0112,2.0,-0.02,1.0,,,,1.0,1.0,,6.0,,,2.0,3.0,,,,,,,,,
14573023,home,Crystal Palace,Will Hughes,,,will-hughes,W. Hughes,M,19,185,1024,M,,193554,EUR,798076800,M,19,19,False,59.0,53.0,6.0,5.0,0.0,18.0,18.0,38.0,50.0,2.0,,,,,87.0,79.0,7.7,12.0,0.492776,,0,,0.73,0.12,-0.06,,,5.0,1.0,1.0,,2.0,1.0,3.0,3.0,,,,4.0,,4.0,,,,1.0,3.0,,9.0,1.0,,3.0,,1.0,,,,,,,,
14573023,home,Crystal Palace,Jefferson Lerma,,,jefferson-lerma,J. Lerma,M,8,179,5420,M,jeffersonlerma,355796,EUR,783043200,M,8,8,False,33.0,32.0,4.0,4.0,0.0,14.0,14.0,18.0,21.0,6.0,,,,,71.0,46.0,6.9,6.0,0.0388276,,1,,0.09,-0.07,-0.05,,,1.0,,,1.0,1.0,1.0,1.0,,,,0.0332,,-0.1,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,
14573023,home,Crystal Palace,Tyrick Mitchell,,,tyrick-mitchell,T. Mitchell,M,3,174,1388,M,,988275,EUR,936144000,M,3,3,False,42.0,35.0,,,0.0,9.0,10.0,27.0,37.0,7.0,,,,,90.0,73.0,6.9,14.0,0.0805549,,0,,0.11,0.0,-0.04,,1.0,8.0,,,,2.0,1.0,3.0,2.0,,2.0,,1.0,,1.0,1.0,,,5.0,,,5.0,,,1.0,,,,,,,,,,
14573023,home,Crystal Palace,Ismaïla Sarr,,,ismaila-sarr,I. Sarr,F,7,185,26738,M,ismaila_sarr18,845286,EUR,888364800,F,7,7,False,22.0,16.0,,,0.0,4.0,5.0,12.0,18.0,1.0,,,,,87.0,34.0,6.1,13.0,0.0891048,,1,,0.1,0.16,-0.07,,,2.0,2.0,,,,,,,,,0.213,,-0.49,7.0,2.0,,,2.0,2.0,,1.0,1.0,1.0,,,,1.0,,,,,,,
14573023,home,Crystal Palace,Yéremy Pino,,,yeremy-pino,Y. Pino,M,10,172,6120,M,,984624,EUR,1035072000,F,10,10,False,24.0,19.0,4.0,3.0,0.0,4.0,6.0,16.0,22.0,3.0,,,,,71.0,41.0,6.3,15.0,0.0765633,,2,,0.04,-0.43,-0.02,,,1.0,4.0,,1.0,,,,,,2.0,0.167,3.0,-0.14,10.0,1.0,,,1.0,4.0,,4.0,1.0,1.0,1.0,,,,,,,,,,
