match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_wasFouled,player_sofascoreId,stat_dispossessed,stat_interceptionWon,stat_unsuccessfulTouch,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_goalAssist,stat_totalCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,captain,stat_accurateCross,stat_ownGoals,stat_bigChanceMissed,stat_errorLeadToAShot
11407486,home,Bologna,Federico Ravaglia,federico-ravaglia,F. Ravaglia,G,13,196,580,M,850952,EUR,942278400,G,34,34,False,33.0,25.0,9.0,1.0,24.0,29.0,1.0,4.0,1.0,4.0,2.0,3.0,1.0,1.0,90.0,40.0,7.2,8.0,0.00021294,0,0.9541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407486,home,Bologna,Stefan Posch,stefan-posch,S. Posch,D,4,188,1364,M,355486,EUR,863568000,D,3,3,False,75.0,62.0,13.0,6.0,39.0,45.0,23.0,30.0,4.0,5.0,,,,,90.0,85.0,7.0,14.0,0.0191717,0,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11407486,home,Bologna,Sam Beukema,sam-beukema,S. Beukema,D,31,188,2235,M,898815,EUR,911260800,D,31,31,False,50.0,46.0,1.0,1.0,36.0,39.0,10.0,11.0,,7.0,,,,,58.0,56.0,6.7,4.0,0.00160337,0,,1.0,2.0,3.0,5.0,,2.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11407486,home,Bologna,Riccardo Calafiori,riccardo-calafiori,R. Calafiori,D,33,188,24414,M,957602,EUR,1021766400,D,33,33,False,51.0,44.0,3.0,2.0,35.0,39.0,9.0,12.0,2.0,6.0,,,,,90.0,63.0,6.9,11.0,0.0025516,0,,1.0,5.0,6.0,6.0,1.0,,,4.0,,1.0,richycala,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
11407486,home,Bologna,Victor Kristiansen,kristiansen-victor,V. Kristiansen,D,16,181,1305,M,1092409,EUR,1039996800,D,15,15,False,64.0,57.0,6.0,1.0,32.0,35.0,25.0,29.0,4.0,3.0,,,,,75.0,73.0,7.0,7.0,0.00982584,0,,2.0,,3.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11407486,home,Bologna,Remo Freuler,remo-freuler,R. Freuler,M,8,181,1928,M,115516,EUR,703296000,M,8,8,False,68.0,66.0,1.0,,43.0,44.0,23.0,24.0,2.0,9.0,,,,,90.0,77.0,7.4,2.0,0.0610137,0,,1.0,1.0,2.0,3.0,,2.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
11407486,home,Bologna,Nikola Moro,nikola-moro,N. Moro,M,6,182,2495,M,814882,EUR,889660800,M,6,6,False,32.0,25.0,1.0,,8.0,9.0,17.0,23.0,,3.0,,,,,75.0,43.0,7.8,8.0,0.0711927,1,,1.0,,6.0,6.0,,4.0,4.0,4.0,1.0,2.0,,1.0,,,,1.0,1.0,0.2556,0.8345,,,,,,,,,,,,,,,
11407486,home,Bologna,Dan Ndoye,dan-ndoye,D. Ndoye,M,14,184,4721,M,944327,EUR,972432000,M,11,11,False,33.0,28.0,3.0,3.0,7.0,8.0,21.0,26.0,,2.0,,,,,90.0,54.0,7.6,13.0,0.104964,2,,2.0,,6.0,6.0,,2.0,2.0,,2.0,3.0,,1.0,1.0,2.0,,,,0.0703,,,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,,,,,
11407486,home,Bologna,Lewis Ferguson,lewis-ferguson,L. Ferguson,M,19,181,1972,M,907152,EUR,935452800,M,19,19,False,42.0,40.0,1.0,,15.0,15.0,25.0,27.0,4.0,3.0,,,,,88.0,63.0,7.7,3.0,0.615689,1,,,4.0,2.0,12.0,,1.0,,1.0,,7.0,,,1.0,,,1.0,,0.0327,0.0506,,,,,2.0,1.0,,,,,True,,,,
11407486,home,Bologna,Alexis Saelemaekers,alexis-saelemaekers,A. Saelemaekers,M,56,180,7592,M,901891,EUR,930441600,M,56,56,False,35.0,32.0,2.0,2.0,14.0,14.0,18.0,25.0,1.0,6.0,,,,,87.0,56.0,6.8,15.0,0.0383175,0,,,,7.0,6.0,,2.0,2.0,1.0,1.0,1.0,AS56,2.0,,2.0,,,,,,,,,4.0,7.0,3.0,,,,,,,,,
