match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_challengeLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wonTackle,stat_expectedGoalsOnTarget,stat_accurateCross,stat_totalContest,stat_wonContest,stat_lastManTackle,stat_wasFouled,captain,stat_totalOffside,stat_punches,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork
11352468,home,Manchester United,André Onana,,,andre-onana,A. Onana,G,24,190,53850,M,AndréOnana24,787498,EUR,828403200,G,24,24,False,43.0,35.0,16.0,8.0,31.0,33.0,4.0,10.0,1.0,6.0,1.0,1.0,1.0,1.0,90.0,50.0,6.3,8.0,0.00142665,0,-0.8776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352468,home,Manchester United,Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22996,M,DDalot,843200,EUR,921715200,D,20,20,False,58.0,55.0,4.0,3.0,21.0,21.0,34.0,41.0,3.0,11.0,1.0,,,,90.0,81.0,7.0,11.0,0.0776722,2,,4.0,2.0,2.0,4.0,1.0,2.0,5.0,1.0,2.0,1.0,0.1586,1.0,,,,,,,,,,,,,,,,,,,
11352468,home,Manchester United,Harry Maguire,,,harry-maguire,H. Maguire,D,5,194,28057,M,harrymaguire93,149380,EUR,731289600,D,5,5,False,54.0,45.0,4.0,3.0,29.0,35.0,16.0,19.0,8.0,5.0,3.0,,,,90.0,69.0,7.1,11.0,0.0205441,2,,,,5.0,2.0,1.0,,1.0,4.0,,,0.0585,,1.0,1.0,1.0,1.0,2.0,0.06,,,,,,,,,,,,,
11352468,home,Manchester United,Luke Shaw,,,luke-shaw,L. Shaw,D,23,178,17970,M,lukeshaw23,190839,EUR,805507200,D,23,23,False,89.0,78.0,6.0,1.0,53.0,59.0,25.0,31.0,3.0,5.0,,,,,79.0,98.0,6.1,13.0,0.0162771,0,,1.0,2.0,3.0,6.0,1.0,,5.0,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,
11352468,home,Manchester United,Sergio Reguilón,,,sergio-reguilon,S. Reguilón,D,,178,5856,M,sergio_regui,858195,EUR,850694400,D,15,15,False,62.0,49.0,1.0,1.0,25.0,29.0,26.0,40.0,12.0,2.0,4.0,,,,90.0,104.0,7.3,23.0,0.138072,1,,7.0,5.0,4.0,7.0,,,1.0,1.0,4.0,,0.1167,2.0,1.0,,1.0,,3.0,,2.0,2.0,1.0,1.0,3.0,,,,,,,,
11352468,home,Manchester United,Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193,25748,M,ScottMcTominay,879346,EUR,850003200,M,39,39,False,43.0,36.0,4.0,3.0,17.0,18.0,19.0,25.0,3.0,1.0,1.0,,,,90.0,56.0,6.9,9.0,0.0417931,7,,,1.0,2.0,3.0,,2.0,,,1.0,,0.5218,,1.0,1.0,4.0,,1.0,0.0374,,1.0,,,1.0,,,,,,,,
11352468,home,Manchester United,Sofyan Amrabat,,,sofyan-amrabat,S. Amrabat,M,34,183,27708,M,sofyanamrabat,359272,EUR,840585600,M,4,4,False,74.0,68.0,10.0,10.0,36.0,38.0,32.0,36.0,5.0,5.0,3.0,,,,90.0,81.0,7.2,6.0,0.027779,0,,,,,3.0,,,,,,1.0,,,2.0,,,,2.0,,,2.0,2.0,,,,,,,,,,
11352468,home,Manchester United,Antony,,,antony,Antony,M,7,172,219783,M,Antony,958380,EUR,951350400,M,21,21,False,52.0,43.0,2.0,1.0,11.0,13.0,33.0,42.0,5.0,4.0,2.0,,,,79.0,67.0,7.1,13.0,0.192652,1,,3.0,,,3.0,,,,,1.0,1.0,0.063,2.0,1.0,,1.0,,1.0,,1.0,4.0,3.0,,,,,,,,,,
11352468,home,Manchester United,Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,235526,M,BrunoFernandes,288205,EUR,778982400,M,8,8,False,86.0,73.0,11.0,7.0,22.0,25.0,53.0,67.0,5.0,11.0,3.0,,,,90.0,106.0,7.8,22.0,0.450815,1,,6.0,,1.0,8.0,,,,,4.0,3.0,0.0571,6.0,4.0,,1.0,,3.0,,2.0,1.0,,,1.0,True,,,,,,,
11352468,home,Manchester United,Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,138483,M,AleGarnacho,1135873,EUR,1088640000,M,17,17,False,36.0,29.0,2.0,1.0,9.0,11.0,20.0,31.0,6.0,2.0,1.0,,,,79.0,61.0,6.8,20.0,0.0740105,4,,6.0,1.0,,7.0,3.0,,,,1.0,,0.104,2.0,,,4.0,,1.0,,,7.0,4.0,,1.0,,,,,,,,
