match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_unsuccessfulTouch,stat_expectedGoals,player_firstName,player_lastName,stat_accurateCross,stat_blockedScoringAttempt,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_savedShotsFromInsideTheBox,stat_totalOffside,stat_lastManTackle
11396313,home,VfL Wolfsburg,Koen Casteels,koen-casteels,K. Casteels,G,1,197,1416,M,70987,EUR,709430400,G,1,1,False,True,28.0,18.0,16.0,6.0,17.0,20.0,1.0,8.0,4.0,8.0,3.0,1.0,1.0,2.0,2.0,90.0,43.0,6.8,10.0,0.00175032,0,-0.4355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396313,home,VfL Wolfsburg,Joakim Mæhle,joakim-maehle,J. Mæhle,D,21,185,1469,M,842364,EUR,864086400,D,21,21,False,,40.0,30.0,3.0,,9.0,13.0,21.0,28.0,4.0,4.0,,,,,,82.0,67.0,6.7,17.0,0.719029,0,,1.0,1.0,6.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11396313,home,VfL Wolfsburg,Maxence Lacroix,maxence-lacroix,M. Lacroix,D,5,192,6983,M,879674,EUR,954979200,D,4,4,False,,67.0,60.0,7.0,3.0,47.0,50.0,13.0,17.0,7.0,5.0,,,,,,90.0,81.0,7.3,7.0,0.00973538,0,,,,4.0,6.0,,,,,1.0,2.0,,3.0,2.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,
11396313,home,VfL Wolfsburg,Moritz Jenz,jenz-moritz,M. Jenz,D,15,190,340,M,920525,EUR,925430400,D,25,25,False,,49.0,43.0,1.0,,35.0,36.0,8.0,13.0,3.0,6.0,,,,,,90.0,60.0,7.0,7.0,0.00348438,3,,,,3.0,8.0,,,,,1.0,1.0,,1.0,5.0,,3.0,3.0,,1.0,1.0,3.0,1.0,0.1873,,,,,,,,,,,
11396313,home,VfL Wolfsburg,Rogério,rogerio,Rogério,D,13,178,291,M,830551,EUR,884649600,D,13,13,False,,55.0,45.0,3.0,2.0,20.0,22.0,27.0,36.0,3.0,7.0,,,,,,90.0,88.0,7.2,15.0,0.237446,0,,,3.0,4.0,5.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,,,1.0,,,,2.0,,,,,,,,
11396313,home,VfL Wolfsburg,Mattias Svanberg,svanberg-mattias,M. Svanberg,M,32,185,641,M,796987,EUR,915494400,M,32,32,False,,37.0,23.0,5.0,1.0,16.0,20.0,11.0,26.0,,4.0,,,,,,90.0,59.0,7.4,22.0,0.219484,3,,,9.0,5.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,2.0,,1.0,,,1.0,,1.0,2.0,0.2465,,,4.0,2.0,,,,,,,
11396313,home,VfL Wolfsburg,Aster Vranckx,vranckx-aster,A. Vranckx,M,40,183,1109,M,989371,EUR,1033689600,M,6,6,False,,59.0,51.0,5.0,2.0,27.0,28.0,24.0,31.0,3.0,6.0,,,,,,90.0,74.0,7.0,11.0,0.0234313,0,,,,5.0,7.0,,4.0,3.0,,,3.0,,,,,2.0,,2.0,1.0,,,2.0,,,,,,,,,,,,
11396313,home,VfL Wolfsburg,Václav Černý,vaclav-cerny,V. Černý,M,18,182,3495,M,280631,EUR,877046400,M,7,7,False,,22.0,15.0,1.0,1.0,3.0,5.0,12.0,17.0,,3.0,,,,,,71.0,28.0,6.6,11.0,0.225235,0,,,,5.0,,2.0,,,,,1.0,1.0,2.0,,,,,,1.0,,,2.0,,,,,,,,,,,,
11396313,home,VfL Wolfsburg,Lovro Majer,lovro-majer,L. Majer,M,10,179,4795,M,841947,EUR,884995200,M,19,19,False,,42.0,29.0,2.0,1.0,8.0,9.0,22.0,36.0,,6.0,,,,,,71.0,56.0,6.9,18.0,0.121827,0,,,3.0,2.0,5.0,1.0,,,,,1.0,,,,,3.0,2.0,2.0,1.0,,,2.0,,,,1.0,,lovromajer,,,,,,
11396313,home,VfL Wolfsburg,Kevin Paredes,kevin-paredes,K. Paredes,M,40,175,775,M,1016810,EUR,1052265600,M,40,40,False,,25.0,20.0,2.0,1.0,8.0,11.0,13.0,15.0,3.0,3.0,,,,,,90.0,49.0,7.4,11.0,0.0318134,2,,,1.0,6.0,9.0,,5.0,1.0,,,2.0,,,1.0,,2.0,2.0,5.0,,1.0,,2.0,0.6592,,,1.0,,,2.0,1.0,1.6657,,,
11396313,home,VfL Wolfsburg,Jonas Wind,jonas-wind,J. Wind,F,23,190,2374,M,826069,EUR,918345600,F,23,23,False,,12.0,9.0,,,1.0,3.0,8.0,9.0,,2.0,,,,,,82.0,20.0,7.0,5.0,0.040069,2,,,,8.0,5.0,,1.0,,,,1.0,1.0,6.0,3.0,,1.0,1.0,1.0,,,1.0,1.0,0.1877,,,,,,1.0,,0.1513,,,
