match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_fouls,stat_expectedGoalsOnTarget,player_sofascoreId,stat_totalOffside,captain,stat_accurateCross,stat_keyPass,stat_dispossessed,stat_blockedScoringAttempt,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox
14566784,home,Villarreal,Luiz Júnior,Luiz Lúcio Reis Júnior,,luiz-junior,L. Júnior,G,1,192,2366,M,1066603,EUR,979430400,G,1,1,False,16.0,14.0,4.0,2.0,0.0,13.0,14.0,1.0,2.0,1.0,1.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,90.0,28.0,6.4,3.0,0.00091404,23.868,5.25271,0.0,9.903673863774,1.0,9.87,9.87,0.1595,0,-0.7994,0.03,0.01,-0.12,0.01,3.55,1.48,0.16,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566784,home,Villarreal,Pau Navarro,,,pau-navarro,P. Navarro,D,6,185,343,M,1525863,EUR,1114387200,D,26,26,False,61.0,53.0,7.0,4.0,0.0,23.0,26.0,30.0,35.0,1.0,7.0,3.0,4.0,,,,,,90.0,83.0,6.7,12.0,0.0138813,30.348,10.11135,9.0,83.74028028272,12.0,68.04,15.015,,1,,0.28,0.11,-0.48,,2.98,5.24,1.34,0.39,0.16,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,0.1448,0.01,,,,,,,,,,,,,,,
14566784,home,Villarreal,Rafa Marín,,,rafa-marin,R. Marín,D,4,190,2323,M,984623,EUR,1021766400,D,4,4,False,69.0,62.0,11.0,6.0,0.0,38.0,39.0,24.0,30.0,2.0,4.0,3.0,2.0,,,,,,90.0,86.0,6.4,8.0,0.00976722,29.304,9.82549,5.0,104.9211795092,19.0,61.95,8.925,,1,,0.25,0.09,-0.32,,2.91,5.2,1.27,0.37,0.08,,4.0,6.0,,,,,6.0,,,1.0,2.0,0.0492,0.15,1.0,1.0,3.0,0.5085,,,,,,,,,,,
14566784,home,Villarreal,Renato Veiga,,,renato-veiga,R. Veiga,D,12,190,11674,M,1087359,EUR,1059436800,D,12,12,False,73.0,65.0,17.0,12.0,0.0,33.0,34.0,32.0,39.0,2.0,3.0,4.0,3.0,,,,,,90.0,82.0,6.7,10.0,0.049822,30.6,9.79263,5.0,185.05075772744,24.0,126.735,21.105,,0,,0.39,0.18,-0.53,,2.93,5.13,1.24,0.39,0.1,,1.0,4.0,1.0,,,,,1.0,,2.0,,,,,1.0,2.0,,renatoveiga95,2.0,,,,,,,,,
14566784,home,Villarreal,Alfonso Pedraza,,,alfonso-pedraza,A. Pedraza,D,24,184,604,M,797290,EUR,829008000,D,24,24,False,42.0,40.0,3.0,3.0,1.0,19.0,19.0,21.0,23.0,,6.0,1.0,5.0,,,,,,83.0,68.0,7.0,9.0,0.109708,31.5,9.60169,14.0,195.12902986095,21.0,148.26,26.46,,2,,0.2,0.28,-0.19,,2.74,4.4,1.5,0.64,0.32,9.0,,1.0,,2.0,2.0,2.0,,2.0,2.0,,2.0,0.115,-0.31,,,1.0,,,,True,2.0,3.0,,,,,,
14566784,home,Villarreal,Tajon Buchanan,,,tajon-buchanan,T. Buchanan,M,17,183,7493,M,973290,EUR,918432000,M,17,17,False,13.0,12.0,,,0.0,3.0,3.0,9.0,10.0,,4.0,,2.0,,,,,,45.0,25.0,6.8,5.0,0.169053,31.32,5.85497,8.0,67.896045785582,8.0,58.275,24.045,,1,,0.09,0.2,-0.05,,1.43,2.7,1.08,0.49,0.16,3.0,,1.0,,,,1.0,,1.0,,1.0,3.0,0.0287,-0.12,,,,,,,,1.0,2.0,1.0,,,,,
14566784,home,Villarreal,Santi Comesaña,,,santi-comesana,S. Comesaña,M,14,187,1063,M,843678,EUR,844473600,M,14,14,False,36.0,29.0,4.0,3.0,0.0,11.0,15.0,18.0,21.0,1.0,3.0,,4.0,,,,,,90.0,50.0,7.2,11.0,0.356422,30.636,11.71474,13.0,88.847432644711,11.0,57.54,25.725,,3,,0.36,-0.5,-0.32,,2.85,5.33,2.31,0.99,0.24,,6.0,9.0,1.0,2.0,2.0,,,,,3.0,,0.7042,0.55,1.0,,2.0,0.9648,,,,,,1.0,2.0,1.0,,,
14566784,home,Villarreal,Pape Gueye,,,pape-gueye,P. Gueye,M,18,187,36251,M,879694,EUR,917136000,M,18,18,False,32.0,24.0,5.0,3.0,0.0,6.0,9.0,18.0,23.0,1.0,10.0,1.0,9.0,,,,,,90.0,56.0,7.2,14.0,0.0509877,28.116,11.13011,4.0,124.77444568649,13.0,91.35,39.27,,2,,0.18,0.34,-0.03,,2.87,5.76,1.82,0.62,0.07,1.0,,6.0,1.0,2.0,1.0,,1.0,5.0,3.0,2.0,3.0,0.1273,-0.26,,,3.0,,p.gueye24,,,,2.0,2.0,2.0,,,,
14566784,home,Villarreal,Alberto Moleiro,,,alberto-moleiro,A. Moleiro,M,20,172,3697,M,1012444,EUR,1064880000,M,20,20,False,21.0,11.0,3.0,,0.0,2.0,3.0,9.0,18.0,,2.0,,3.0,,,,,,63.0,36.0,6.2,14.0,0.163372,31.14,7.51611,10.0,89.658395053748,9.0,50.19,30.765,,1,,0.19,0.17,-0.13,,2.03,3.45,1.26,0.57,0.2,3.0,3.0,5.0,,3.0,2.0,,1.0,,,2.0,,0.0349,0.02,1.0,,1.0,0.0476,,,,2.0,1.0,,,,,,
14566784,home,Villarreal,Nicolas Pépé,,,nicolas-pepe,N. Pépé,F,19,183,12626,M,593526,EUR,801705600,F,19,19,False,9.0,7.0,,,0.0,,,7.0,9.0,,2.0,1.0,1.0,,,,,,45.0,24.0,7.4,9.0,0.128965,30.924,5.47017,7.0,46.229876535599,5.0,20.055,10.605,,1,,0.69,0.1,0.16,,1.44,2.58,0.81,0.48,0.15,3.0,1.0,4.0,,2.0,1.0,,,1.0,1.0,1.0,,0.1441,0.26,1.0,,,0.6712,nicolas_pepe19,,,1.0,1.0,2.0,,,,,
