match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_dispossessed,stat_accurateCross,stat_outfielderBlock,stat_keyPass,stat_challengeLost,stat_blockedScoringAttempt,stat_goalAssist,stat_shotOffTarget,stat_interceptionWon,stat_onTargetScoringAttempt,stat_goals,stat_penaltyConceded,stat_fouls,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,player_sofascoreId,stat_penaltyWon,stat_bigChanceMissed
11693214,home,Exeter City,Viljami Sinisalo,,,viljami-sinisalo,V. Sinisalo,G,12,190.0,349,M,995654,EUR,1002758400,G,1,1,False,29.0,13.0,20.0,4.0,10.0,11.0,3.0,18.0,1.0,1.0,3.0,6.0,4.0,1.0,5.0,1.0,90.0,41.0,6.9,16.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11693214,home,Exeter City,Will Aimson,,,will-aimson,W. Aimson,D,4,179.0,29,M,247349,EUR,757382400,D,4,4,False,36.0,21.0,11.0,2.0,9.0,12.0,12.0,25.0,2.0,7.0,4.0,3.0,,,,,90.0,55.0,6.2,20.0,0,True,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11693214,home,Exeter City,Jack Fitzwater,,,jack-fitzwater,J. Fitzwater,D,5,182.0,32,M,814205,EUR,874972800,D,24,24,False,12.0,7.0,2.0,,7.0,10.0,,2.0,,,8.0,1.0,,,,,60.0,22.0,6.2,6.0,0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11693214,home,Exeter City,Alex Hartridge,,,alex-hartridge,A. Hartridge,D,16,185.0,23,M,884990,EUR,920937600,D,5,5,False,30.0,21.0,10.0,7.0,9.0,11.0,13.0,21.0,,2.0,4.0,5.0,,,,,90.0,60.0,6.7,20.0,0,,2.0,2.0,3.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
11693214,home,Exeter City,Demetri Mitchell,,,demetri-mitchell,D. Mitchell,M,11,180.0,132,M,548196,EUR,852940800,M,7,7,False,7.0,6.0,,,2.0,3.0,4.0,4.0,,,2.0,1.0,,,,,34.0,15.0,6.3,3.0,1,,,,4.0,1.0,,,,1.0,,,,,,3.0,1.0,,,,,,,,,,,,,,
11693214,home,Exeter City,Kyle Taylor,,,kyle-taylor,K. Taylor,M,,178.0,18,M,891741,EUR,935798400,M,23,23,False,12.0,11.0,1.0,1.0,9.0,9.0,3.0,4.0,,2.0,2.0,4.0,,,,,79.0,24.0,7.1,5.0,1,,1.0,,2.0,,,2.0,2.0,2.0,,2.0,1.0,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,
11693214,home,Exeter City,Ryan Trevitt,Ryan Trevitt,,ryan-trevitt,R. Trevitt,M,14,170.0,115,M,1177007,EUR,1047427200,M,8,8,False,18.0,9.0,,,5.0,7.0,4.0,12.0,2.0,6.0,3.0,4.0,,,,,90.0,38.0,8.1,13.0,3,,1.0,1.0,4.0,1.0,,3.0,3.0,1.0,1.0,,,,1.0,,1.0,,,2.0,2.0,2.0,1.0,2.0,,,,,,,
11693214,home,Exeter City,Harry Kite,,,harry-kite,H. Kite,M,29,176.0,12,M,930213,EUR,962236800,M,16,16,False,28.0,21.0,1.0,,13.0,17.0,8.0,11.0,,6.0,1.0,10.0,,,,,90.0,41.0,7.3,7.0,1,,,,3.0,,,5.0,4.0,,1.0,,,1.0,1.0,2.0,,1.0,1.0,1.0,,,,1.0,,,,,,,
11693214,home,Exeter City,Zak Jules,,,zak-jules,Z. Jules,D,3,190.0,13,M,556774,EUR,867801600,M,3,3,False,7.0,6.0,,,4.0,5.0,2.0,2.0,1.0,4.0,4.0,2.0,,,,,90.0,21.0,6.6,4.0,1,,,2.0,5.0,,,2.0,1.0,1.0,1.0,2.0,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,
11693214,home,Exeter City,Admiral Muskwe,,,muskwe-admiral,A. Muskwe,F,11,183.0,88,M,855653,EUR,903657600,F,10,10,False,8.0,5.0,,,2.0,4.0,3.0,4.0,,2.0,,4.0,,,,,60.0,14.0,6.4,5.0,0,,,1.0,3.0,,,,,,2.0,1.0,,,,1.0,,,,,,,,,2.0,,,,,,
