match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,captain,stat_aerialLost,stat_outfielderBlock,stat_keyPass,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,player_sofascoreId,stat_challengeLost,stat_errorLeadToAShot,stat_blockedScoringAttempt,stat_dispossessed,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_bigChanceCreated,stat_bigChanceMissed,stat_goalAssist
11450026,home,Beşiktaş JK,Mert Günok,mert-gunok,M. Günok,G,34,196,4070,M,39573,EUR,604713600,G,34,34,False,35.0,23.0,22.0,10.0,15.0,17.0,8.0,18.0,1.0,8.0,1.0,2.0,90.0,44.0,6.9,13.0,0.00296829,0,0.1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450026,home,Beşiktaş JK,Jonas Svensson,jonas-svensson,J. Svensson,D,71,170,1475,M,98199,EUR,731376000,D,2,2,False,45.0,38.0,4.0,1.0,18.0,19.0,21.0,27.0,1.0,13.0,,,90.0,64.0,7.3,11.0,0.0465792,2,,1.0,1.0,2.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,0.0806,,,,,,,,,,,,,,,,,,,,
11450026,home,Beşiktaş JK,Necip Uysal,necip-uysal,N. Uysal,D,20,180,1751,M,43394,EUR,664675200,D,20,20,False,60.0,46.0,11.0,5.0,27.0,31.0,19.0,29.0,2.0,4.0,,,90.0,70.0,7.2,16.0,0.00892879,1,,,,6.0,3.0,10.0,,,1.0,,1.0,,2.0,3.0,1.0,0.1252,True,2.0,1.0,1.0,,,,,,,,,,,,,,,,
11450026,home,Beşiktaş JK,Omar Colley,omar-colley,O. Colley,D,15,190,966,M,238408,EUR,719798400,D,6,6,False,44.0,33.0,8.0,3.0,22.0,27.0,11.0,18.0,4.0,5.0,,,90.0,54.0,7.0,12.0,0.00888648,0,,1.0,,5.0,1.0,6.0,,,,2.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11450026,home,Beşiktaş JK,Bakhtiyar Zaynutdinov,bakhtiyar-zaynutdinov,B. Zaynutdinov,M,19,183,3645,M,887382,EUR,891475200,D,22,22,False,33.0,21.0,7.0,3.0,9.0,13.0,12.0,21.0,2.0,4.0,,,85.0,64.0,7.5,21.0,0.0407594,3,,1.0,,5.0,3.0,12.0,4.0,2.0,2.0,2.0,1.0,,2.0,4.0,1.0,0.213,,,1.0,,,,1.0,1.0,0.1751,,,,,,,,,,,
11450026,home,Beşiktaş JK,Gedson Fernandes,gedson-fernandes,G. Fernandes,M,83,184,5232,M,862055,EUR,915840000,M,83,83,False,34.0,24.0,1.0,,11.0,14.0,13.0,20.0,3.0,7.0,,,90.0,53.0,6.8,13.0,0.0193762,0,,,,1.0,8.0,10.0,2.0,1.0,,2.0,3.0,3.0,2.0,5.0,2.0,,,4.0,,1.0,,,,,,gedson_83,1.0,1.0,,,,,,,,
11450026,home,Beşiktaş JK,Rachid Ghezzal,rachid-ghezzal,R. Ghezzal,M,18,182,3146,M,123228,EUR,705369600,M,18,18,False,27.0,23.0,1.0,1.0,9.0,10.0,18.0,22.0,,6.0,,,77.0,46.0,7.4,9.0,0.312131,1,,5.0,4.0,1.0,5.0,5.0,3.0,2.0,,1.0,2.0,1.0,2.0,,3.0,0.0602,,1.0,,5.0,,,,,,,,,1.0,,,,,,,
11450026,home,Beşiktaş JK,Milot Rashica,milot-rashica,M. Rashica,M,7,177,3712,M,800411,EUR,835920000,M,11,11,False,21.0,19.0,2.0,1.0,6.0,6.0,13.0,16.0,,6.0,,,67.0,35.0,7.2,5.0,0.109767,4,,1.0,,1.0,3.0,4.0,2.0,2.0,1.0,1.0,,,,1.0,,0.221,,1.0,,1.0,,,1.0,,0.2704,MRashica,,,2.0,2.0,,,,,,
11450026,home,Beşiktaş JK,Ernest Muçi,ernest-muci,E. Muçi,M,10,180,5691,M,924670,EUR,984960000,M,23,23,False,20.0,17.0,4.0,2.0,5.0,6.0,12.0,15.0,,2.0,,,85.0,34.0,6.4,10.0,0.0170911,3,,1.0,,,7.0,,2.0,,1.0,,,,1.0,,,0.1827,,3.0,,1.0,,,1.0,,0.053,ernest_muci,,,1.0,2.0,,,,,,
11450026,home,Beşiktaş JK,Jackson Muleka,jackson-muleka,J. Muleka,F,40,180,3687,M,927649,EUR,938995200,M,40,40,False,35.0,19.0,4.0,2.0,5.0,8.0,14.0,29.0,1.0,7.0,,,90.0,55.0,6.9,25.0,0.170256,1,,2.0,,8.0,7.0,13.0,5.0,3.0,1.0,,2.0,1.0,5.0,,1.0,0.0843,,4.0,,,,,,,,,1.0,,,,,,,,,
