match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_goalAssist,stat_bigChanceCreated,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_lastManTackle,stat_errorLeadToAGoal,stat_hitWoodwork
11352388,home,Bournemouth,Neto,neto,Neto,G,22,190,5148,M,Neto_Murara,84844,EUR,616809600,G,1,1,False,True,18.0,11.0,13.0,6.0,6.0,11.0,5.0,7.0,3.0,4.0,2.0,1.0,1.0,2.0,90.0,26.0,6.6,7.0,0.0013544,0,-1.1311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352388,home,Bournemouth,Adam Smith,adam-smith,A. Smith,D,15,180,494,M,,44566,EUR,672883200,D,15,15,False,,19.0,15.0,3.0,,10.0,11.0,6.0,9.0,4.0,5.0,,,,,90.0,42.0,6.5,7.0,0.0516523,0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11352388,home,Bournemouth,Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,17027,M,IlliaZabarnyi,1023567,EUR,1030838400,D,27,27,False,,33.0,23.0,9.0,1.0,19.0,21.0,4.0,12.0,4.0,4.0,,,,,90.0,46.0,6.9,10.0,0.00150563,1,,,,4.0,9.0,,1.0,1.0,3.0,4.0,1.0,1.0,5.0,4.0,0.0823,,,,,,,,,,,,,,,,,,,
11352388,home,Bournemouth,Marcos Senesi,marcos-senesi,M. Senesi,D,5,184,5596,M,,830659,EUR,863222400,D,25,25,False,,29.0,20.0,11.0,4.0,9.0,12.0,11.0,17.0,3.0,5.0,,,,,90.0,50.0,7.2,12.0,0.299335,0,,,,2.0,5.0,2.0,1.0,1.0,1.0,2.0,,3.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,
11352388,home,Bournemouth,Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,25853,M,miloskerkez,1097425,EUR,1068163200,D,3,3,False,,21.0,12.0,3.0,,4.0,7.0,9.0,17.0,1.0,5.0,,,,,83.0,36.0,7.4,14.0,0.0316795,0,,3.0,1.0,3.0,6.0,1.0,,1.0,2.0,2.0,,,4.0,4.0,,,Milos,Kerkez,1.0,1.0,1.0,,,,,,,,,,,,,
11352388,home,Bournemouth,Ryan Christie,ryan-christie,R. Christie,M,10,178,1213,M,,322391,EUR,793411200,M,10,10,False,,36.0,31.0,7.0,7.0,10.0,11.0,21.0,26.0,3.0,9.0,,,,,90.0,63.0,9.1,11.0,0.774664,3,,1.0,,5.0,11.0,2.0,1.0,1.0,1.0,,1.0,,6.0,6.0,0.194,2.0,,,1.0,2.0,3.0,1.0,2.0,4.0,4.0,1.0,1.0,0.1297,,,,,,
11352388,home,Bournemouth,Lewis Cook,lewis-cook,L. Cook,M,4,175,895,M,,548188,EUR,854928000,M,4,4,False,,37.0,31.0,2.0,2.0,11.0,13.0,22.0,28.0,2.0,10.0,,,,,90.0,49.0,6.9,9.0,0.0945348,0,,4.0,2.0,5.0,3.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,3.0,2.0,1.0,1.0,1.0,,,,,,,,,
11352388,home,Bournemouth,Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178,1762,M,,895576,EUR,922060800,M,16,16,False,,25.0,16.0,4.0,1.0,4.0,6.0,12.0,22.0,1.0,9.0,,,,,89.0,51.0,7.0,18.0,0.409191,2,,3.0,,7.0,9.0,,2.0,,2.0,2.0,1.0,,2.0,1.0,0.1173,1.0,,,,1.0,2.0,,1.0,7.0,3.0,,1.0,,,,,,,
11352388,home,Bournemouth,Justin Kluivert,justin-kluivert,J. Kluivert,M,19,171,6976,M,justinkluivert,851596,EUR,925862400,M,19,19,False,,11.0,8.0,1.0,,2.0,2.0,6.0,9.0,,2.0,,,,,70.0,30.0,6.5,11.0,0.0154735,2,,,,11.0,7.0,,2.0,4.0,1.0,,1.0,,3.0,2.0,0.0379,2.0,,,,,2.0,,3.0,5.0,2.0,,1.0,,,,,,,
11352388,home,Bournemouth,Antoine Semenyo,antoine-semenyo,A. Semenyo,M,42,185,84914,M,antoinesemenyo42,934354,EUR,947203200,M,24,24,False,,17.0,9.0,1.0,,,3.0,9.0,15.0,1.0,4.0,,,,,70.0,33.0,6.9,16.0,0.0165752,3,,1.0,,11.0,1.0,,1.0,3.0,1.0,,,,,,0.2805,1.0,,,,,1.0,1.0,5.0,1.0,,3.0,,0.8142,1.0,1.0,,,,
