match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_fouls,captain,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_wonContest,stat_goals,stat_penaltyWon,player_firstName,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_outfielderBlock,player_lastName,stat_goodHighClaim,stat_penaltyFaced,stat_goalAssist,stat_penaltyConceded
11067514,home,Vasco da Gama,Léo Jardim,leo-jardim,L. Jardim,G,1,188,5904,M,leocjardim,595598,EUR,795657600,G,1,1,False,21.0,16.0,10.0,5.0,12.0,12.0,4.0,9.0,5.0,1.0,1.0,90.0,26.0,5.6,5.0,0.0,0.0,0.00094073,0,-1.4931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067514,home,Vasco da Gama,Miranda,miranda,Miranda,D,16,182,158,M,,926868,EUR,948240000,D,35,35,False,43.0,37.0,5.0,3.0,22.0,25.0,16.0,19.0,8.0,,,90.0,55.0,6.6,9.0,0.0,0.0,0.110299,0,,1.0,1.0,3.0,2.0,6.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
11067514,home,Vasco da Gama,Manuel Capasso,manuel-capasso,M. Capasso,D,28,188,442,M,,940611,EUR,829872000,D,22,22,False,36.0,29.0,13.0,8.0,20.0,23.0,9.0,13.0,5.0,,,90.0,44.0,6.2,8.0,0.0,0.0,0.00243335,0,,,,,2.0,2.0,,,,3.0,,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
11067514,home,Vasco da Gama,Léo,leo,Léo,D,3,183,707,M,,360940,EUR,826070400,D,3,3,False,55.0,49.0,8.0,6.0,30.0,32.0,19.0,23.0,4.0,,,90.0,62.0,6.3,7.0,0.0,0.0,0.165265,0,,,,,1.0,,,,,4.0,,,,,,1.0,,1.0,True,,,,,,,,,,,,,,,,,
11067514,home,Vasco da Gama,Puma Rodríguez,puma-rodriguez,P. Rodríguez,D,2,183,2505,M,,877591,EUR,858297600,M,2,2,False,42.0,27.0,10.0,4.0,6.0,10.0,24.0,39.0,7.0,,,90.0,67.0,6.6,24.0,0.0855,0.0348,0.145793,2,,7.0,3.0,,5.0,2.0,3.0,,,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,
11067514,home,Vasco da Gama,Jair,jair,Jair,M,8,178,1707,M,,268419,EUR,777859200,M,8,8,False,47.0,41.0,5.0,4.0,16.0,16.0,25.0,31.0,7.0,,,90.0,68.0,7.3,13.0,0.7884,0.9841,0.0405952,1,,,,,7.0,10.0,2.0,2.0,,,1.0,2.0,2.0,3.0,5.0,,1.0,1.0,,4.0,,1.0,3.0,1.0,1.0,,,,,,,,,,,
11067514,home,Vasco da Gama,Matías Galarza,matias-galarza,M. Galarza,M,23,175,2146,M,,1105836,EUR,1013385600,M,19,19,False,15.0,13.0,,,6.0,6.0,7.0,10.0,7.0,,,45.0,28.0,6.3,7.0,0.0796,0.0,0.00341263,1,,1.0,,,6.0,4.0,2.0,,,,1.0,2.0,1.0,3.0,2.0,,2.0,2.0,,,,,,,,Matías Galarza,1.0,,,,,,,,,
11067514,home,Vasco da Gama,Lucas Piton,lucas-piton,L. Piton,D,6,176,3645,M,,982174,EUR,971049600,M,6,6,False,46.0,37.0,4.0,1.0,18.0,20.0,23.0,35.0,5.0,,,90.0,73.0,6.9,21.0,0.0213,0.1345,0.148361,1,,9.0,4.0,,6.0,2.0,1.0,2.0,,,3.0,1.0,1.0,2.0,,3.0,1.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,
11067514,home,Vasco da Gama,Luca Orellano,luca-orellano,L. Orellano,M,11,170,1144,M,,965764,EUR,953683200,F,14,14,False,19.0,16.0,,,4.0,6.0,12.0,17.0,5.0,,,45.0,30.0,6.5,10.0,0.0,0.0,0.0050692,0,,4.0,,,5.0,3.0,1.0,1.0,,,,1.0,,1.0,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
11067514,home,Vasco da Gama,Pedro Raul,pedro-raul,P. Raul,F,18,191,7083,M,,866911,EUR,847152000,F,9,9,False,22.0,17.0,1.0,1.0,5.0,5.0,12.0,17.0,,,,90.0,40.0,6.1,11.0,0.4767,0.6846,0.0149726,5,,,,1.0,8.0,4.0,,2.0,,,,1.0,1.0,4.0,2.0,,4.0,2.0,,,3.0,2.0,,,,,,2.0,1.0,2.0,,,,,,
