match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_duelLost,stat_challengeLost,stat_wasFouled,stat_fouls,stat_accurateCross,stat_aerialLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_unsuccessfulTouch,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_outfielderBlock,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_interceptionWon,stat_lastManTackle,stat_errorLeadToAShot,stat_totalOffside
12450983,home,Paris Saint-Germain,Gianluigi Donnarumma,gianluigi-donnarumma,G. Donnarumma,G,25,196,69953,M,donnarumma,824509,EUR,919900800,G,1,1,False,True,29.0,27.0,3.0,1.0,0.0,27.0,27.0,2.0,1.0,1.0,1.0,8.0,2.0,2.0,1.0,90.0,37.0,6.7,2.0,0.00033992,0,0.0878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450983,home,Paris Saint-Germain,Warren Zaïre-Emery,warren-zaire-emery,W. Zaïre-Emery,M,33,178,16154,M,wzairemery6,1142672,EUR,1141776000,D,33,33,False,,94.0,91.0,4.0,3.0,0.0,29.0,32.0,64.0,1.0,2.0,,3.0,,,,90.0,101.0,7.2,5.0,0.0628773,0,,,,62.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450983,home,Paris Saint-Germain,Lucas Beraldo,lucas-beraldo,L. Beraldo,D,4,182,17502,M,lberaldo,1108441,EUR,1069632000,D,35,35,False,,118.0,114.0,4.0,4.0,0.0,54.0,55.0,63.0,3.0,4.0,2.0,5.0,,,,90.0,123.0,7.2,4.0,0.0459725,0,,Lucas Beraldo,,60.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12450983,home,Paris Saint-Germain,Lucas Hernández,lucas-hernandez,L. Hernández,D,21,183,10246,M,lucashernandez21,352370,EUR,824256000,D,21,21,False,,71.0,68.0,2.0,,0.0,46.0,47.0,24.0,1.0,3.0,3.0,2.0,,,,60.0,77.0,6.7,3.0,0.0205121,0,,,,22.0,,1.0,1.0,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12450983,home,Paris Saint-Germain,Nuno Mendes,nuno-mendes,N. Mendes,D,25,180,37370,M,nunomendes_5,989768,EUR,1024444800,D,25,25,False,,83.0,72.0,5.0,4.0,0.0,33.0,38.0,54.0,3.0,11.0,4.0,4.0,,,,90.0,123.0,7.8,20.0,0.194213,1,,,,42.0,9.0,2.0,1.0,2.0,5.0,,1.0,2.0,3.0,1.0,7.0,5.0,1.0,0.0193,0.1236,,,,,,,,,,,,,,,,
12450983,home,Paris Saint-Germain,Désiré Doué,desire-doue,D. Doué,F,14,181,91970,M,DD14,1154605,EUR,1117756800,M,14,14,False,,72.0,63.0,3.0,1.0,0.0,17.0,18.0,59.0,1.0,6.0,,2.0,,,,90.0,96.0,7.7,18.0,0.34974,1,,Désiré Doué,,48.0,5.0,1.0,1.0,4.0,6.0,1.0,2.0,,2.0,,6.0,2.0,,0.032,,1.0,2.0,1.0,1.0,,,,,,,,,,,,
12450983,home,Paris Saint-Germain,Fabián Ruiz,fabian-ruiz,F. Ruiz,M,8,189,21859,M,fabianruiz52,784655,EUR,828489600,M,8,8,False,,75.0,71.0,3.0,3.0,0.0,19.0,20.0,55.0,,4.0,3.0,6.0,,,,90.0,87.0,7.3,7.0,0.0635513,1,,,,52.0,,2.0,1.0,1.0,2.0,2.0,,,,,2.0,2.0,,0.0249,,,,,3.0,1.0,,,,,,,,,,,
12450983,home,Paris Saint-Germain,Kang-in Lee,kang-in-lee,K. Lee,M,19,173,19307,M,kanginlee,917087,EUR,982540800,M,19,19,False,,32.0,27.0,2.0,,0.0,7.0,8.0,27.0,,4.0,,4.0,,,,60.0,44.0,6.9,8.0,0.196318,2,,,,21.0,3.0,,,1.0,2.0,1.0,3.0,,1.0,,2.0,1.0,,0.0487,,,,1.0,,1.0,,,,,,,,,,,
12450983,home,Paris Saint-Germain,Ousmane Dembélé,ousmane-dembele,O. Dembélé,F,10,178,239383,M,ODembélé,818244,EUR,863654400,F,10,10,False,,29.0,22.0,1.0,,0.0,3.0,4.0,25.0,,7.0,,,,,,60.0,48.0,7.9,14.0,0.0457298,3,,,,19.0,,1.0,,,5.0,,,1.0,,,7.0,6.0,3.0,0.2106,0.451,3.0,,,3.0,,1.0,,,,,,,,,,
12450983,home,Paris Saint-Germain,Gonçalo Ramos,goncalo-ramos,G. Ramos,F,9,185,23725,M,goncaloramos88,934510,EUR,992995200,F,9,9,False,,15.0,12.0,,,0.0,1.0,2.0,13.0,1.0,2.0,,2.0,,,,73.0,29.0,6.1,11.0,0.0319992,3,,,,11.0,,1.0,,1.0,7.0,,,2.0,,,2.0,,2.0,0.3523,0.7027,3.0,,1.0,3.0,,,2.0,1.0,,,,,,,,
