match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_totalContest,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_unsuccessfulTouch,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_keyPass,player_firstName,player_lastName,stat_wonContest,stat_errorLeadToAShot,captain,stat_bigChanceMissed,stat_blockedScoringAttempt,player_sofascoreId,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_clearanceOffLine,stat_hitWoodwork
10437692,home,Sporting Braga,Matheus,matheus,Matheus,G,1,190,1473,M,603946,EUR,711504000,G,1,1,False,40.0,32.0,17.0,9.0,28.0,29.0,4.0,11.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,90.0,49.0,5.8,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437692,home,Sporting Braga,Victor Gómez,victor-gomez,V. Gómez,D,2,169,297,M,877918,EUR,954547200,D,2,2,False,13.0,10.0,,,5.0,6.0,5.0,9.0,,,,1.0,,,,,44.0,19.0,6.2,6.0,0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437692,home,Sporting Braga,Vítor Tormena,vitor-tormena,V. Tormena,D,3,192,192,M,892426,EUR,820713600,D,3,3,False,40.0,34.0,6.0,4.0,27.0,31.0,7.0,9.0,2.0,,7.0,5.0,,,,,90.0,49.0,6.4,6.0,0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437692,home,Sporting Braga,Sikou Niakaté,sikou-niakate,S. Niakaté,D,4,186,1565,M,868235,EUR,931564800,D,4,4,False,30.0,24.0,5.0,1.0,23.0,24.0,1.0,7.0,4.0,,4.0,3.0,,,,,84.0,44.0,6.4,9.0,1,1.0,1.0,,,,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
10437692,home,Sporting Braga,Nuno Sequeira,nuno-sequeira,N. Sequeira,D,6,184,53,M,170117,EUR,651024000,D,6,6,False,45.0,31.0,4.0,,15.0,20.0,19.0,32.0,3.0,,3.0,7.0,,,,,90.0,68.0,6.7,20.0,1,7.0,1.0,,,,1.0,2.0,4.0,2.0,,,,,1.0,3.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,
10437692,home,Sporting Braga,Iuri Medeiros,iuri-medeiros,I. Medeiros,M,45,174,247,M,252613,EUR,773798400,M,45,45,False,8.0,8.0,1.0,1.0,3.0,3.0,5.0,5.0,3.0,1.0,,1.0,,,,,45.0,15.0,6.4,3.0,0,,2.0,,,,,,2.0,2.0,,,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,
10437692,home,Sporting Braga,Mutassim Al-Musrati,mutassim-al-musrati,M. Al-Musrati,M,73,189,2821,M,868958,EUR,828748800,M,8,8,False,47.0,39.0,6.0,4.0,24.0,26.0,15.0,21.0,9.0,,,10.0,,,,,90.0,59.0,6.4,12.0,0,,2.0,1.0,1.0,1.0,4.0,1.0,6.0,2.0,2.0,,,2.0,,,,,3.0,,,,,,,,,,,,,,,
10437692,home,Sporting Braga,André Horta,andre-horta,A. Horta,M,6,174,845,M,775699,EUR,847324800,M,10,10,False,35.0,26.0,5.0,3.0,10.0,13.0,16.0,23.0,2.0,1.0,,8.0,,,,,67.0,47.0,6.4,14.0,1,1.0,3.0,,,1.0,,,2.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,
10437692,home,Sporting Braga,Ricardo Horta,ricardo-horta,R. Horta,M,21,173,2145,M,314380,EUR,779587200,M,21,21,False,25.0,17.0,5.0,2.0,5.0,7.0,12.0,21.0,6.0,2.0,,6.0,,,,,90.0,50.0,6.6,16.0,4,3.0,1.0,,,,,1.0,4.0,3.0,2.0,1.0,,2.0,1.0,,1.0,2.0,,,2.0,,,1.0,,True,1.0,1.0,,,,,,
10437692,home,Sporting Braga,Simon Banza,simon-banza,S. Banza,F,9,189,10452,M,825945,EUR,839894400,F,23,23,False,11.0,7.0,,,3.0,4.0,4.0,7.0,3.0,1.0,1.0,2.0,,,,,85.0,19.0,7.3,6.0,1,,1.0,,,,1.0,2.0,5.0,1.0,,1.0,1.0,3.0,,,,,,,2.0,,,,,,,,simbnz,1.0,,,,
