match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_lastManTackle,stat_totalCross,stat_accurateCross,stat_totalContest,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_dispossessed,stat_wonContest,stat_totalOffside,stat_goals,stat_savedShotsFromInsideTheBox,stat_punches,stat_hitWoodwork,player_sofascoreId
12624401,home,Al-Okhdood,Paulo Vítor,,,paulo-vitor,P. Vítor,G,1,195.0,133,M,861003,EUR,596073600,G,28,28,False,32.0,21.0,16.0,6.0,0.0,15.0,17.0,6.0,15.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,90.0,43.0,6.7,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624401,home,Al-Okhdood,Naif Assery,Naif Assery,,naif-assery,N. Assery,D,15,181.0,16,M,1394760,EUR,982454400,D,15,15,False,33.0,27.0,8.0,3.0,0.0,15.0,16.0,12.0,17.0,1.0,2.0,4.0,,5.0,3.0,,,,,86.0,49.0,7.0,9.0,0,1.0,1.0,2.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
12624401,home,Al-Okhdood,Saeed Al-Rabiei,,,saeed-al-rabiei,S. Al-Rabiei,D,4,187.0,32,M,954639,EUR,746841600,D,4,4,False,39.0,34.0,9.0,6.0,0.0,17.0,17.0,17.0,22.0,4.0,7.0,6.0,2.0,4.0,4.0,,,,,90.0,51.0,6.8,6.0,2,2.0,1.0,1.0,1.0,,3.0,True,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12624401,home,Al-Okhdood,Damion Lowe,,,damion-lowe,D. Lowe,D,,190.0,195,M,539948,EUR,736560000,D,17,17,False,47.0,38.0,12.0,7.0,0.0,22.0,24.0,16.0,23.0,3.0,4.0,5.0,3.0,7.0,6.0,,,,,90.0,64.0,7.3,9.0,0,,,5.0,2.0,2.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,
12624401,home,Al-Okhdood,Awdh Faraj,,,awdh-faraj,A. Faraj,D,,172.0,16,M,791404,EUR,584928000,M,27,27,False,26.0,22.0,3.0,1.0,0.0,11.0,13.0,11.0,16.0,,1.0,1.0,,,2.0,,,,,64.0,33.0,6.5,8.0,0,1.0,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,
12624401,home,Al-Okhdood,Juan Pedroza,,,juan-pedroza,J. Pedroza,M,18,176.0,186,M,972585,EUR,923529600,M,18,18,False,39.0,32.0,9.0,4.0,0.0,21.0,24.0,13.0,20.0,,5.0,7.0,4.0,1.0,6.0,,,,,90.0,59.0,6.8,13.0,1,,,,6.0,3.0,,,,,1.0,1.0,2.0,,5.0,2.0,1.0,1.0,,,,,,,,,,
12624401,home,Al-Okhdood,Knowledge Musona,,,knowledge-musona,K. Musona,M,,174.0,675,M,118368,EUR,645926400,M,11,11,False,34.0,27.0,6.0,4.0,0.0,7.0,9.0,24.0,29.0,1.0,5.0,1.0,,1.0,3.0,,,,,90.0,48.0,7.3,10.0,3,2.0,,1.0,,,2.0,,,1.0,2.0,,6.0,,4.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,
12624401,home,Al-Okhdood,Mohanad Alqaydhi,,,mohanad-alqaydhi,M. Alqaydhi,D,98,187.0,20,M,879649,EUR,896140800,M,98,98,False,23.0,18.0,3.0,1.0,0.0,6.0,7.0,12.0,20.0,2.0,1.0,5.0,,3.0,4.0,,,,,86.0,54.0,6.9,14.0,2,,,1.0,2.0,,,,,,1.0,,,,4.0,,1.0,2.0,,,1.0,1.0,,,,,,
12624401,home,Al-Okhdood,Christian Bassogog,,,christian-bassogog,C. Bassogog,M,13,173.0,2514,M,818218,EUR,813974400,F,13,13,False,23.0,18.0,4.0,2.0,0.0,5.0,5.0,13.0,19.0,,4.0,6.0,1.0,,3.0,,,,,90.0,37.0,7.3,9.0,2,2.0,,,,,,,,2.0,1.0,4.0,2.0,,1.0,,2.0,,,,1.0,2.0,2.0,,,,,
12624401,home,Al-Okhdood,Pato,,,pato,Pato,F,9,170.0,77,M,219008,EUR,685929600,F,7,7,False,14.0,8.0,1.0,1.0,0.0,4.0,5.0,4.0,9.0,2.0,6.0,6.0,,1.0,2.0,,,,,86.0,30.0,7.3,13.0,2,1.0,,,1.0,1.0,1.0,,,1.0,3.0,3.0,1.0,,,,2.0,,,1.0,2.0,,1.0,1.0,,,,
12624401,home,Al-Okhdood,Saviour Godwin,,,saviour-godwin,S. Godwin,M,77,170.0,248,M,359650,EUR,840672000,F,10,10,False,11.0,10.0,2.0,2.0,1.0,1.0,1.0,9.0,12.0,,7.0,1.0,,,1.0,,,,,90.0,24.0,7.3,8.0,1,3.0,,1.0,,,3.0,,,1.0,3.0,,2.0,,2.0,,3.0,,2.0,,,1.0,,,,,,
12624401,home,Al-Okhdood,Yaseen Al-Zubaidi,Yaseen Al-Zubaidi,,al-zubaidi-yaseen,Y. Al-Zubaidi,M,26,176.0,105,M,1434209,EUR,1051315200,F,26,26,True,6.0,2.0,1.0,,0.0,1.0,3.0,1.0,6.0,,1.0,,,,2.0,,,,,26.0,13.0,6.5,8.0,1,,,,,,,,,1.0,,,,,3.0,,1.0,,,,,,,,,,,
12624401,home,Al-Okhdood,Mohammed Al Saeed,,,mohammed-al-saeed,M. A. Saeed,D,81,172.0,23,M,870365,EUR,847929600,M,2,2,True,5.0,3.0,1.0,,0.0,2.0,2.0,1.0,3.0,,1.0,,,,,,,,,12.0,7.0,6.5,2.0,0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
12624401,home,Al-Okhdood,Abdulaziz Al Hatila,Abdulaziz Al Hatila,,abdulaziz-al-hatila,A. A. Hatila,M,12,175.0,27,M,1521660,EUR,895363200,M,12,12,True,2.0,1.0,,,0.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,12.0,4.0,6.6,2.0,0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
12624401,home,Al-Okhdood,Saleh Al Abbas,,,saleh-al-abbas,S. A. Abbas,F,14,177.0,52,M,989766,EUR,797904000,F,14,14,True,2.0,,,,0.0,,,,2.0,,,,,,,,,,,12.0,5.0,6.4,2.0,2,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,
