match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_interceptionWon,stat_wonTackle,stat_expectedGoals,stat_outfielderBlock,player_firstName,player_lastName,captain,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_goodHighClaim,stat_totalOffside
11409084,home,Moreirense,Kewin,kewin,Kewin,G,1,187,111,M,865371,EUR,790992000,G,40,40,False,22.0,20.0,4.0,2.0,20.0,21.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,90.0,30.0,6.1,2.0,7.414e-05,0,-2.3594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409084,home,Moreirense,Fabiano Souza,fabiano-silva,F. Souza,D,70,175,371,M,1130513,EUR,952992000,D,2,2,False,33.0,20.0,7.0,1.0,11.0,16.0,19.0,1.0,6.0,1.0,5.0,2.0,,,,,66.0,52.0,6.1,16.0,0.026741,0,,10.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11409084,home,Moreirense,Marcelo,marcelo,Marcelo,D,44,182,57,M,156318,EUR,617500800,D,44,44,False,83.0,74.0,14.0,8.0,54.0,57.0,26.0,2.0,5.0,4.0,2.0,2.0,,,,,90.0,97.0,6.4,10.0,0.00547307,1,,20.0,,,12.0,,,1.0,,4.0,,6.0,1.0,1.0,1.0,2.0,1.0,0.0277,,,,,,,,,,,,
11409084,home,Moreirense,Maracás,maracas,Maracás,D,26,184,121,M,931485,EUR,767404800,D,26,26,False,72.0,65.0,8.0,4.0,53.0,57.0,15.0,4.0,7.0,2.0,4.0,1.0,,,,,90.0,85.0,6.8,8.0,0.0111803,1,,12.0,,,5.0,,,2.0,1.0,3.0,1.0,1.0,1.0,,1.0,2.0,2.0,0.0412,2.0,,,,,,,,,,,
11409084,home,Moreirense,Pedro Amador,pedro-amador,P. Amador,D,18,181,89,M,927038,EUR,913939200,D,18,18,False,36.0,26.0,1.0,1.0,16.0,18.0,24.0,,2.0,,2.0,,,,,,66.0,56.0,6.4,16.0,0.0521519,0,,12.0,6.0,2.0,3.0,3.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,1.0,,,True,,,,,,,,
11409084,home,Moreirense,Gonçalo Franco,goncalo-franco,G. Franco,M,17,176,243,M,984866,EUR,974419200,M,88,88,False,46.0,40.0,7.0,3.0,16.0,18.0,28.0,1.0,5.0,1.0,6.0,1.0,,,,,90.0,58.0,6.1,11.0,0.122908,1,,24.0,,,10.0,1.0,,3.0,1.0,3.0,1.0,,3.0,3.0,,,2.0,0.015,,,,,1.0,,,,,,,
11409084,home,Moreirense,Lawrence Ofori,lawrence-ofori,L. Ofori,M,80,181,149,M,892170,EUR,898992000,M,80,80,False,61.0,55.0,10.0,8.0,23.0,23.0,39.0,,5.0,,9.0,4.0,,,,,90.0,74.0,7.1,9.0,0.0398938,1,,33.0,1.0,1.0,3.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,0.0178,,,,,,,,,,,,
11409084,home,Moreirense,Madson de Souza Silva,madson-de-souza-silva,M. d. S. Silva,M,9,164,238,M,937555,EUR,935625600,M,31,31,False,17.0,12.0,,,2.0,3.0,17.0,2.0,7.0,,2.0,2.0,,,,,66.0,39.0,6.8,12.0,0.035391,3,,10.0,3.0,,4.0,5.0,3.0,,1.0,,2.0,,1.0,1.0,1.0,1.0,,0.1027,,,,,2.0,,,,,,,
11409084,home,Moreirense,Alan,alan,Alan,M,11,163,525,M,905455,EUR,952473600,M,11,11,False,38.0,34.0,7.0,5.0,9.0,9.0,33.0,,,,1.0,,,,,,76.0,47.0,6.5,10.0,0.0330846,1,,25.0,4.0,,6.0,,,,,2.0,1.0,2.0,,2.0,,,,0.0352,,,,,,1.0,0.3326,,,,,
11409084,home,Moreirense,João Camacho,joao-camacho,J. Camacho,M,37,174,51,M,317677,EUR,772329600,M,19,19,False,13.0,11.0,1.0,,4.0,4.0,11.0,2.0,5.0,2.0,1.0,3.0,,,,,90.0,33.0,6.9,11.0,0.552773,2,,7.0,2.0,,4.0,1.0,,,4.0,,1.0,1.0,,2.0,2.0,1.0,,0.0751,,,,,,,,1.0,1.0,,,
